orgn,comp,y,ld_impl,rd_impl,t_impl,ld_dep.sf,t_dep.sf,rd_dep.sf,rd_nl,ld_nl,t_pens,t_sal,t_sal.cap,t_pens.eq,rd_sal,rd_pens,rd_sal.cap,rd_pens.eq,ld_sal,ld_pens,ld_sal.cap,ld_pens.eq,ld_gci,rd_wv.ol,rd_wv.uc,rd_wv.sc,rd_wv.ss,ld_sub,ld_bv.sf,rd_bv.sf,t_bv.sf,ld_ss,ld_hvoh,ld_hv,ld_cens,rd_cens,t_cens,ld_cga,rd_dep.gf,rd_bv.gf,ld_dep.gf,ld_bv.gf,ld_391,rd_391,t_391,ld_hvug,ld_hvsc,ld_OPEXxS,rd_OPEXxS,t_OPEXxS,rd_cga,rdz_inc.av,rdz_f12,rdz_mgc,ldz_mgc,ldz_f4,ldz_f7,ldz_inc.av,ldz_wind,ldz_cod2c,ldz_lat.av,ldz_ice.av,ldz_snow,ldz_temp,ldz_isl,ldz_cmpp,ap.t_2
982974011,AGDER ENERGI NETT AS,2007,0,0,0,105503,917,40658,156026,214859,0,0,0,0,11779,1270,1223,7385,45824,3987,12669,23251,0,0,0,0,0,163797,1769368,720672,13837,7345,4133,5405,24243,3252,0,0,142,4809,5652,166080,2567,0,0,1226,46,217374,44578,0,2130,,,,,,,,,,,,,,,,247.85
982974011,AGDER ENERGI NETT AS,2008,0,0,0,110502,917,41827,156437,234400,0,0,0,0,14435,1373,2048,13427,58849,5144,12462,50285,0,0,0,0,0,168868,1903314,714287,12920,7589,4114,5457,46043,2977,0,0,142,4667,7242,203820,3082,0,0,1295,48,247935,52061,0,2255,,,,,,,,,,,,,,,,247.85
982974011,AGDER ENERGI NETT AS,2009,0,0,0,116892,917,43738,157457,220074,0,0,0,0,16231,1626,3177,-4199,66914,6481,15014,-16731,0,0,0,0,0,172123,2074329,817034,12003,7540,4090,5519,38269,4443,0,0,143,4640,8939,251542,0,0,0,1369,60,248635,44846,0,1720,,,,,,,,,,,,,,,,247.85
982974011,AGDER ENERGI NETT AS,2010,0,0,0,126886,918,48796,141685,241262,0,0,0,0,16755,-5039,2440,6367,67630,-19013,13617,24022,672.18,116342.9,8797.02,0,126986.49,175278,2168255,824737,20521,7616,4081,5550,23813,2746,0,0,145,4495,9599,287798,0,0,0,1407,62,264348,55225,0,1243,,,,,,,,,,,,,,,,247.85
982974011,AGDER ENERGI NETT AS,2011,0,0,0,133218,433,50759,153920,139895,0,0,0,0,23847,1589,3889,22199,71479,4540,14461,63421,672.18,116412.02,10490.08,0,128998.97,178171,2293992,902047,7476,7706,4081,5605,50698,4692,0,0,242,12031,12063,313906,4778,164,0,1460,64,292427,65831,134,751,,,,,,,,,,,,,,,,247.85
982974011,AGDER ENERGI NETT AS,2012,0,0,0,140554,549,56136,163227,217225,0,0,0,0,24681,2827,4184,-16478,80429,8422,19378,-49082,1725.11,156136.67,10536.29,0,141247.25,184367,2348334,1018350,8527,7782,4079,5656,26122,2147,0,0,341,11650,14133,387154,6100,25,0,1511,66,249748,57783,131,2036,11.25119479,0.321177438,32851,173392,0.1893859,0.083458291,10.13857617,25.10088701,23065.99067,58.03603396,62.44468603,233.4426373,6.135692452,5,109.4149,247.85
982974011,AGDER ENERGI NETT AS,2013,0,0,0,142532,549,62735,144636,224418,0,0,0,0,29002,4403,6211,-7361,81119,11177,23265,-18685,1725.11,155176.38,12171.27,0,146147.74,188027,2456413,1133313,7978,7823,4065,5689,47148,3009,0,0,356,12786,16617,433700,3654,478,0,1553,71,280861,58760,117,786,11.25119479,0.321177438,32851,173392,0.1893859,0.083458291,10.13857617,25.10088701,23065.99067,58.03603396,62.44468603,233.4426373,6.135692452,5,109.4149,247.85
982974011,AGDER ENERGI NETT AS,2014,0,0,0,147205,549,70037,178151,181219,0,0,0,0,27930,1498,11329,4713,99236,5422,39157,17058,1758.02,155852.58,12171.27,0,150188.2,190548,2494413,1210478,7429,7897,4065,5719,45792,3662,155,0,376,12492,19933,514056,7509,911,0,1582,72,282488,52657,108,1199,11.25119479,0.321177438,32851,173392,0.1893859,0.083458291,10.13857617,25.10088701,23065.99067,58.03603396,62.44468603,233.4426373,6.135692452,5,109.4149,247.85
982974011,AGDER ENERGI NETT AS,2015,0,0,0,136245,549,60302,187433,203838,0,0,0,0,29080,3825,12952,-21641,96621,12279,44851,-69471,0,156058.67,12083.78,0,152164.98,192148,2622080,1248513,6880,7985,4060,5764,55956,4066,0,0,394,15633,19384,596073,5072,1106,0,1630,74,267982,52716,103,1227,11.25119479,0.321177438,32851,173392,0.1893859,0.083458291,10.13857617,25.10088701,23065.99067,58.03603396,62.44468603,233.4426373,6.135692452,5,109.4149,247.85
982974011,AGDER ENERGI NETT AS,2016,0,0,0,155265,372,64200,146166,244797,0,0,0,0,36831,3463,12743,-13279,108537,9455,42779,-36250,0,159756.45,13568.14,0,153991.36,194426,2891476,1348025,3056,8066,4060,5824,53713,4306,0,0,753,43053,23728,693975,6782,1635,0,1680,84,252316,65206,40,1880,11.25119479,0.321177438,32851,173392,0.1893859,0.083458291,10.13857617,25.10088701,23065.99067,58.03603396,62.44468603,233.4426373,6.135692452,5,109.4149,247.85
