orgn,y,comp,ld_impl,rd_impl,t_impl,ld_dep.sf,t_dep.sf,rd_dep.sf,rd_nl,ld_nl,t_sal,t_pens,t_sal.cap,t_pens.eq,rd_sal,rd_pens,rd_sal.cap,rd_pens.eq,ld_sal,ld_pens,ld_sal.cap,ld_pens.eq,ld_gci,rd_wv.ol,rd_wv.uc,rd_wv.sc,rd_wv.ss,ld_sub,ld_bv.sf,rd_bv.sf,t_bv.sf,ld_ss,ld_hvoh,ld_hv,ld_cens,rd_cens,t_cens,ld_cga,rd_dep.gf,rd_bv.gf,ld_dep.gf,ld_bv.gf,ld_391,rd_391,t_391,ld_hvug,ld_hvsc,ld_OPEXxS,rd_OPEXxS,t_OPEXxS,rd_cga,rdz_inc.av,rdz_f12,rdz_mgc,ldz_mgc,ldz_f4,ldz_f7,ldz_inc.av,ldz_wind,ldz_cod2c,ldz_lat.av,ldz_ice.av,ldz_snow,ldz_temp,ldz_isl,ldz_cmpp,ap.t_2
982974011,2007,AGDER ENERGI NETT AS,0,0,0,105562,917,41564,164505,214859,0,0,0,0,12177,1322,1223,7385,45904,3997,12669,23251,0,0,0,0,0,163797,1769810,732452,13837,7347,4133,5405,24243,3252,0,0,142,4809,5652,166080,2567,0,0,1226,46,217510,45111,0,2130,11.12267003,0.321308011,34067,173392,0.1893859,0.083458291,10.13857617,25.10088701,23065.99067,58.03603396,62.44468603,233.4426373,6.135692452,5,114.4149,284.7804931
982974011,2008,AGDER ENERGI NETT AS,0,0,0,110562,917,42726,163060,235137,0,0,0,0,14814,1438,2048,13427,58925,5157,12462,50285,0,0,0,0,0,168868,1903696,725177,12920,7591,4114,5457,46043,3637,0,0,142,4667,7242,203820,3082,0,0,1295,48,248114,52745,0,2255,11.12267003,0.321308011,34067,173392,0.1893859,0.083458291,10.13857617,25.10088701,23065.99067,58.03603396,62.44468603,233.4426373,6.135692452,5,114.4149,284.7804931
982974011,2009,AGDER ENERGI NETT AS,0,0,0,116954,917,44650,166324.1,222036.3,0,0,0,0,16840,1741,3177,-4199,67036,6504,15014,-16731,0,0,0,0,0,172123,2074655,827063,12003,7542,4090,5519,38269,4443,0,0,143,4640,8939,251542,0,0,0,1369,60,248796,45502,0,1720,11.12267003,0.321308011,34067,173392,0.1893859,0.083458291,10.13857617,25.10088701,23065.99067,58.03603396,62.44468603,233.4426373,6.135692452,5,114.4149,284.7804931
982974011,2010,AGDER ENERGI NETT AS,0,0,0,126946,918,49696,146908,242408,0,0,0,0,17091,-4990,2440,6367,67742,-18997,13617,24022,1254.5,120744.23,8797.02,0,127223.61,175278,2168522,833910,20521,7618,4081,5550,23813,2746,0,0,145,4495,9599,287798,0,0,0,1407,62,264523,55725,0,1243,11.12267003,0.321308011,34067,173392,0.1893859,0.083458291,10.13857617,25.10088701,23065.99067,58.03603396,62.44468603,233.4426373,6.135692452,5,114.4149,284.7804931
982974011,2011,AGDER ENERGI NETT AS,0,0,0,133278,433,51623,160043,141239,0,0,0,0,24197,1682,3889,22199,71596,4571,14461,63421,1254.5,120813.35,10490.08,0,129236.09,178171,2294198,910354,7476,7708,4081,5605,50698,4692,0,0,242,12031,12063,313906,4778,164,0,1460,64,292578,66278,134,751,11.12267003,0.321308011,34067,173392,0.1893859,0.083458291,10.13857617,25.10088701,23065.99067,58.03603396,62.44468603,233.4426373,6.135692452,5,114.4149,284.7804931
982974011,2012,AGDER ENERGI NETT AS,0,0,0,140613,549,56724,167678,217779,0,0,0,0,24776,2903,4184,-16478,80547,8447,19378,-49082,2241.62,160538,10536.29,0,141448.17,184367,2348481,1023383,8527,7784,4079,5656,26122,2147,0,0,341,11650,14133,387154,6100,25,0,1511,66,249890,57883,131,2036,11.12267003,0.321308011,34067,173392,0.1893859,0.083458291,10.13857617,25.10088701,23065.99067,58.03603396,62.44468603,233.4426373,6.135692452,5,114.4149,284.7804931
982974011,2013,AGDER ENERGI NETT AS,0,0,0,142593,549,63319,148724,224872,0,0,0,0,29121,4419,6211,-7361,81119,11177,23265,-18685,1938.29,155319.81,12331.84,0,145096.9,188027,2456505,1137855,7978,7825,4065,5689,47148,3009,0,0,356,12786,16617,433700,3654,478,0,1553,71,281136,59657,117,786,11.12267003,0.321308011,34067,173392,0.1893859,0.083458291,10.13857617,25.10088701,23065.99067,58.03603396,62.44468603,233.4426373,6.135692452,5,114.4149,284.7804931
982974011,2014,AGDER ENERGI NETT AS,0,0,0,147268,549,70630,182999,181757,0,0,0,0,28050,1516,11329,4713,99236,5422,39157,17058,1971.2,155193.25,12331.84,0,149064.97,190548,2494445,1214420,7429,7899,4065,5719,45792,3662,155,0,376,12492,19933,514056,7509,911,0,1582,72,282533,52869,108,1199,11.12267003,0.321308011,34067,173392,0.1893859,0.083458291,10.13857617,25.10088701,23065.99067,58.03603396,62.44468603,233.4426373,6.135692452,5,114.4149,284.7804931
982974011,2015,AGDER ENERGI NETT AS,0,0,0,136263,549,60882,191318,204269,0,0,0,0,29220,3812,12952,-21641,96621,12279,44851,-69471,537.52,155590.34,12244.35,0,150674.63,192148,2622095,1251878,6880,7987,4060,5764,55956,4066,0,0,394,15633,19384,596073,5072,1106,0,1630,74,267982,52952,103,1227,11.12267003,0.321308011,34067,173392,0.1893859,0.083458291,10.13857617,25.10088701,23065.99067,58.03603396,62.44468603,233.4426373,6.135692452,5,114.4149,284.7804931
982974011,2016,AGDER ENERGI NETT AS,0,0,0,155265,372,64754,149401,245157,0,0,0,0,37033,3478,12743,-13279,108537,9455,42779,-36250,0,158799.38,13568.14,0,152045.04,194426,2891476,1350609,3056,8068,4060,5824,53713,4306,0,0,753,43053,23728,693975,6782,1635,0,1680,84,252316,66138,40,1880,11.12267003,0.321308011,34067,173392,0.1893859,0.083458291,10.13857617,25.10088701,23065.99067,58.03603396,62.44468603,233.4426373,6.135692452,5,114.4149,284.7804931
982974011,2017,AGDER ENERGI NETT AS,0,0,0,190978,372,67736,139518,163957,0,0,0,0,38586,3438,13056,-3982,111886,9782,39665,-11363,921.31,164282.64,14692.81,0,157389.15,198720,3227318,1723584,2684,8186,4173,5988,62246,2407,0,0,1173,51341,27578,779477,4522,155,0,1726,89,242137,59266,40,1707,11.12267003,0.321308011,34067,173392,0.1893859,0.083458291,10.13857617,25.10088701,23065.99067,58.03603396,62.44468603,233.4426373,6.135692452,5,114.4149,284.7804931
915729290,2007,Aktieselskabet Saudefaldene,0,0,0,0,0,597,28059,0,0,0,0,0,2462,104,0,0,0,0,0,0,0,0,0,0,0,0,0,6422,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3729,0,0,14.77316736,0.446749654,723,0,0,0,0,0,0,0,0,0,0,0,0,284.7804931
915729290,2008,Aktieselskabet Saudefaldene,0,0,0,0,0,1443,10751,0,0,0,0,0,2356,144,0,0,0,0,0,0,0,0,0,0,0,0,0,52491,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3541,0,0,14.77316736,0.446749654,723,0,0,0,0,0,0,0,0,0,0,0,0,284.7804931
915729290,2009,Aktieselskabet Saudefaldene,0,0,0,0,0,1540,2835,0,0,0,0,0,3139,165,0,0,0,0,0,0,0,0,0,0,0,0,0,51911,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2328,0,0,14.77316736,0.446749654,723,0,0,0,0,0,0,0,0,0,0,0,0,284.7804931
915729290,2010,Aktieselskabet Saudefaldene,0,0,0,0,0,2906,8793,0,0,0,0,0,4122,0,0,0,0,0,0,0,0,9349.72,2203.04,0,11387.83,0,0,60623,0,21,0,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,0,3967,0,0,14.77316736,0.446749654,723,0,0,0,0,0,0,0,0,0,0,0,0,284.7804931
915729290,2011,Aktieselskabet Saudefaldene,0,0,0,0,0,3491,15267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9225.43,2181.14,0,10714.97,0,0,63411,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12352,0,0,14.77316736,0.446749654,723,0,0,0,0,0,0,0,0,0,0,0,0,284.7804931
915729290,2012,Aktieselskabet Saudefaldene,0,0,0,0,0,3680,26650,0,0,0,0,0,100,0,0,0,0,0,0,0,0,9023.2,2181.14,0,10714.97,0,0,59358,0,21,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,27847,0,0,14.77316736,0.446749654,723,0,0,0,0,0,0,0,0,0,0,0,0,284.7804931
915729290,2013,Aktieselskabet Saudefaldene,0,0,0,0,0,3790,10527,0,0,0,0,0,2090,95,0,0,0,0,0,0,0,7392,2181.14,0,10879.49,0,0,57729,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31579,0,0,14.77316736,0.446749654,723,0,0,0,0,0,0,0,0,0,0,0,0,284.7804931
915729290,2014,Aktieselskabet Saudefaldene,0,0,0,0,0,4014,13301,0,0,0,0,0,2125,0,0,0,0,0,0,0,0,4946.8,2181.14,0,12698.62,0,0,56437,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26186,0,0,14.77316736,0.446749654,723,0,0,0,0,0,0,0,0,0,0,0,0,284.7804931
915729290,2015,Aktieselskabet Saudefaldene,0,0,0,0,0,4133,14894,0,0,0,0,0,2127,0,0,0,0,0,0,0,0,4946.8,2181.14,0,9920.56,0,0,52777,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32373,0,0,14.77316736,0.446749654,723,0,0,0,0,0,0,0,0,0,0,0,0,284.7804931
915729290,2016,Aktieselskabet Saudefaldene,0,0,0,0,0,3932,17268,0,0,0,0,0,3977,321,95,0,0,0,0,0,0,4946.8,2181.14,0,10052.18,0,0,47678,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500,0,0,14.77316736,0.446749654,723,0,0,0,0,0,0,0,0,0,0,0,0,284.7804931
915729290,2017,Aktieselskabet Saudefaldene,0,0,0,0,0,4299,19619,0,0,0,0,0,6887,413,0,0,0,0,0,0,0,4946.8,2181.14,0,10052.18,0,0,45921,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7772,0,0,14.77316736,0.446749654,723,0,0,0,0,0,0,0,0,0,0,0,0,284.7804931
971029390,2007,ALTA KRAFTLAG SA,0,0,0,10052,0,1845,4701,19463,0,0,0,0,370,0,0,0,7914,0,2,0,0,0,0,0,0,11045,157325,19171,0,853,660,827,5231,0,0,0,5,0,524,9611,0,1,0,147,20,30414,2610,0,0,14.39370291,0.00080732,3716,26719,3.74E-05,0.001010517,11.25150642,28.13084322,19847.56941,69.59818855,76.52303604,353.2759846,1.874927435,5,11.938,257.0609823
971029390,2008,ALTA KRAFTLAG SA,0,0,0,10991,0,2016,3571,21569,0,0,0,0,1137,0,0,0,11252,0,0,0,0,0,0,0,0,11104,164656,20563,0,865,660,829,1444,304,0,0,0,0,531,9288,214,19,0,149,20,27250,2684,0,0,14.39370291,0.00080732,3716,26719,3.74E-05,0.001010517,11.25150642,28.13084322,19847.56941,69.59818855,76.52303604,353.2759846,1.874927435,5,11.938,257.0609823
971029390,2009,ALTA KRAFTLAG SA,0,0,0,11313,0,2018,3600,25566,0,0,0,0,23,0,0,0,19635,0,3377,0,0,0,0,0,0,11354,171296,19176,0,870,630,781,2011,35,0,0,0,0,569,11069,10,0,0,135,16,26750,1757,0,0,14.39370291,0.00080732,3716,26719,3.74E-05,0.001010517,11.25150642,28.13084322,19847.56941,69.59818855,76.52303604,353.2759846,1.874927435,5,11.938,257.0609823
971029390,2010,ALTA KRAFTLAG SA,0,0,0,11735,0,1926,3169,23779,0,0,0,0,511,0,156,0,16723,0,8300,0,0,7988.13,62.08,0,5047.03,11494,179383,19565,0,867,630,781,1378,0,0,0,0,0,623,12481,0,0,0,135,16,32120,3355,0,0,14.39370291,0.00080732,3716,26719,3.74E-05,0.001010517,11.25150642,28.13084322,19847.56941,69.59818855,76.52303604,353.2759846,1.874927435,5,11.938,257.0609823
971029390,2011,ALTA KRAFTLAG SA,0,0,0,12391,0,2001,2932,19261,0,0,0,0,828,0,56,0,19395,0,11421,0,0,7988.13,62.08,0,5047.03,11664,182839,17619,0,865,619,735,1962,0,0,0,0,0,694,13111,1172,2,0,100,16,32002,2363,0,0,14.39370291,0.00080732,3716,26719,3.74E-05,0.001010517,11.25150642,28.13084322,19847.56941,69.59818855,76.52303604,353.2759846,1.874927435,5,11.938,257.0609823
971029390,2012,ALTA KRAFTLAG SA,0,0,0,12674,0,1886,9028,18315,0,0,0,0,951,0,416,0,21785,0,7503,0,0,7988.13,62.08,0,5277.36,11953,180646,16525,0,867,630,781,459,0,0,0,0,0,736,13819,1313,0,0,135,16,22135,2084,0,0,14.39370291,0.00080732,3716,26719,3.74E-05,0.001010517,11.25150642,28.13084322,19847.56941,69.59818855,76.52303604,353.2759846,1.874927435,5,11.938,257.0609823
971029390,2013,ALTA KRAFTLAG SA,0,0,0,12911,0,1891,8552,21970,0,0,0,0,1205,200,338,0,20323,3247,6819,0,0,7988.13,62.08,0,5277.36,11979,186564,14828,0,867,631,786,1235,0,0,0,0,0,790,15002,182,0,0,139,16,22774,2366,0,0,14.39370291,0.00080732,3716,26719,3.74E-05,0.001010517,11.25150642,28.13084322,19847.56941,69.59818855,76.52303604,353.2759846,1.874927435,5,11.938,257.0609823
