orgn,y,comp,t_dep.sf,rd_dep.sf,ld_dep.sf,rd_nl,ld_nl,ld_sub,ld_bv.sf,rd_bv.sf,t_bv.sf,ld_ss,ld_hvoh,ld_hv,ld_cens,rd_cens,t_cens,ld_cga,rd_dep.gf,rd_bv.gf,ld_dep.gf,ld_bv.gf,ld_391,rd_391,t_391,ld_hvug,ld_hvsc,ld_OPEXxS,rd_OPEXxS,t_OPEXxS,rd_cga,t_pens,t_sal,t_sal.cap,t_pens.eq,rd_pens.eq,rd_sal,rd_pens,rd_sal.cap,ld_sal,ld_pens,ld_sal.cap,ld_impl,rd_impl,t_impl,ld_pens.eq,ld_gci,rd_wv.ol,rd_wv.uc,rd_wv.sc,rd_wv.ss,rdz_inc.av,rdz_f12,ldz_f4,ldz_inc.av,ldz_wind,ldz_cod2c,ldz_f7,ldz_snow,ldz_lat.av,ldz_ice.av,ldz_temp,ldz_isl,ldz_cmpp,t_wv.ol,t_wv.uc,t_wv.sc,t_wv.ss,rdz_mgc,ldz_mgc
844011342,2007,HelgelandsKraft AS,28,7348,46381,20015,79810,41995,678691,127992,884,2946,2346,2898,9239,62,0,0,170,317,2067,40579,-6,16,0,438,114,55834,9430,0,556,0,0,0,0,0,10937,2254,2625,59097,8634,8233,0,0,0,0,0,0,0,0,0,13.18254209,0.102366255,0.055793473,8.344945504,28.26932978,17490.80881,0.030138678,395.2602112,65.49515235,46.23213668,3.647604146,25,81.1282,0,0,0,0,23107,78079
844011342,2008,HelgelandsKraft AS,0,12255,46465,82700,74500,42178,670428,206074,0,2976,2342,2925,14101,41,0,0,170,147,2323,46006,0,0,0,469,114,55180,16466,0,504,0,0,0,0,0,13740,3213,2364,74352,11716,9011,0,0,0,0,0,0,0,0,0,13.18254209,0.102366255,0.055793473,8.344945504,28.26932978,17490.80881,0.030138678,395.2602112,65.49515235,46.23213668,3.647604146,25,81.1282,0,0,0,0,23107,78079
844011342,2009,HelgelandsKraft AS,0,13116,47344,71100,77200,41537,676443,225641,0,2890,2340,2949,12541,406,0,0,147,0,2508,49960,0,0,0,495,114,61369,19585,0,207,0,0,0,0,0,10868,2390,2154,72390,8486,15321,0,0,0,0,0,0,0,0,0,13.18254209,0.102366255,0.055793473,8.344945504,28.26932978,17490.80881,0.030138678,395.2602112,65.49515235,46.23213668,3.647604146,25,81.1282,0,0,0,0,23107,78079
844011342,2010,HelgelandsKraft AS,0,13533,49454,61169,95568,43326,681125,230994,0,2996,2340,2963,11378,1093,0,0,0,0,3443,72527,0,0,0,509,114,58674,15118,0,322,0,0,0,0,0,11954,-129,2289,93337,-793,13586,0,0,0,0,0,79776.4,0,3065.9,27376.565,13.18254209,0.102366255,0.055793473,8.344945504,28.26932978,17490.80881,0.030138678,395.2602112,65.49515235,46.23213668,3.647604146,25,81.1282,0,0,0,0,23107,78079
844011342,2011,HelgelandsKraft AS,0,14386,49911,61357,71672,43573,702124,234772,0,3002,2325,2995,18575,3645,0,0,0,0,3694,76828,2133,0,0,554,116,64074,15710,0,171,0,0,0,0,0,12649,2964,2705,91891,14616,18561,0,0,0,0,0,79729.1,0,3065.9,27376.565,13.18254209,0.102366255,0.055793473,8.344945504,28.26932978,17490.80881,0.030138678,395.2602112,65.49515235,46.23213668,3.647604146,25,81.1282,0,0,0,0,23107,78079
844011342,2012,HelgelandsKraft AS,0,15269,53881,62066,100128,43653,754963,243296,0,3005,2313,3002,15459,1022,0,0,160,5437,3825,88590,4811,123,0,573,116,71920,15320,0,173,0,0,0,0,0,15679,3775,4109,107985,17975,14498,0,0,0,0,0,79686.1,0,3065.9,27376.565,13.18254209,0.102366255,0.055793473,8.344945504,28.26932978,17490.80881,0.030138678,395.2602112,65.49515235,46.23213668,3.647604146,25,81.1282,0,0,0,0,23107,78079
844011342,2013,HelgelandsKraft AS,0,22699,56915,64114,82398,43963,787757,267795,0,3016,2313,3023,25149,2102,0,0,160,5277,4652,103818,6440,195,0,593,117,79490,22736,0,117,0,0,0,0,0,18640,3824,7249,109652,18126,15277,0,0,0,0,0,79659.2,0,3065.9,29081.24,13.18254209,0.102366255,0.055793473,8.344945504,28.26932978,17490.80881,0.030138678,395.2602112,65.49515235,46.23213668,3.647604146,25,81.1282,0,0,0,0,23107,78079
844011342,2014,HelgelandsKraft AS,0,35089,58355,59777,89416,44474,818780,440587,0,3015,2298,3038,18684,3998,0,0,335,17206,5182,118898,7605,175,0,623,117,77357,44162,0,438,0,0,0,0,0,22755,-1396,11319,111269,-7372,19185,0,0,0,0,0,76299,0,8858.4,31067.095,13.18254209,0.102366255,0.055793473,8.344945504,28.26932978,17490.80881,0.030138678,395.2602112,65.49515235,46.23213668,3.647604146,25,81.1282,0,0,0,0,23107,78079
848382922,2007,Tysnes Kraftlag SA,0,0,2643,0,1068,2981,50211,0,0,181,155,170,288,0,0,0,0,0,737,11231,0,0,0,12,3,6620,0,0,0,0,0,0,0,0,0,0,0,6558,617,380,0,0,0,0,0,0,0,0,0,0,0,0.393838215,12.90770836,26,671.8534367,0.233419335,92.11914418,59.44147905,19.14119577,7.383445601,0,1.45,0,0,0,0,0,6707
848382922,2008,Tysnes Kraftlag SA,0,0,2823,0,2590,3044,51343,0,0,183,155,170,300,0,0,0,0,0,660,8952,916,0,0,12,3,4928,0,0,0,0,0,0,0,0,0,0,0,7021,534,1234,0,0,0,0,0,0,0,0,0,0,0,0.393838215,12.90770836,26,671.8534367,0.233419335,92.11914418,59.44147905,19.14119577,7.383445601,0,1.45,0,0,0,0,0,6707
848382922,2009,Tysnes Kraftlag SA,0,0,2971,0,2817,3085,51925,0,0,185,154,170,187,0,0,0,0,0,670,8792,0,0,0,13,3,6028,0,0,0,0,0,0,0,0,0,0,0,8565,695,2057,0,0,0,0,0,0,0,0,0,0,0,0.393838215,12.90770836,26,671.8534367,0.233419335,92.11914418,59.44147905,19.14119577,7.383445601,0,1.45,0,0,0,0,0,6707
848382922,2010,Tysnes Kraftlag SA,0,0,3074,0,3813,3061,54207,0,0,184,154,170,324,0,0,0,0,0,826,7918,0,0,0,13,3,7332,0,0,0,0,0,0,0,0,0,0,0,8509,1271,1519,0,0,0,0,65.8,0,0,0,0,0,0,0.393838215,12.90770836,26,671.8534367,0.233419335,92.11914418,59.44147905,19.14119577,7.383445601,0,1.45,0,0,0,0,0,6707
848382922,2011,Tysnes Kraftlag SA,0,0,3325,0,2215,3095,57140,0,0,169,158,174,389,0,0,0,0,0,826,7092,7,0,0,13,3,7733,0,0,0,0,0,0,0,0,0,0,0,9193,1047,1372,0,0,0,0,65.8,0,0,0,0,0,0,0.393838215,12.90770836,26,671.8534367,0.233419335,92.11914418,59.44147905,19.14119577,7.383445601,0,1.45,0,0,0,0,0,6707
848382922,2012,Tysnes Kraftlag SA,0,0,3549,0,3665,3097,65262,0,0,171,158,174,173,0,0,0,0,0,826,6347,29,0,0,13,3,8144,0,0,0,0,0,0,0,0,0,0,0,9718,1625,2366,0,0,0,0,65.8,0,0,0,0,0,0,0.393838215,12.90770836,26,671.8534367,0.233419335,92.11914418,59.44147905,19.14119577,7.383445601,0,1.45,0,0,0,0,0,6707
848382922,2013,Tysnes Kraftlag SA,0,0,4144,0,2896,3131,66186,0,0,174,159,175,437,0,0,0,0,0,826,6266,32,0,0,13,3,7206,0,0,0,0,0,0,0,0,0,0,0,11311,1294,2460,0,0,0,0,65.8,0,0,0,0,0,0,0.393838215,12.90770836,26,671.8534367,0.233419335,92.11914418,59.44147905,19.14119577,7.383445601,0,1.45,0,0,0,0,0,6707
848382922,2014,Tysnes Kraftlag SA,0,0,4287,0,2137,3165,69377,0,0,177,159,176,678,0,0,0,0,0,826,5359,26,0,0,14,3,7649,0,0,0,0,0,0,0,0,0,0,0,13562,1630,2781,0,0,0,0,65.8,0,0,0,0,0,0,0.393838215,12.90770836,26,671.8534367,0.233419335,92.11914418,59.44147905,19.14119577,7.383445601,0,1.45,0,0,0,0,0,6707
858837162,2007,Fusa Kraftlag SA,0,0,3962,0,3060,2856,49320,0,0,232,144,176,381,0,0,0,0,0,946,13067,0,0,0,28,4,4933,0,0,0,0,0,0,0,0,0,0,0,5985,683,2208,0,0,0,0,0,0,0,0,0,0,0,0.237029502,14.90349697,26,6459.86651,0.212783995,142.8956456,60,15.93644923,6.91601227,0,17.489,0,0,0,0,0,5948
858837162,2008,Fusa Kraftlag SA,0,0,4179,0,4807,2889,62979,0,0,228,144,176,243,0,0,0,0,0,983,13204,0,0,0,28,4,6756,0,0,0,0,0,0,0,0,0,0,0,6412,398,2149,0,0,0,0,0,0,0,0,0,0,0,0.237029502,14.90349697,26,6459.86651,0.212783995,142.8956456,60,15.93644923,6.91601227,0,17.489,0,0,0,0,0,5948
858837162,2009,Fusa Kraftlag SA,0,0,4142,0,4840,2908,72528,0,0,228,144,179,234,0,0,0,0,0,1009,13518,0,0,0,31,4,6032,0,0,0,0,0,0,0,0,0,0,0,6829,761,2013,0,0,0,0,0,0,0,0,0,0,0,0.237029502,14.90349697,26,6459.86651,0.212783995,142.8956456,60,15.93644923,6.91601227,0,17.489,0,0,0,0,0,5948
858837162,2010,Fusa Kraftlag SA,0,0,4052,0,5840,2983,74715,0,0,228,142,180,151,0,0,0,0,0,1037,13262,0,0,0,34,4,7161,0,0,0,0,0,0,0,0,0,0,0,10046,-77,2737,0,0,0,0,361.9,0,0,0,0,0,0,0.237029502,14.90349697,26,6459.86651,0.212783995,142.8956456,60,15.93644923,6.91601227,0,17.489,0,0,0,0,0,5948
858837162,2011,Fusa Kraftlag SA,0,0,4314,0,5041,2996,75627,0,0,231,142,182,370,0,0,0,0,0,1033,12543,0,0,0,36,4,9427,0,0,0,0,0,0,0,0,0,0,0,8424,1352,1622,0,0,0,0,361.9,0,0,0,0,0,0,0.237029502,14.90349697,26,6459.86651,0.212783995,142.8956456,60,15.93644923,6.91601227,0,17.489,0,0,0,0,0,5948
858837162,2012,Fusa Kraftlag SA,0,0,4519,0,5366,2999,76166,0,0,231,142,184,82,0,0,0,0,0,1034,11534,0,0,0,38,4,7793,0,0,0,0,0,0,0,0,0,0,0,9349,1223,1766,0,0,0,0,361.9,0,0,0,0,0,0,0.237029502,14.90349697,26,6459.86651,0.212783995,142.8956456,60,15.93644923,6.91601227,0,17.489,0,0,0,0,0,5948
858837162,2013,Fusa Kraftlag SA,0,0,4325,0,6160,3016,76963,0,0,231,142,186,205,0,0,0,0,0,1032,10686,0,0,0,40,4,9274,0,0,0,0,0,0,0,0,0,0,0,8449,1184,2581,0,0,0,0,361.9,0,0,0,0,0,0,0.237029502,14.90349697,26,6459.86651,0.212783995,142.8956456,60,15.93644923,6.91601227,0,17.489,0,0,0,0,0,5948
858837162,2014,Fusa Kraftlag SA,0,0,4570,0,5519,3069,77738,0,0,234,140,186,299,0,0,0,0,0,1036,10202,0,0,0,42,4,7558,0,0,0,0,0,0,0,0,0,0,0,10296,-719,2254,0,0,0,0,361.9,0,0,0,0,0,0,0.237029502,14.90349697,26,6459.86651,0.212783995,142.8956456,60,15.93644923,6.91601227,0,17.489,0,0,0,0,0,5948
