idaar,d_dv15,d_snittfront_d_TOTXDEA15
372009,31267,
372013,36127,75416
372011,38653,
372010,30142,
372012,35593,74444
6242013,331207,803770
6242012,270139,775152
6242009,290285,
6242010,323370,
6242011,417406,
7532010,0,
7532013,0,0
7532009,0,
7532011,0,
7532012,0,0
72012,36417,77198
72011,39976,
72010,40543,
72009,43008,
72013,40913,76547
92009,13454,
92013,15939,27122
92010,14426,
92011,14308,
92012,14766,25982
102011,299,
102012,285,730
102010,303,
102013,275,484
102009,306,
142011,11573,
142010,11898,
142012,10302,37584
142009,12152,
142013,14139,42690
4182013,10775,19422
4182012,10065,18285
4182010,9226,
4182009,9051,
4182011,10140,
162010,16399,
162013,16627,30561
162011,16449,
162012,19873,31975
162009,14908,
5662010,354616,
5662011,558675,
5662013,387067,813698
5662009,355297,
5662012,75093,763845
182010,10972,
182013,11279,20881
182009,9542,
182012,10585,20575
182011,11370,
222009,8213,
222011,8983,
222010,7295,
222013,6187,10892
222012,6406,12189
2572011,42281,
2572012,42788,86331
2572013,36348,84443
2572009,38697,
2572010,42837,
342011,11253,
342010,11826,
342012,12835,23337
342009,11761,
342013,14531,25673
352012,12266,23309
352009,12385,
352011,11827,
352013,12450,23974
352010,13161,
2712011,0,
2712010,0,
2712012,0,0
2712009,0,
2712013,0,0
4472013,0,0
4472010,0,
4472012,0,0
4472011,0,
4472009,0,
6152009,73984,
6152012,84993,202970
6152011,76624,
6152010,76446,
6152013,104524,226223
5742012,311636,740387
5742011,337757,
5742009,266472,
5742010,260952,
5742013,323535,750510
232009,1277,
232012,1930,2125
232011,1553,
232010,1588,
232013,1564,2013
4952013,32039,65878
4952011,26998,
4952012,27868,61339
4952010,24084,
4952009,25413,
6142012,43881,118546
6142010,43996,
6142011,43505,
6142009,42480,
6142013,49030,126420
412011,6713,
412013,8955,13792
412012,8174,12505
412009,6401,
412010,7694,
1472010,7692,
1472012,7798,11731
1472009,7331,
1472013,7937,11706
1472011,6364,
422010,19424,
422013,25814,44617
422012,18419,39557
422009,20704,
422011,17208,
432012,21067,43311
432011,18668,
432009,18049,
432013,21612,46443
432010,17758,
452009,12161,
452011,12544,
452013,14545,23085
452012,14626,20744
452010,12653,
462012,8447,14128
462009,6505,
462010,7000,
462013,9223,15755
462011,7184,
5782013,11807,25197
5782011,13083,
5782009,9834,
5782010,11359,
5782012,13348,24290
522011,6771,
522013,7292,11910
522010,5321,
522012,6499,10871
522009,5822,
5492010,154265,
5492013,227957,432575
5492012,169981,380007
5492011,180453,
5492009,161857,
532009,16655,
532011,19400,
532010,17858,
532012,20363,45145
532013,20995,45160
322012,45207,127284
322009,42827,
322010,48832,
322011,47874,
322013,52147,140227
552010,14393,
552012,16599,29056
552011,17581,
552013,16326,29336
552009,11609,
9002012,0,0
9002009,0,
9002013,0,0
9002010,0,
9002011,0,
1192010,13366,
1192012,15258,31858
1192013,18888,35617
1192011,16606,
1192009,16221,
2952010,33831,
2952011,45241,
2952012,51633,89265
2952009,33473,
2952013,90895,86162
622010,35160,
622013,41479,83880
622009,42690,
622011,45050,
622012,37165,82981
6752012,876760,1752771
6752010,756085,
6752013,899520,1728373
6752009,809452,
6752011,891315,
2752011,55770,
2752010,43010,
2752012,58122,119429
2752013,61577,130174
2752009,48546,
652009,30539,
652013,31141,60944
652011,30436,
652012,29117,58259
652010,26639,
2382010,18567,
2382011,25381,
2382009,20869,
2382012,28356,46986
2382013,28485,52949
5032012,156566,286394
5032013,169004,312501
5032011,151551,
5032010,143954,
5032009,148679,
712013,191991,360026
712009,126924,
712012,183382,320288
712011,152020,
712010,137632,
722012,17033,30509
722013,19009,34342
722010,12009,
722009,12986,
722011,16639,
3432009,6394,
3432011,10787,
3432012,10102,24877
3432010,7270,
3432013,9127,24240
8522011,0,
8522013,22534,36900
8522012,34453,17067
8522009,0,
8522010,0,
1832010,8205,
1832012,8973,15354
1832009,7429,
1832013,8605,16267
1832011,8426,
822012,14766,30886
822011,14233,
822009,15187,
822010,11423,
822013,15308,32923
2942010,128,
2942009,150,
2942012,4127,14625
2942013,3775,22213
2942011,6015,
4332010,63071,
4332013,66458,127408
4332009,58801,
4332011,65630,
4332012,58125,126726
842010,12852,
842012,17134,33113
842011,17039,
842009,15184,
842013,18570,34233
862011,66199,
862013,58457,131724
862009,54839,
862010,49465,
862012,59368,129943
882010,16708,
882013,19877,36745
882012,18028,35827
882009,14037,
882011,16541,
912010,13565,
912012,14940,32223
912013,17717,36097
912011,14458,
912009,10119,
2882011,0,
2882010,0,
2882012,0,0
2882013,0,0
2882009,0,
932012,25359,50338
932010,20655,
932009,18758,
932013,28946,54344
932011,26492,
952013,9408,18094
952010,5865,
952009,5680,
952012,5165,13873
952011,5791,
962009,18986,
962013,23595,41877
962012,22073,38849
962011,17754,
962010,14832,
1632009,9874,
1632012,14514,26397
1632010,10863,
1632011,11910,
1632013,17359,31593
972012,27739,49958
972009,20085,
972013,37930,60648
972011,28294,
972010,24818,
982013,0,0
982009,0,
982012,0,0
982010,0,
982011,0,
8722011,0,
8722012,0,0
8722013,0,0
8722009,0,
8722010,0,
1022009,21170,
1022013,25295,58159
1022011,24056,
1022010,21588,
1022012,24480,56427
3542010,50766,
3542011,63898,
3542012,57482,135101
3542009,50487,
3542013,71887,151471
1032011,24085,
1032012,24166,42601
1032013,27024,43926
1032010,23990,
1032009,21396,
1042011,13935,
1042013,12753,23017
1042010,12460,
1042012,13542,24282
1042009,11302,
5112010,170814,
5112009,175430,
5112011,195824,
5112013,238054,491703
5112012,194776,436092
5122010,444,
5122011,984,
5122013,310,1556
5122012,586,2275
5122009,1657,
1062009,8445,
1062013,12709,18487
1062012,8618,15364
1062011,8690,
1062010,7507,
1082011,1139,
1082010,2079,
1082012,1947,4424
1082009,2951,
1082013,1036,3576
1162011,17593,
1162010,17295,
1162012,21702,35025
1162013,22817,39108
1162009,15458,
5912011,32557,
5912013,32483,76279
5912009,34657,
5912010,32216,
5912012,38528,78880
6592013,31909,60298
6592012,7426,53892
6592011,39264,
6592009,24446,
6592010,22013,
7432012,14388,21947
7432011,12787,
7432009,11156,
7432010,11356,
7432013,14930,23041
1212012,1367,3347
1212011,1229,
1212010,1130,
1212009,1075,
1212013,1205,3602
