#Hour;SPOTNO4;SPOTNO1;SPOTNO5;SPOTNO3;SPOTNO2
01.01.2006 00:00;;33.88;;;33.88
01.01.2006 01:00;;33.43;;;33.43
01.01.2006 02:00;;33.25;;;32.10
01.01.2006 03:00;;33.12;;;29.56
01.01.2006 04:00;;32.85;;;29.10
01.01.2006 05:00;;32.97;;;29.47
01.01.2006 06:00;;33.11;;;27.53
01.01.2006 07:00;;33.19;;;26.29
01.01.2006 08:00;;32.65;;;26.90
01.01.2006 09:00;;32.39;;;27.37
01.01.2006 10:00;;32.41;;;29.77
01.01.2006 11:00;;32.56;;;32.56
01.01.2006 12:00;;32.96;;;32.96
01.01.2006 13:00;;32.87;;;32.87
01.01.2006 14:00;;32.91;;;32.91
01.01.2006 15:00;;33.34;;;33.34
01.01.2006 16:00;;34.41;;;34.41
01.01.2006 17:00;;35.31;;;35.31
01.01.2006 18:00;;35.35;;;35.35
01.01.2006 19:00;;35.24;;;35.24
01.01.2006 20:00;;34.66;;;34.66
01.01.2006 21:00;;34.47;;;34.47
01.01.2006 22:00;;33.93;;;33.93
01.01.2006 23:00;;33.59;;;32.25
02.01.2006 00:00;;33.71;;;33.71
02.01.2006 01:00;;33.37;;;33.37
02.01.2006 02:00;;32.81;;;32.81
02.01.2006 03:00;;32.68;;;32.68
02.01.2006 04:00;;33.44;;;33.44
02.01.2006 05:00;;34.42;;;34.42
02.01.2006 06:00;;35.16;;;35.16
02.01.2006 07:00;;35.72;;;35.72
02.01.2006 08:00;;37.46;;;37.46
02.01.2006 09:00;;37.57;;;37.57
02.01.2006 10:00;;37.75;;;37.75
02.01.2006 11:00;;37.47;;;37.47
02.01.2006 12:00;;37.34;;;37.34
02.01.2006 13:00;;37.10;;;37.10
02.01.2006 14:00;;37.34;;;37.34
02.01.2006 15:00;;38.85;;;38.85
02.01.2006 16:00;;40.00;;;53.19
02.01.2006 17:00;;39.36;;;53.16
02.01.2006 18:00;;38.96;;;38.97
02.01.2006 19:00;;37.79;;;37.79
02.01.2006 20:00;;36.51;;;36.51
02.01.2006 21:00;;36.08;;;36.08
02.01.2006 22:00;;35.26;;;35.26
02.01.2006 23:00;;34.68;;;34.68
03.01.2006 00:00;;35.37;;;35.37
03.01.2006 01:00;;35.18;;;35.18
03.01.2006 02:00;;34.80;;;34.80
03.01.2006 03:00;;34.60;;;34.60
03.01.2006 04:00;;35.03;;;35.03
03.01.2006 05:00;;35.81;;;35.15
03.01.2006 06:00;;36.62;;;35.34
03.01.2006 07:00;;38.14;;;37.70
03.01.2006 08:00;;48.71;;;48.71
03.01.2006 09:00;;42.74;;;42.74
03.01.2006 10:00;;42.56;;;42.56
03.01.2006 11:00;;40.27;;;40.27
03.01.2006 12:00;;38.12;;;38.12
03.01.2006 13:00;;38.08;;;38.08
03.01.2006 14:00;;38.95;;;38.95
03.01.2006 15:00;;45.12;;;45.12
03.01.2006 16:00;;56.24;;;54.86
03.01.2006 17:00;;49.17;;;49.17
03.01.2006 18:00;;39.83;;;39.83
03.01.2006 19:00;;37.55;;;37.55
03.01.2006 20:00;;37.20;;;37.20
03.01.2006 21:00;;36.96;;;36.91
03.01.2006 22:00;;35.63;;;35.63
03.01.2006 23:00;;35.17;;;35.17
04.01.2006 00:00;;36.33;;;35.99
04.01.2006 01:00;;36.07;;;35.46
04.01.2006 02:00;;35.49;;;35.15
04.01.2006 03:00;;35.18;;;34.77
04.01.2006 04:00;;35.71;;;35.02
04.01.2006 05:00;;36.23;;;34.47
04.01.2006 06:00;;37.18;;;35.21
04.01.2006 07:00;;39.66;;;36.85
04.01.2006 08:00;;41.34;;;41.34
04.01.2006 09:00;;41.11;;;41.11
04.01.2006 10:00;;41.71;;;41.71
04.01.2006 11:00;;40.42;;;40.42
04.01.2006 12:00;;39.31;;;39.31
04.01.2006 13:00;;39.30;;;39.30
04.01.2006 14:00;;39.44;;;39.44
04.01.2006 15:00;;41.62;;;41.34
04.01.2006 16:00;;44.60;;;38.87
04.01.2006 17:00;;42.92;;;37.69
04.01.2006 18:00;;39.45;;;36.91
04.01.2006 19:00;;38.17;;;36.93
04.01.2006 20:00;;37.43;;;36.97
04.01.2006 21:00;;36.81;;;36.49
04.01.2006 22:00;;36.09;;;36.09
04.01.2006 23:00;;35.73;;;35.73
05.01.2006 00:00;;36.39;;;36.39
05.01.2006 01:00;;36.01;;;36.01
05.01.2006 02:00;;35.49;;;35.45
05.01.2006 03:00;;35.03;;;35.03
05.01.2006 04:00;;35.23;;;35.23
05.01.2006 05:00;;36.14;;;36.14
05.01.2006 06:00;;36.76;;;36.76
05.01.2006 07:00;;37.85;;;37.85
05.01.2006 08:00;;39.31;;;39.31
05.01.2006 09:00;;39.01;;;39.01
05.01.2006 10:00;;39.01;;;39.01
05.01.2006 11:00;;38.80;;;38.80
05.01.2006 12:00;;38.38;;;38.38
05.01.2006 13:00;;38.01;;;38.01
05.01.2006 14:00;;38.06;;;38.06
05.01.2006 15:00;;38.42;;;38.42
05.01.2006 16:00;;39.26;;;39.26
05.01.2006 17:00;;39.18;;;39.18
05.01.2006 18:00;;38.60;;;38.60
05.01.2006 19:00;;37.91;;;37.91
05.01.2006 20:00;;37.11;;;37.11
05.01.2006 21:00;;36.99;;;36.99
05.01.2006 22:00;;36.35;;;36.35
05.01.2006 23:00;;35.95;;;35.95
06.01.2006 00:00;;36.04;;;36.04
06.01.2006 01:00;;35.70;;;35.70
06.01.2006 02:00;;35.08;;;35.08
06.01.2006 03:00;;34.89;;;34.89
06.01.2006 04:00;;35.04;;;35.04
06.01.2006 05:00;;35.51;;;35.51
06.01.2006 06:00;;35.70;;;35.70
06.01.2006 07:00;;36.61;;;35.75
06.01.2006 08:00;;36.99;;;36.95
06.01.2006 09:00;;37.03;;;37.03
06.01.2006 10:00;;37.18;;;37.18
06.01.2006 11:00;;37.14;;;37.14
06.01.2006 12:00;;37.01;;;37.01
06.01.2006 13:00;;36.99;;;36.99
06.01.2006 14:00;;36.98;;;36.98
06.01.2006 15:00;;37.44;;;37.44
06.01.2006 16:00;;38.05;;;38.05
06.01.2006 17:00;;38.25;;;38.25
06.01.2006 18:00;;37.81;;;37.81
06.01.2006 19:00;;37.15;;;37.15
06.01.2006 20:00;;36.87;;;36.87
06.01.2006 21:00;;36.89;;;36.89
06.01.2006 22:00;;36.43;;;36.43
06.01.2006 23:00;;36.06;;;36.06
07.01.2006 00:00;;36.06;;;36.06
07.01.2006 01:00;;35.73;;;35.73
07.01.2006 02:00;;35.40;;;35.40
07.01.2006 03:00;;34.89;;;34.89
07.01.2006 04:00;;34.79;;;34.79
07.01.2006 05:00;;35.00;;;35.00
07.01.2006 06:00;;35.18;;;35.18
07.01.2006 07:00;;35.44;;;35.44
07.01.2006 08:00;;36.46;;;36.46
07.01.2006 09:00;;36.83;;;36.83
07.01.2006 10:00;;37.05;;;37.05
07.01.2006 11:00;;37.07;;;37.07
07.01.2006 12:00;;36.97;;;36.97
07.01.2006 13:00;;36.86;;;36.86
07.01.2006 14:00;;36.94;;;36.94
07.01.2006 15:00;;37.57;;;37.57
07.01.2006 16:00;;39.08;;;39.08
07.01.2006 17:00;;40.71;;;40.71
07.01.2006 18:00;;38.34;;;38.34
07.01.2006 19:00;;37.12;;;37.12
07.01.2006 20:00;;36.71;;;36.71
07.01.2006 21:00;;36.66;;;36.66
07.01.2006 22:00;;36.22;;;36.22
07.01.2006 23:00;;35.96;;;35.96
08.01.2006 00:00;;36.31;;;36.31
08.01.2006 01:00;;35.99;;;35.99
08.01.2006 02:00;;35.28;;;35.28
08.01.2006 03:00;;34.83;;;34.83
08.01.2006 04:00;;34.61;;;34.61
08.01.2006 05:00;;34.56;;;34.56
08.01.2006 06:00;;34.30;;;34.30
08.01.2006 07:00;;34.51;;;34.51
08.01.2006 08:00;;34.58;;;34.58
08.01.2006 09:00;;35.20;;;35.20
08.01.2006 10:00;;36.35;;;36.35
08.01.2006 11:00;;36.59;;;36.59
08.01.2006 12:00;;36.58;;;36.58
08.01.2006 13:00;;36.33;;;36.33
08.01.2006 14:00;;36.14;;;36.14
08.01.2006 15:00;;36.57;;;36.57
08.01.2006 16:00;;37.80;;;37.80
08.01.2006 17:00;;38.95;;;38.95
08.01.2006 18:00;;38.37;;;38.37
08.01.2006 19:00;;37.75;;;37.75
08.01.2006 20:00;;37.14;;;37.14
08.01.2006 21:00;;37.09;;;37.09
08.01.2006 22:00;;36.60;;;36.60
08.01.2006 23:00;;36.16;;;36.16
09.01.2006 00:00;;36.32;;;36.32
09.01.2006 01:00;;35.82;;;35.82
09.01.2006 02:00;;35.25;;;35.25
09.01.2006 03:00;;35.06;;;35.06
09.01.2006 04:00;;35.43;;;35.43
09.01.2006 05:00;;36.36;;;36.36
09.01.2006 06:00;;38.25;;;38.25
09.01.2006 07:00;;40.15;;;40.15
09.01.2006 08:00;;44.98;;;44.98
09.01.2006 09:00;;43.34;;;43.34
09.01.2006 10:00;;42.83;;;42.83
09.01.2006 11:00;;43.75;;;43.75
09.01.2006 12:00;;42.30;;;42.30
09.01.2006 13:00;;41.45;;;41.45
09.01.2006 14:00;;42.19;;;42.19
09.01.2006 15:00;;44.69;;;44.69
09.01.2006 16:00;;48.10;;;48.10
09.01.2006 17:00;;44.91;;;44.91
09.01.2006 18:00;;40.48;;;40.48
09.01.2006 19:00;;39.01;;;39.01
09.01.2006 20:00;;38.21;;;38.21
09.01.2006 21:00;;37.89;;;37.89
09.01.2006 22:00;;36.96;;;36.96
09.01.2006 23:00;;36.32;;;36.32
10.01.2006 00:00;;36.02;;;36.02
10.01.2006 01:00;;35.54;;;35.54
10.01.2006 02:00;;35.46;;;35.46
10.01.2006 03:00;;35.21;;;35.21
10.01.2006 04:00;;35.49;;;35.49
10.01.2006 05:00;;36.08;;;36.08
10.01.2006 06:00;;37.01;;;37.01
10.01.2006 07:00;;37.87;;;37.87
10.01.2006 08:00;;38.48;;;38.48
10.01.2006 09:00;;38.22;;;38.22
10.01.2006 10:00;;38.01;;;38.01
10.01.2006 11:00;;37.92;;;37.92
10.01.2006 12:00;;37.78;;;37.78
10.01.2006 13:00;;37.53;;;37.53
10.01.2006 14:00;;37.44;;;37.44
10.01.2006 15:00;;37.56;;;37.56
10.01.2006 16:00;;37.83;;;37.83
10.01.2006 17:00;;37.79;;;37.79
10.01.2006 18:00;;37.42;;;37.42
10.01.2006 19:00;;37.04;;;37.04
10.01.2006 20:00;;36.56;;;36.56
10.01.2006 21:00;;36.27;;;36.27
10.01.2006 22:00;;35.48;;;35.48
10.01.2006 23:00;;34.74;;;34.74
11.01.2006 00:00;;34.97;;;34.97
11.01.2006 01:00;;34.93;;;34.93
11.01.2006 02:00;;34.70;;;34.70
11.01.2006 03:00;;34.48;;;34.48
11.01.2006 04:00;;34.72;;;34.72
11.01.2006 05:00;;35.55;;;35.55
11.01.2006 06:00;;36.07;;;36.07
11.01.2006 07:00;;36.62;;;36.62
11.01.2006 08:00;;36.91;;;36.91
11.01.2006 09:00;;36.80;;;36.80
11.01.2006 10:00;;36.80;;;36.80
11.01.2006 11:00;;36.74;;;36.74
11.01.2006 12:00;;36.68;;;36.68
11.01.2006 13:00;;36.64;;;36.64
11.01.2006 14:00;;36.78;;;36.78
11.01.2006 15:00;;36.92;;;36.92
11.01.2006 16:00;;37.50;;;37.50
11.01.2006 17:00;;37.70;;;37.70
11.01.2006 18:00;;37.30;;;37.30
11.01.2006 19:00;;36.79;;;36.79
11.01.2006 20:00;;36.44;;;36.44
11.01.2006 21:00;;36.37;;;36.37
11.01.2006 22:00;;35.98;;;35.98
11.01.2006 23:00;;35.53;;;35.53
12.01.2006 00:00;;35.15;;;35.15
12.01.2006 01:00;;35.01;;;35.01
12.01.2006 02:00;;34.94;;;34.94
12.01.2006 03:00;;34.55;;;34.55
12.01.2006 04:00;;35.09;;;35.09
12.01.2006 05:00;;35.75;;;35.63
12.01.2006 06:00;;36.27;;;36.27
12.01.2006 07:00;;36.94;;;36.42
12.01.2006 08:00;;38.22;;;36.66
12.01.2006 09:00;;37.60;;;36.36
12.01.2006 10:00;;37.26;;;36.53
12.01.2006 11:00;;37.27;;;36.45
12.01.2006 12:00;;37.12;;;36.44
12.01.2006 13:00;;36.93;;;36.59
12.01.2006 14:00;;36.85;;;36.85
12.01.2006 15:00;;36.98;;;36.98
12.01.2006 16:00;;37.24;;;37.24
12.01.2006 17:00;;37.20;;;37.20
12.01.2006 18:00;;37.01;;;37.01
12.01.2006 19:00;;36.56;;;36.56
12.01.2006 20:00;;36.25;;;36.25
12.01.2006 21:00;;36.20;;;36.20
12.01.2006 22:00;;35.75;;;35.75
12.01.2006 23:00;;35.44;;;35.44
13.01.2006 00:00;;35.17;;;35.17
13.01.2006 01:00;;34.98;;;34.98
13.01.2006 02:00;;34.77;;;34.77
13.01.2006 03:00;;34.65;;;34.65
13.01.2006 04:00;;34.89;;;34.89
13.01.2006 05:00;;35.60;;;35.11
13.01.2006 06:00;;36.34;;;35.91
13.01.2006 07:00;;36.94;;;36.94
13.01.2006 08:00;;37.49;;;37.49
13.01.2006 09:00;;37.38;;;37.38
13.01.2006 10:00;;37.36;;;37.36
13.01.2006 11:00;;37.13;;;37.13
13.01.2006 12:00;;36.86;;;36.86
13.01.2006 13:00;;36.64;;;36.64
13.01.2006 14:00;;36.55;;;36.55
13.01.2006 15:00;;36.65;;;36.65
13.01.2006 16:00;;36.90;;;36.90
13.01.2006 17:00;;37.10;;;37.10
13.01.2006 18:00;;36.98;;;36.98
13.01.2006 19:00;;36.51;;;36.51
13.01.2006 20:00;;36.37;;;36.37
13.01.2006 21:00;;36.32;;;36.32
13.01.2006 22:00;;35.97;;;35.97
13.01.2006 23:00;;35.60;;;35.60
14.01.2006 00:00;;35.75;;;35.75
14.01.2006 01:00;;35.62;;;35.62
14.01.2006 02:00;;35.52;;;35.52
14.01.2006 03:00;;35.25;;;35.25
14.01.2006 04:00;;35.08;;;35.08
14.01.2006 05:00;;35.46;;;35.46
14.01.2006 06:00;;35.39;;;35.39
14.01.2006 07:00;;35.83;;;35.83
14.01.2006 08:00;;36.01;;;36.01
14.01.2006 09:00;;36.43;;;36.43
14.01.2006 10:00;;36.57;;;36.57
14.01.2006 11:00;;36.55;;;36.55
14.01.2006 12:00;;36.35;;;36.35
14.01.2006 13:00;;36.14;;;36.14
14.01.2006 14:00;;36.17;;;36.17
14.01.2006 15:00;;36.64;;;36.64
14.01.2006 16:00;;37.19;;;37.19
14.01.2006 17:00;;37.80;;;37.80
14.01.2006 18:00;;37.37;;;37.37
14.01.2006 19:00;;36.70;;;36.70
14.01.2006 20:00;;36.36;;;36.36
14.01.2006 21:00;;36.40;;;36.40
14.01.2006 22:00;;36.01;;;36.01
14.01.2006 23:00;;35.98;;;35.98
15.01.2006 00:00;;36.15;;;36.15
15.01.2006 01:00;;35.87;;;35.87
15.01.2006 02:00;;35.65;;;35.65
15.01.2006 03:00;;35.30;;;35.30
15.01.2006 04:00;;35.14;;;35.14
15.01.2006 05:00;;34.96;;;34.96
15.01.2006 06:00;;34.39;;;34.39
15.01.2006 07:00;;34.24;;;33.98
15.01.2006 08:00;;34.68;;;33.13
15.01.2006 09:00;;35.60;;;35.60
15.01.2006 10:00;;36.25;;;36.25
15.01.2006 11:00;;36.48;;;36.48
15.01.2006 12:00;;36.42;;;36.42
15.01.2006 13:00;;36.04;;;36.04
15.01.2006 14:00;;35.45;;;35.45
15.01.2006 15:00;;35.61;;;35.61
15.01.2006 16:00;;36.59;;;36.59
15.01.2006 17:00;;37.28;;;37.28
15.01.2006 18:00;;37.41;;;37.41
15.01.2006 19:00;;37.07;;;37.00
15.01.2006 20:00;;36.71;;;36.71
15.01.2006 21:00;;36.66;;;36.66
15.01.2006 22:00;;36.10;;;36.10
15.01.2006 23:00;;35.99;;;35.99
16.01.2006 00:00;;35.70;;;35.70
16.01.2006 01:00;;35.42;;;35.42
