orgn,name,id,id_erapp2
914807077,A/S Norske Shell,446,1
934863909,AGA AS,767,2
982974011,AGDER ENERGI NETT AS,624,3
882973972,AGDER ENERGI PRODUKSJON AS,620,4
976542622,AKERSHUS ENERGI VANNKRAFT AS,421,5
915729290,Aktieselskabet Saudefaldene,753,6
916958900,AKTIESELSKABET TYSSEFALDENE,235,7
911074184,ALBERT COLLETT,31,8
948292025,ALPIQ NORWAY AS,576,9
971029390,ALTA KRAFTLAG SA,7,10
939984194,ALVDAL KOMMUNE,831,11
971048611,ANDùY ENERGI AS,9,13
979331622,ARCTIC WIND AS,626,15
910261525,ARENDALS FOSSEKOMPANI ASA,10,16
911305631,AS EIDEFOSS,37,18
840550672,AS NORDLANDSKRAFT,780,19
915297331,AS RANDSFJORD TREMASSE- & PAPIRFABRIKK,160,20
917045658,AS VADHEIM ELEKTROCHEMISKE FABRIKER,781,21
923263985,AS VIGELANDS BRUG,273,22
979492898,ASBJùRN VANVIK,749,23
974521539,ASKùY ENERGI AS,14,25
985129770,ASKùY ENERGI KRAFTSALG AS,654,26
975332438,AURLAND ENERGIVERK AS,418,28
959254893,AUSTEVOLL KRAFTLAG SA,16,29
986198113,AXPO NORDIC AS,677,31
971034696,BAGN KRAFTVERK DA,17,32
971592117,BALLANGEN ENERGI AS,18,34
990892687,BE KRAFTSALG AS,725,36
976820592,BERGEN ENERGI SPOT AS,595,38
953181606,BINDAL KRAFTLAG SA,22,41
982770297,BKK MARKED AS,728,42
976944801,BKK NETT AS,566,43
876944642,BKK PRODUKSJON AS,424,44
979427697,BKK VARME AS,782,45
911177870,BOLIDEN ODDA AS,729,46
916694385,"BORREGAARD INDUSTRIES LIMITED, NORGE",220,48
918312730,DALANE NETT AS,257,52
982388406,DALANE KRAFT AS,683,53
986336834,DALE KRAFT AS,731,54
991664289,DANSKE COMMODITIES,783,55
993597074,DIDEX AS,784,56
911204177,DRAGEFOSSEN KRAFTANLEGG AS,34,57
971028440,DRANGEDAL EVERK KF,35,58
947590618,DRIVA KRAFTVERK,271,59
994451723,E ON GLOBAL COMMODITIES SE,785,61
995287889,E20STRùM AS,830,62
979709625,EB HANDEL AS,697,63
979487223,EB KRAFTPRODUKSJON AS,571,64
981915550,EB NETT AS,615,65
999173772,EB STRùM AS,855,66
976894677,E-CO ENERGI AS,447,67
991903283,EDF TRADING LIMITED,572,68
988339385,EIDSDAL KRAFT AS,786,69
980258165,EIDSIVA BIOENERGI AS,787,70
