idaar,estimate,correst
72014,0.827191,0.788652
92014,0.761868,0.740684
142014,1,0.881621
162014,0.458208,0.445686
182014,0.929572,0.876778
222014,0.780159,0.732299
322014,0.883326,0.790823
352014,0.841224,0.799836
372014,1,0.944196
412014,0.67526,0.649274
422014,0.654763,0.642144
432014,0.620443,0.602464
452014,0.481973,0.466893
462014,0.533968,0.516187
522014,0.595576,0.565079
532014,0.826775,0.801777
552014,0.524622,0.500835
562014,0.680893,0.654832
622014,0.950102,0.8873
632014,0.756143,0.739365
652014,0.695292,0.679143
712014,0.696984,0.674079
722014,0.712472,0.676479
822014,0.789027,0.729771
842014,0.728267,0.705567
862014,0.818654,0.791541
882014,0.768814,0.739027
912014,0.802187,0.760458
932014,0.691965,0.673915
952014,0.960665,0.933798
962014,0.645765,0.619139
972014,0.595684,0.578671
1022014,0.806914,0.762796
1032014,0.73082,0.673062
1042014,0.767184,0.744262
1062014,0.586693,0.567938
1162014,0.627595,0.608331
1192014,0.921675,0.874003
1322014,1,0.905085
1332014,0.975524,0.899767
1352014,0.959671,0.919676
1382014,0.672986,0.613028
1462014,0.70574,0.691326
1472014,0.656321,0.624437
1492014,0.843456,0.815086
1532014,0.808019,0.7851
1572014,0.877254,0.81543
1612014,0.772726,0.743674
1622014,0.634928,0.607865
1632014,0.830551,0.793383
1642014,0.611869,0.564503
1662014,0.735441,0.694677
1682014,0.658022,0.626009
1712014,0.630525,0.575164
1732014,0.954874,0.936414
1812014,0.468744,0.45895
1832014,0.647179,0.628126
1842014,0.686964,0.653261
1942014,0.667397,0.637086
1962014,0.589537,0.571831
1972014,0.631151,0.608634
2042014,0.610569,0.591262
2052014,0.687728,0.654858
2062014,0.66476,0.637183
2102014,0.593572,0.552929
2132014,0.753878,0.726222
2142014,0.65331,0.614869
2152014,0.862247,0.820001
2182014,0.482679,0.455692
2232014,0.603609,0.591236
2272014,0.909158,0.888092
2312014,1,0.88434
2342014,0.508674,0.498587
2382014,0.736871,0.706726
2422014,0.57403,0.55539
2482014,0.694167,0.655343
2492014,0.696734,0.672839
2512014,0.785496,0.759146
2572014,0.717424,0.699428
2622014,0.896289,0.855039
2642014,0.671316,0.635014
2672014,0.570449,0.55948
2692014,0.586522,0.570553
2742014,0.708593,0.675833
2752014,0.87427,0.836271
2952014,0.837363,0.813804
3062014,0.78512,0.751942
3112014,0.74024,0.723834
3432014,0.805457,0.736699
3492014,0.539976,0.526572
3542014,0.536157,0.5264
3732014,0.643639,0.615473
4182014,0.585527,0.561474
4332014,0.80594,0.791023
4602014,0.636562,0.609139
4642014,0.713005,0.69723
4952014,0.695935,0.676137
5032014,0.709348,0.680873
5112014,0.908284,0.841202
5422014,0.821973,0.793687
5662014,0.747874,0.718743
5742014,0.853233,0.819732
5782014,0.687181,0.674741
5912014,0.729776,0.707203
5932014,0.619889,0.603247
5992014,0.570062,0.554677
6112014,0.854612,0.804105
6132014,0.842465,0.811565
6142014,0.98662,0.905141
6152014,0.848054,0.765712
6242014,0.82359,0.791166
6252014,0.618448,0.598147
6372014,0.599103,0.578526
6592014,0.791037,0.766471
6692014,0.826975,0.78333
6752014,0.922863,0.836808
6932014,0.720469,0.681531
6992014,1,0.940875
7262014,0.786209,0.768144
