idaar,estimate,correst
142013,0.62586695,0.606977582
562013,0.498703599,0.466700464
622013,0.899223149,0.870354474
632013,0.519550025,0.462632447
652013,0.967718005,0.859154165
712013,0.751207709,0.694304705
862013,0.989046395,0.947255909
1322013,0.97499007,0.924519122
1332013,1,0.839109361
1462013,0.88896507,0.805553377
1522013,0.522407651,0.487754732
1972013,0.595787406,0.570891559
2102013,0.526553929,0.479672313
2152013,0.954205751,0.858151078
2272013,0.894727528,0.815495193
2492013,0.823056221,0.785751462
2512013,0.538601816,0.508827925
2572013,0.533717871,0.50854063
2692013,0.594133377,0.567346632
2752013,0.740460873,0.707146049
2952013,0.858077347,0.79411608
3112013,1,0.763202965
3542013,0.744498789,0.633093596
4332013,0.875959337,0.832316279
4602013,0.743457675,0.652230144
4642013,0.787649512,0.732987463
5032013,1,0.847316504
5112013,1,0.77298677
5662013,0.722907424,0.651983678
5742013,0.852161705,0.781325877
6112013,0.992798924,0.95013541
6152013,1,0.900856137
6242013,0.71246779,0.671845973
6372013,0.612391055,0.560465097
6752013,0.910137296,0.822513521
6992013,0.671456337,0.632482708
7262013,1,0.912922084
7532013,0.532480299,0.494355112
