d_dea_til2trinn15,rs_dea_til2trinn15,idaar
,,372010
0.9955572,1.169575,372014
,,372012
,,372011
1.027479,1.58126,372013
0.8251526,0.6996068,6242014
0.8273525,0.6808552,6242013
,,6242010
,,6242011
,,6242012
,,7532011
,0.700766,7532014
,,7532010
,,7532012
,0.7134787,7532013
0.8064381,1.104208,72013
,,72012
,,72011
,,72010
0.8300708,1.00819,72014
,,92010
0.723728,0.7311261,92014
,,92011
,,92012
0.7506134,1.190092,92013
,,102012
,,102013
,,102011
,,102014
,,102010
,,142012
,,142011
1.100241,0.6203506,142013
,,142010
0.9146474,0.6174678,142014
0.5643403,,4182014
0.6030719,,4182013
,,4182011
,,4182010
,,4182012
,,162011
0.4799293,,162014
,,162012
0.4428855,,162013
,,162010
,,5662011
,,5662012
0.764392,0.7044536,5662014
,,5662010
0.803738,0.7743441,5662013
,,182011
0.9253897,,182014
,,182010
0.9194835,,182013
,,182012
,,222010
,,222012
,,222011
0.8346586,,222014
0.7426038,,222013
,,2572012
0.7071202,0.552682,2572013
0.7347971,0.4718722,2572014
,,2572010
,,2572011
,,342012
,,342011
0.6810538,,342013
,,342010
0.6244047,,342014
0.8428745,,352013
,,352010
,,352012
0.82279,,352014
,,352011
,,2712012
,,2712011
,4.318902,2712013
,,2712010
,1.605651,2712014
,0.9180903,4472014
,,4472011
,0.9787509,4472013
,,4472012
,,4472010
,,6152010
0.8382944,1.031727,6152013
,,6152012
,,6152011
0.7797382,0.9609865,6152014
0.860144,0.9447961,5742013
,,5742012
,,5742010
,,5742011
0.8648027,0.9654147,5742014
,,232010
,,232013
,,232012
,,232011
,,232014
0.6913778,,4952014
,,4952012
0.728757,,4952013
,,4952011
,,4952010
0.9659687,,6142013
,,6142011
,,6142012
,,6142010
0.919178,,6142014
,,412012
0.6449118,,412014
0.7001728,,412013
,,412010
,,412011
,,1472011
0.6695108,,1472013
,,1472010
0.6771581,,1472014
,,1472012
,,422011
0.5766051,,422014
0.6485457,,422013
,,422010
,,422012
0.6190001,,432013
,,432012
,,432010
0.5923567,,432014
,,432011
,,452010
,,452012
0.4824765,,452014
0.4912153,,452013
,,452011
0.5488479,,462013
,,462010
,,462011
0.4947789,,462014
,,462012
0.6884565,,5782014
,,5782012
,,5782010
,,5782011
0.6950715,,5782013
,,522012
0.5958892,,522014
,,522011
0.5817506,,522013
,,522010
,,5492011
0.7954336,,5492014
0.8966166,,5492013
,,5492012
,,5492010
,,532010
,,532012
,,532011
0.806568,,532013
0.8180535,,532014
0.8959118,,322013
,,322010
,,322011
,,322012
0.8389698,,322014
,,552011
0.5232476,,552013
,,552012
0.5250083,,552014
,,552010
,,9002013
,,9002010
,,9002014
,,9002011
,,9002012
,,1192011
0.9285624,,1192013
0.8337519,,1192014
,,1192012
,,1192010
,,2952011
,,2952012
0.832333,0.9944332,2952013
,,2952010
0.887742,0.9937322,2952014
,,622011
0.9033136,1.007862,622014
,,622010
,,622012
0.9083,1.075822,622013
0.9436216,1.172141,6752013
,,6752011
0.984494,1.026549,6752014
,,6752010
,,6752012
,,2752012
,,2752011
0.8656989,0.8965238,2752013
0.820155,0.7878195,2752014
,,2752010
,,652010
