orgn,y,comp,t_dep.sf,rd_dep.sf,ld_dep.sf,rd_nl,ld_nl,ld_sub,ld_bv.sf,rd_bv.sf,t_bv.sf,ld_ss,ld_hvoh,ld_hv,ld_cens,rd_cens,t_cens,ld_cga,rd_dep.gf,rd_bv.gf,ld_dep.gf,ld_bv.gf,ld_391,rd_391,t_391,ld_hvug,ld_hvsc,ld_OPEXxS,ld_sal,ld_sal.cap,ld_pens,ld_pens.eq,ld_impl,rd_sal,rd_sal.cap,rd_pens,rd_pens.eq,rd_impl,t_sal,t_sal.cap,t_pens,t_pens.eq,t_impl,rd_OPEXxS,t_OPEXxS,rd_cga,ld_gci,rd_wv.ol,rd_wv.uc,rd_wv.sc,rd_wv.ss,rdz_inc.av,rdz_f12,ldz_f4,ldz_inc.av,ldz_wind,ldz_cod2c,ldz_f7,ldz_snow,ldz_lat.av,ldz_ice.av,ldz_temp,ldz_isl,ldz_cmpp,rdz_mgc,ldz_mgc,t_wv.ol,t_wv.uc,t_wv.sc,t_wv.ss
982974011,2007,AGDER ENERGI NETT AS,917,40658,105503,156026,214859,163797,1769368,720672,13837,7345,4133,5405,24243,3252,0,0,142,4809,5652,166080,2567,0,0,1226,46,217374,45824,12669,3987,23251,0,11779,1223,1270,7385,0,0,0,0,0,0,44578,0,2130,0,0,0,0,0,11.25119479,0.322927188,0.191333531,10.13857617,25.10088701,23065.99067,0.08431657,233.4426373,58.03603396,62.44468603,6.135692452,5,100.3549,32851,173392,0,0,0,0
982974011,2008,AGDER ENERGI NETT AS,917,41827,110502,156437,234400,168868,1903314,714287,12920,7589,4114,5457,46043,2977,0,0,142,4667,7242,203820,3082,0,0,1295,48,247935,58849,12462,5144,50285,0,14435,2048,1373,13427,0,0,0,0,0,0,52061,0,2255,0,0,0,0,0,11.25119479,0.322927188,0.191333531,10.13857617,25.10088701,23065.99067,0.08431657,233.4426373,58.03603396,62.44468603,6.135692452,5,100.3549,32851,173392,0,0,0,0
982974011,2009,AGDER ENERGI NETT AS,917,43738,116892,157457,220074,172123,2074329,817034,12003,7540,4090,5519,38269,4443,0,0,143,4640,8939,251542,0,0,0,1369,60,248635,66914,15014,6481,-16731,0,16231,3177,1626,-4199,0,0,0,0,0,0,44846,0,1720,0,0,0,0,0,11.25119479,0.322927188,0.191333531,10.13857617,25.10088701,23065.99067,0.08431657,233.4426373,58.03603396,62.44468603,6.135692452,5,100.3549,32851,173392,0,0,0,0
982974011,2010,AGDER ENERGI NETT AS,918,48796,126886,141685,241262,175278,2168255,824737,20521,7616,4081,5550,23813,2746,0,0,145,4495,9599,287798,0,0,0,1407,62,264348,67630,13617,-19013,24022,0,16755,2440,-5039,6367,0,0,0,0,0,0,55225,0,1243,672,116344,8797,0,126987,11.25119479,0.322927188,0.191333531,10.13857617,25.10088701,23065.99067,0.08431657,233.4426373,58.03603396,62.44468603,6.135692452,5,100.3549,32851,173392,0,0,0,5226
982974011,2011,AGDER ENERGI NETT AS,433,50759,133218,153920,139895,178171,2293992,902047,7476,7706,4081,5605,50698,4692,0,0,242,12031,12063,313906,4778,164,0,1460,64,292427,71479,14461,4540,63421,0,23847,3889,1589,22199,0,0,0,0,0,0,65831,134,751,672,116413,10490,0,128998,11.25119479,0.322927188,0.191333531,10.13857617,25.10088701,23065.99067,0.08431657,233.4426373,58.03603396,62.44468603,6.135692452,5,100.3549,32851,173392,0,0,0,5226
982974011,2012,AGDER ENERGI NETT AS,549,56136,140554,163227,217225,184367,2348334,1018350,8527,7782,4079,5656,26122,2147,0,0,341,11650,14133,387154,6100,25,0,1511,66,249748,80429,19378,8422,-49082,0,24681,4184,2827,-16478,0,0,0,0,0,0,57783,131,2036,1725,156137,10536,0,141247,11.25119479,0.322927188,0.191333531,10.13857617,25.10088701,23065.99067,0.08431657,233.4426373,58.03603396,62.44468603,6.135692452,5,100.3549,32851,173392,0,0,0,4831
982974011,2013,AGDER ENERGI NETT AS,549,62735,142532,144636,224418,188027,2456413,1133313,7978,7823,4065,5689,47148,3009,0,0,356,12786,16617,433700,3654,478,0,1553,71,280861,81119,23265,11177,-18685,0,29002,6211,4403,-7361,0,0,0,0,0,0,58760,117,786,1725,155176,12171,0,146147,11.25119479,0.322927188,0.191333531,10.13857617,25.10088701,23065.99067,0.08431657,233.4426373,58.03603396,62.44468603,6.135692452,5,100.3549,32851,173392,0,0,0,3702
982974011,2014,AGDER ENERGI NETT AS,549,70037,147205,178151,181219,190548,2494413,1210478,7429,7897,4065,5719,45792,3662,155,0,376,12492,19933,514056,7509,911,0,1582,72,282488,99236,39157,5422,17058,0,27930,11329,1498,4713,0,0,0,0,0,0,52657,108,1199,1758,155853,12171,0,150188,11.25119479,0.322927188,0.191333531,10.13857617,25.10088701,23065.99067,0.08431657,233.4426373,58.03603396,62.44468603,6.135692452,5,100.3549,32851,173392,0,0,0,4656
915729290,2007,Aktieselskabet Saudefaldene,0,597,0,28059,0,0,0,6422,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2462,0,104,0,0,0,0,0,0,0,3729,0,0,0,0,0,0,0,14.77316736,0.451748252,0,0,0,0,0,0,0,0,0,0,0,723,0,0,0,0,0
915729290,2008,Aktieselskabet Saudefaldene,0,1443,0,10751,0,0,0,52491,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2356,0,144,0,0,0,0,0,0,0,3541,0,0,0,0,0,0,0,14.77316736,0.451748252,0,0,0,0,0,0,0,0,0,0,0,723,0,0,0,0,0
