"","comp","id","y","id.y","fha_fp_ld_OPEX","fha_fp_rd_OPEX","fha_fp_t_OPEX","fha_fp_ld_cens","fha_fp_rd_cens","fha_fp_t_cens","fha_fp_ld_rab.sf","fha_fp_rd_rab.sf","fha_fp_t_rab.sf","fha_fp_ld_dep.sf","fha_fp_rd_dep.sf","fha_fp_t_dep.sf","fha_fp_ld_391","fha_fp_rd_391","fha_fp_t_391","fha_fp_ld_cga","fha_fp_rd_cga","fha_ld_nl","fha_rd_nl","fha_fp_ld_gci.cost","ap.t_2","ld_sum.cost","rd_sum.cost","t_sum.cost","lrt_sum.cost","ld_cost.RC","rd_cost.RC","t_cost.RC","lrt_cost.RC","lrt_cost.RC.ex.nlR.og.cgaR","ld_cn.cal.RAB","rd_cn.cal.RAB","ld_cn.pre.recal","rd_cn.pre.recal","t_cn.pre.recal","lrt_cn.pre.recal","lrt_RC.pre.recal","lrt_EBIT.pre.recal","lrt_RET.pre.recal"
"1","ALTA KRAFTLAG SA",7,2015,72015,40645.4256275885,3011.96520221954,0,1389.71883049188,0,0,201024.233408883,16211.2800007301,0,13510.3315019532,1758.81571047977,0,1047.21145226024,0.455303430079156,0,0,0,21401.8,5844,0,0.20282,64546.8284927417,6694.48403593075,0,71241.3125286725,78238.9657709157,7798.66469843541,0,86037.6304693511,84362,80294.5807880202,6873.66829416666,80294.5807880202,8549.55217416666,0,88844.1329621868,87721.5319650526,16480.2194363801,0.0758633760093611
"2","ANDùY ENERGI AS",9,2015,92015,15165.126570162,2669.88523990561,0,1144.81909106967,1418.25692455278,0,58273.2569353109,53041.8938918692,0,4743.81068989813,2616.36541016615,0,28.6645551425329,0,0,0,0,4868,3245.2,0,0.20282,23536.2200912695,7989.38697631978,0,31525.6070675893,27505.3208313861,11602.1697754194,0,39107.4906068056,38177,25961.5626201563,12514.5913225829,25961.5626201563,13445.2173265829,0,39406.7799467392,39287.0642107658,7761.4571431765,0.0697250741296338
"3","ARENDALS FOSSEKOMPANI ASA",10,2015,102015,198.324138001038,633.828006075196,0,0,0,0,105.194301089854,5329.28491045724,0,54.5953696368776,669.160514237279,0,0,0,0,0,0,664.2,4679,0,0.19822,456.382073254971,2713.19249948899,0,3169.57457274396,463.547054247457,3076.18008238434,0,3539.7271366318,2198,463.547054247457,1734.38325238434,463.547054247457,3076.18008238434,0,3539.7271366318,3539.7271366318,370.152563887839,0.0681118741058655
"4","ASKùY NETT AS",14,2015,142015,13774.9250205822,6135.15602200527,0,2070.20344367334,0,0,128713.809573944,29171.4640473581,0,8840.16103601445,1565.10317257572,0,158.911897494518,0,0,0,0,12854.2,3122.4,0,0.19777,29660.7030067703,8990.78288181642,0,38651.4858885867,38427.6418001571,10977.7059684939,0,49405.3477686509,48510,45715.132726521,7490.29504430363,45715.132726521,8385.70569230363,0,54100.8384188246,52222.6421587552,13571.1562701685,0.0859558080300747
"5","AUSTEVOLL KRAFTLAG SA",16,2015,162015,19051.6295223589,0,0,1021.15011545755,0,0,58782.7502392078,0,0,4273.14395294303,0,0,446.55479430712,0,0,0,0,8061.2,0,0,0.19777,27908.1884273976,0,0,27908.1884273976,31911.9917112871,0,0,31911.9917112871,31912,24663.1050824005,0,24663.1050824005,0,0,24663.1050824005,27562.6597339551,-345.528693442513,-0.00587806273160807
"6","BALLANGEN ENERGI AS",18,2015,182015,11520.9607856258,677.057492786462,0,413.097658170605,0,0,55103.8633448352,1213.51236209185,0,4276.50780281032,145.769231078854,0,171.333967513062,0,0,0,0,3729.8,100.6,204.837642587055,0.20282,18117.2941939761,893.814139833799,0,19011.1083338099,21870.5215968664,976.468741066511,0,22846.9903379329,22818,22974.2192907161,947.619679066511,23190.1925991377,976.468741066511,0,24166.6613402042,23638.7929392957,4627.68460548573,0.0821715242835174
"7","BINDAL KRAFTLAG SA",22,2015,222015,7225.50835208803,0,0,504.035374949017,0,0,26717.5823059586,0,0,1412.57224785311,0,0,0,0,0,0,0,1606.2,0,0,0.20282,10072.0468923563,0,0,10072.0468923563,11891.8314947929,0,0,11891.8314947929,11892,10667.4228856636,0,10667.4228856636,0,0,10667.4228856636,11157.1863293153,1085.13943695896,0.0406151808398077
"8","NORGESNETT AS",32,2015,322015,55548.0362006751,0,0,3287.69965254593,0,0,464131.579094894,0,0,34725.3745301457,0,0,34.2854709965828,0,0,0,0,53222.8,0,8654.3474088263,0.19874,113697.348922008,0,0,113697.348922008,145310.220605876,0,0,145310.220605876,145310,136602.366476647,0,145727.193429873,0,0,145727.193429873,145560.404300274,31863.055378266,0.0686509102448972
"9","DRANGEDAL EVERK KF",35,2015,352015,12932.7292414417,0,0,523.624692391646,0,0,59152.7694704845,3172.553316111,0,3732.66666415022,338.937101046479,0,128.210626934181,0,0,0,0,4925.2,0,513.653783949264,0.19822,19486.3380898232,357.362866196359,0,19843.7009560195,23515.3440770101,573.451418257458,0,24088.7954952676,24089,23695.877114058,0,24237.4548519273,0,0,24237.4548519273,24177.9911092634,4334.29015324384,0.0695430037014751
"10","AS EIDEFOSS",37,2015,372015,35529.5789834945,5509.88533793942,0,2633.13045982198,430.726926263969,0,176307.420225943,36823.7684176146,0,13491.6987257053,3397.69496327006,0,0,0,0,0,0,17544,10483.2,0,0.19874,59357.5226742937,12831.132281747,0,72188.6549560407,71366.151484653,15339.2681603112,0,86705.4196449642,83699,81348.2872741238,14038.6346595161,81348.2872741238,17044.9019235161,0,98393.1891976399,93718.0813765696,21529.4264205289,0.101014903344507
