"","comp","id","orgn","y","id.y","fp_ld_OPEX","fp_rd_OPEX","fp_t_OPEX","ld_opex_2012","rd_opex_2012","t_opex_2012","fp_ld_cens","fp_rd_cens","fp_t_cens","ld_rab.sf","rd_rab.sf","t_rab.sf","ld_dep.sf","rd_dep.sf","t_dep.sf","fp_ld_391","fp_rd_391","fp_t_391","fp_ld_cga","fp_rd_cga","ld_nl","rd_nl","ld_gci.cost","ap.t_2","ld_sum.cost","rd_sum.cost","t_sum.cost","lrt_sum.cost","ld_cost.RC","rd_cost.RC","t_cost.RC","lrt_cost.RC","lrt_cost.RC.ex.nlR.og.cgaR","lrt_cost.cby","ld_cn.cal.RAB","rd_cn.cal.RAB","ld_cn.pre.recal","rd_cn.pre.recal","t_cn.pre.recal","lrt_cn.pre.recal","lrt_RC.pre.recal","lrt_EBIT.pre.recal","lrt_RET.pre.recal","lrt_RAB","lrt_cn.pos.recal","lrt_RC.pos.recal","lrt_EBIT.pos.recal","lrt_RET.pos.recal"
"1","ALTA KRAFTLAG SA",7,971029390,2016,72016,41537.0110997671,2400.20740587083,0,44738,2609,0,4364,0,0,234777.53,12983.55,0,14397,944,0,82,40,0,0,0,24935,8990,0,0.24445,69384.07082665,5871.24250385601,0,75255.313330506,83188.98959065,6634.67524385601,0,89823.6648345061,89824,56594.184755638,76977.799309898,5657.94542027476,76977.799309898,8054.22992027476,0,85032.0292301727,86948.6834719061,11693.3701414,0.0471961542200252,247761.08,79098.7807298521,83388.7343717137,8133.42104120764,0.0328276783472515
"2","ANDØY ENERGI AS",9,971048611,2016,92016,15614.3149497135,1937.007432457,0,12130,1561,0,353,345,0,65302.56,54723.82,0,5502,3093,0,0,0,0,0,0,4315,2877,0,0.24445,23484.3742607032,6261.37618355204,0,29745.7504442553,27324.1647887032,9479.13679955204,0,36803.3015882553,36803,20007.4067821705,25135.9754852309,10347.6457699987,25135.9754852309,11114.5101199987,0,36250.4856052296,36471.6119984399,6725.86155418457,0.0560365275882233,120026.38,33376.1586966856,34747.0158533135,5001.26540905819,0.0416680517154494
"3","ARENDALS FOSSEKOMPANI ASA",10,910261525,2016,102016,8.24482579412843,1171.05365223077,0,0,1149,0,0,0,0,0,2609.84,0,0,554,0,0,0,0,0,0,360,3235,0,0.24785,104.651960273186,2651.13570818886,0,2755.78766846205,104.651960273186,2804.59430018886,0,2909.24626046205,2909,2070.31922802489,104.651960273186,835.008777511584,104.651960273186,1697.29802751158,0,1801.94998778477,2244.86849685568,-510.919171606366,-0.195766472889666,2609.84,1739.45094933177,2207.36907378388,-548.418594678166,-0.21013494876244
"4","AUSTEVOLL KRAFTLAG SA",16,959254893,2016,162016,17853.7235496679,0,0,17946,0,0,131,0,0,61616.06,0,0,4336,0,0,119,0,0,0,0,9617,0,0,0.24785,25862.0220906163,0,0,25862.0220906163,29485.0464186163,0,0,29485.0464186163,29485,20368.2969996679,24638.570481255,0,24638.570481255,0,0,24638.570481255,26577.1608561995,715.138765583208,0.0116063695988223,61616.06,23163.0223621127,25691.8319847141,-170.190105902173,-0.00276210627395151
"5","BALLANGEN ENERGI AS",18,971592117,2016,182016,10629.1487662648,708.681870809675,0,10880,728,0,570,170,0,59229.43,938.29,0,5385,103,0,150,0,0,0,0,3409,111,197.42,0.24445,18094.9456015235,1056.76605080015,0,19151.7116523236,21577.6360855235,1111.93750280015,0,22689.5735883236,22690,12938.2946370744,21568.0808788326,990.491350126681,21773.5043923461,1020.07840012668,0,22793.5827924728,22751.9791108131,3600.26745848948,0.0598371927420464,60167.72,21352.7187372397,21887.4606776733,2735.74902534967,0.0454687168692725
"6","BINDAL KRAFTLAG SA",22,953181606,2016,222016,5258.8889106599,0,0,5386,0,0,122,0,0,33416.86,0,0,1596,0,0,0,0,0,0,0,1600,0,0,0.24445,7694.79129531883,0,0,7694.79129531883,9659.70266331883,0,0,9659.70266331883,9660,5772.0089106599,10091.5304133459,0,10091.5304133459,0,0,10091.5304133459,9918.79931333506,2224.00801801623,0.0665534708532229,33416.86,9291.28150225612,9438.64996668121,1743.85867136237,0.0521849949804491
"7","NORGESNETT AS",32,980234088,2016,322016,124705.090290193,6705.90571193681,0,116209,6385,0,10069,0,0,1083725.96,31716.02,0,67603,1800,0,209,0,0,0,0,150631,4558,9094.71,0.2577895238,249729.259443918,10086.1428686182,0,259815.402312536,313452.345891918,11951.0448446182,0,325403.390736536,325403,181486.094411128,322427.216627247,5322.75515380082,331890.631086706,6537.69005380082,0,338428.321140507,333218.348978919,73402.9466663824,0.0658061539573599,1115441.98,311716.319178658,317191.14780181,57375.7454892733,0.0514376780845861
"8","DRANGEDAL EVERK KF",35,971028440,2016,352016,13414.9169227537,0,0,13422,0,0,628,0,0,64928.86,0,0,4289,0,0,0,0,0,0,0,5551,0,493.56,0.24785,20567.7691167212,0,0,20567.7691167212,24385.5860847212,0,0,24385.5860847212,24386,15418.7322727537,22210.628709491,0,22724.1978986802,0,0,22724.1978986802,23388.7531730965,2820.9840563754,0.0434473061189646,64928.86,21169.3166347523,22455.8244147398,1888.05529801869,0.0290788302461908
"9","AS EIDEFOSS",37,911305631,2016,372016,35238.7561131437,5953.74254282128,0,37252,6377,0,1854,0,0,206911.63,51997.83,0,11776,4001,0,0,0,0,0,0,20201,23014,0,0.2766,56248.1157808856,16413.452630368,0,72661.5684112536,68414.5196248856,19470.925034368,0,87885.4446592536,87885,54999.7676559649,74373.6893802682,12949.5286331918,74373.6893802682,19083.9103331918,0,93457.59971346,91228.7376917774,18567.1692805238,0.0717129813662422,258909.46,87257.3758313885,87508.6033625345,14847.0349512809,0.0573445054934684
"10","ETNE ELEKTRISITETSLAG SA",41,971028513,2016,412016,8429.63784724568,6.60969799121803,0,8582,0,0,316,0,0,35636.84,224.22,0,3019,17,0,0,0,0,0,0,4268,0,493.56,0.24785,13374.2861197742,23.9697593603894,0,13398.2558791345,15469.7323117742,37.1538953603894,0,15506.8862071345,15507,9810.0713452369,12455.1818751314,101.35423639703,12968.7510643206,101.35423639703,0,13070.1053007176,14044.8176632844,646.561784149848,0.0180296339302254,35861.06,12211.3240084141,13529.5488879023,131.293008767752,0.00366115805745152
