,comp,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,Alta Kraftlag SA,89332.50503,89329.2663,89331.63909,89334.40233,89335.09277,89326.61861,89329.44697,89331.16526,89328.27042,89331.5004
2,And?y Energi AS,40329.61159,40328.53591,40329.58806,40328.8366,40330.15677,40328.6734,40328.41197,40329.08107,40328.59689,40328.07341
3,Arendals Fossekompani ASA,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722
4,Ask?y Energi AS,53368.14163,53368.7779,53366.80608,53368.74507,53367.1971,53368.05474,53367.65876,53368.72425,53367.86895,53367.91777
5,Austevoll Kraftlag BA,26800.49082,26797.65099,26799.01027,26804.95318,26800.96638,26792.4333,26798.6942,26800.23435,26794.33056,26798.88344
6,Ballangen Energi AS,24382.98899,24382.95741,24382.22607,24384.08525,24382.70917,24381.88986,24382.82027,24383.05829,24382.45138,24383.168
7,Bindal Kraftlag SA,11406.9988,11407.3787,11406.65078,11407.26621,11406.64992,11407.11624,11406.94246,11407.38056,11406.85578,11407.04793
8,Fredrikstad Energi Nett AS,147641.2352,147645.2593,147633.3378,147629.0837,147634.6335,147657.0053,147636.5879,147643.4001,147649.5737,147637.2871
9,Drangedal Elverk KF,24932.61393,24933.21165,24933.07313,24933.24309,24932.28972,24932.65251,24933.2939,24933.18381,24932.33875,24932.84574
10,AS Eidefoss,93220.08866,93221.01877,93218.17223,93220.91225,93218.75704,93220.0451,93219.37563,93220.9562,93219.70907,93219.81789
11,Etne Elektrisitetslag,14843.84788,14843.7244,14843.68178,14843.66641,14842.9224,14844.12608,14844.86926,14843.28374,14845.06456,14843.76339
12,Fauske Lysverk AS,37692.0106,37691.06368,37691.90887,37691.15775,37692.0473,37691.98773,37692.16833,37690.82877,37693.08393,37691.71202
13,Finn?s Kraftlag,48663.85552,48662.56209,48662.40084,48667.36022,48663.56209,48658.42705,48662.40896,48664.61401,48658.82697,48662.52474
14,Fitjar Kraftlag SA,23882.74861,23878.47883,23881.18278,23885.15009,23882.44284,23875.24351,23881.36943,23881.04839,23877.97613,23879.6491
15,Fjelberg Kraftlag SA,14563.49813,14562.52408,14564.32243,14564.97372,14564.11687,14560.85945,14563.71232,14563.32206,14561.49933,14563.16243
16,Forsand Elverk Kommunalt F?retak i Forsand,12534.64211,12534.54307,12534.5071,12534.76794,12533.81811,12534.55992,12535.48539,12534.32082,12535.2692,12534.49283
17,Fosenkraft AS,47629.97969,47630.39734,47627.13024,47629.66646,47627.9338,47630.4918,47628.69288,47630.70741,47629.75319,47628.83279
18,Fusa Kraftlag SA,27892.96855,27893.08616,27893.00384,27897.0476,27892.0419,27889.54747,27895.32348,27892.725,27892.41868,27894.35023
19,Sunnfjord Energi AS,158393.5911,158396.3034,158395.5946,158417.1833,158390.3486,158370.6333,158402.1988,158392.8788,158385.8027,158393.6032
20,Hadeland Energinett AS,98410.62711,98409.67889,98410.98507,98412.2748,98411.88824,98408.20872,98410.37451,98410.40572,98408.95251,98411.46909
21,Trollfjord Kraft AS,62250.90838,62243.38659,62248.74831,62251.22417,62253.14177,62243.27639,62247.31667,62248.24184,62245.06711,62249.31908
22,Hammerfest Energi Nett AS,73683.54007,73678.33059,73684.77202,73685.27043,73688.61334,73675.41494,73680.07913,73680.78928,73678.02826,73681.97716
23,HelgelandsKraft AS,455957.5673,455957.9348,455952.7845,455979.2596,455955.0242,455928.7549,455952.806,455959.1149,455938.2348,455946.5766
24,Hemne Kraftlag SA,30885.48085,30885.36301,30886.1181,30887.81372,30885.7109,30883.12512,30886.33946,30885.63198,30884.08179,30886.05951
25,Hurum Energiverk AS,33148.01794,33148.31129,33150.12315,33147.63239,33149.20875,33148.74576,33148.74317,33148.18473,33148.08221,33148.55531
26,H?land og Setskog Elverk,30231.19327,30233.15181,30231.28864,30231.54784,30231.00904,30232.80046,30230.98564,30233.04699,30230.71723,30231.88559
27,Istad Nett AS,164399.1977,164400.6048,164398.2987,164405.5998,164397.5493,164393.6571,164400.0879,164401.0024,164395.0503,164399.0139
28,J?ren Everk Kommunalt foretak i H?,47936.36667,47936.56116,47935.94677,47929.69812,47933.91226,47943.1755,47936.8096,47935.60031,47941.22815,47933.90421
29,Klepp Energi AS,39277.16652,39278.30673,39275.47343,39271.6485,39274.45248,39283.79614,39276.7977,39277.32507,39281.40738,39275.34668
30,Krager? Energi AS,52493.19509,52491.46383,52492.16452,52497.02199,52493.70057,52486.86922,52491.66962,52493.26777,52488.21065,52491.94002
31,Kr?dsherad Everk KF,13536.57912,13536.74194,13537.71815,13536.75778,13537.08609,13536.56053,13537.06234,13536.82012,13536.20301,13536.78658
32,Kvam Kraftverk AS,42336.28698,42335.93838,42336.57181,42340.17654,42335.80123,42332.74573,42338.92301,42335.22802,42336.57093,42338.03521
33,Kvinnherad Energi AS,49196.05269,49196.97166,49194.95703,49203.76619,49193.82767,49190.36439,49199.96703,49195.97777,49195.52897,49199.02483
34,Kv?nangen Kraftverk AS,3591.983363,3591.983363,3591.983363,3591.983363,3591.983363,3591.983363,3591.983363,3591.983363,3591.983363,3591.983363
35,Lier Everk AS,50315.61547,50314.90321,50316.88436,50313.6061,50316.25928,50316.96008,50316.12265,50314.55039,50317.15357,50315.31608
36,Luostejok Kraftlag AL,48871.17708,48871.98639,48870.59101,48869.11139,48871.04224,48873.79597,48869.8996,48871.8975,48871.79827,48870.61162
37,Luster Energiverk AS,25080.9764,25080.73033,25080.93315,25084.20665,25080.46106,25077.96612,25082.78628,25080.36872,25080.75121,25082.16481
38,L?rdal Energi AS,21401.22821,21400.62051,21401.41838,21401.50961,21400.53651,21400.61566,21402.64754,21400.19886,21402.341,21401.24219
39,L?venskiold Fossum Kraft,4372.326364,4372.326364,4372.326364,4372.326364,4372.326364,4372.326364,4372.326364,4372.326364,4372.326364,4372.326364
