comp,,Snitt IR,MAX,MIN,Spread,Standardavik,Spread % av snitt IR,Std.avvik % av snitt IR,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,,,,
Alta Kraftlag SA,,89329.40285,89331.12089,89328.42301,2.697882433,0.579042215,0.0030 %,0.0006 %,89329.44291,89328.42301,89329.04078,89328.98948,89330.52777,89329.71088,89328.50506,89329.58237,89329.28249,89329.74789,89328.7603,89329.73818,89329.61849,89328.59617,89330.21615,89329.35427,89329.61724,89328.8783,89328.76046,89329.36254,89330.38727,89328.82816,89328.92202,89329.46507,89329.49662,89329.57278,89329.91955,89331.12089,89328.90542,89329.97321,89329.20814,89328.93704,89328.89989,89329.75102,89329.0795,89329.25497,89330.06134,89329.66379,89328.68239,89329.85865,89329.96419,89328.98936,89329.22665,,,,
And?y Energi AS,,40328.61142,40328.9088,40328.35182,0.556984123,0.142235492,0.0014 %,0.0004 %,40328.58001,40328.41723,40328.57862,40328.52821,40328.54424,40328.57682,40328.35832,40328.69044,40328.39718,40328.65146,40328.56317,40328.78067,40328.72517,40328.40453,40328.83916,40328.35182,40328.70946,40328.49312,40328.40763,40328.89062,40328.9088,40328.47928,40328.53862,40328.5473,40328.60439,40328.70269,40328.86679,40328.75703,40328.47434,40328.75659,40328.70093,40328.57589,40328.61408,40328.5418,40328.45043,40328.61625,40328.64575,40328.63194,40328.59624,40328.75267,40328.68774,40328.72278,40328.63066,,,,
Arendals Fossekompani ASA,,2353.740722,2353.740722,2353.740722,0,2.76077E-12,0.0000 %,0.0000 %,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,,,,
Ask?y Energi AS,,53367.74231,53368.07683,53367.49519,0.581637974,0.12457607,0.0011 %,0.0002 %,53367.62349,53367.67719,53367.49519,53367.84892,53367.89904,53367.88967,53367.51975,53367.82648,53368.07683,53367.85169,53367.69467,53367.92762,53367.76255,53367.75963,53367.83863,53367.72507,53367.60996,53367.88432,53367.88376,53367.78222,53367.72034,53367.87651,53367.59198,53367.76716,53367.72307,53367.62725,53367.64314,53367.72515,53367.64593,53367.73072,53367.62415,53367.70909,53367.62033,53367.86057,53367.76988,53367.74232,53367.66648,53367.94462,53367.59375,53367.82731,53367.69353,53367.61232,53367.62718,,,,
Austevoll Kraftlag BA,,26798.12999,26800.3668,26796.96713,3.39966298,0.764018838,0.0127 %,0.0029 %,26797.84343,26797.19439,26797.42173,26797.74533,26800.3668,26798.71764,26797.25339,26798.30008,26798.43972,26798.81192,26796.96713,26798.13004,26798.26266,26797.45994,26798.84277,26798.77252,26798.63178,26797.68161,26797.5994,26797.31659,26798.76543,26797.66762,26797.6619,26798.15382,26798.01868,26797.70763,26798.63384,26800.30991,26798.245,26798.22149,26797.40867,26797.45141,26797.57154,26799.11356,26797.78543,26797.97847,26798.7888,26798.16251,26797.30754,26798.56311,26799.1881,26797.03963,26798.0867,,,,
Ballangen Energi AS,,24382.59372,24382.95297,24382.37781,0.575153346,0.129766721,0.0024 %,0.0005 %,24382.5502,24382.46638,24382.41629,24382.60699,24382.95297,24382.77558,24382.42046,24382.64923,24382.79838,24382.71226,24382.43052,24382.61879,24382.59144,24382.54762,24382.69675,24382.72955,24382.57296,24382.5914,24382.62427,24382.43303,24382.63415,24382.60269,24382.47307,24382.63229,24382.59542,24382.53208,24382.56651,24382.88443,24382.53819,24382.59511,24382.4331,24382.4859,24382.45943,24382.75407,24382.61925,24382.5437,24382.66753,24382.70097,24382.38655,24382.68388,24382.66612,24382.37781,24382.51257,,,,
Bindal Kraftlag SA,,11407.04832,11407.17902,11406.96851,0.210509734,0.043812276,0.0018 %,0.0004 %,11406.99809,11407.04194,11406.97051,11407.08126,11407.12945,11407.07243,11407.01056,11407.05106,11407.17902,11407.08484,11407.02694,11407.09845,11407.04928,11407.06773,11407.05584,11407.06932,11407.00815,11407.10926,11407.09958,11407.03682,11407.0074,11407.09584,11407.01285,11407.06253,11407.03193,11406.96851,11406.99605,11407.03615,11407.06296,11407.02963,11407.00328,11407.0408,11407.00501,11407.11658,11407.05311,11407.06012,11407.02419,11407.09791,11407.02042,11407.04579,11407.05193,11406.9916,11407.02271,,,,
Fredrikstad Energi Nett AS,,147639.3878,147642.1707,147634.7098,7.460901963,1.562011824,0.0051 %,0.0011 %,147639.2317,147640.6195,147639.2642,147640.1026,147635.2885,147638.9055,147639.3298,147640.0937,147640.2626,147638.5881,147642.0495,147641.4389,147639.3474,147640.054,147638.8079,147636.9809,147637.5413,147640.9766,147640.7817,147642.1707,147639.0271,147641.0304,147639.1367,147638.9046,147639.6015,147640.0916,147638.3726,147634.7098,147638.0896,147639.4776,147640.3915,147640.8201,147640.029,147637.8596,147639.7365,147640.3059,147637.3591,147640.405,147640.1107,147639.116,147637.3289,147641.0344,147638.902,,,,
Drangedal Elverk KF,,24933.34409,24933.57753,24933.15072,0.426812472,0.098366069,0.0017 %,0.0004 %,24933.27239,24933.4111,24933.3381,24933.37515,24933.53168,24933.30845,24933.46498,24933.25634,24933.40655,24933.38477,24933.23677,24933.21016,24933.32508,24933.43356,24933.25992,24933.5195,24933.42857,24933.37924,24933.37245,24933.17209,24933.17388,24933.35802,24933.41841,24933.36463,24933.27851,24933.15072,24933.30934,24933.36655,24933.57753,24933.21917,24933.273,24933.31958,24933.35361,24933.47915,24933.33778,24933.34055,24933.34429,24933.24603,24933.42466,24933.2698,24933.44114,24933.25088,24933.41192,,,,
AS Eidefoss,,93219.53083,93220.01345,93219.18082,0.832637701,0.177757343,0.0009 %,0.0002 %,93219.36447,93219.4387,93219.18082,93219.67765,93219.74859,93219.7326,93219.21908,93219.64803,93220.01345,93219.68192,93219.47368,93219.80551,93219.558,93219.55255,93219.66404,93219.50073,93219.33233,93219.73753,93219.73278,93219.59355,93219.50099,93219.72322,93219.31474,93219.5672,93219.50631,93219.36744,93219.38113,93219.49983,93219.39014,93219.52105,93219.36681,93219.48858,93219.35354,93219.6997,93219.56951,93219.53824,93219.42307,93219.82233,93219.31973,93219.64357,93219.46001,93219.34792,93219.36456,,,,
Etne Elektrisitetslag,,14844.14799,14844.40437,14843.86655,0.537817941,0.136000443,0.0036 %,0.0009 %,14844.16771,14844.40437,14844.20913,14844.23535,14844.00792,14844.26997,14844.33331,14844.20947,14844.14317,14844.10492,14844.23711,14843.91783,14844.04625,14844.35433,14843.93939,14844.3061,14844.16486,14844.20235,14844.32803,14843.94837,14843.92546,14844.30539,14844.25621,14844.0832,14844.14133,14844.20599,14844.07916,14843.86655,14844.24978,14843.90686,14844.07651,14844.20888,14844.31966,14844.06479,14844.29226,14844.13164,14843.99484,14844.03,14844.21144,14844.12455,14844.04831,14844.11915,14844.19178,,,,
Fauske Lysverk AS,,37691.57231,37691.83607,37691.27017,0.565899967,0.108469852,0.0015 %,0.0003 %,37691.68923,37691.68145,37691.69145,37691.56582,37691.27017,37691.65275,37691.62889,37691.67582,37691.38711,37691.48055,37691.72551,37691.48068,37691.52375,37691.60743,37691.5036,37691.51718,37691.56322,37691.51345,37691.60548,37691.58831,37691.61096,37691.60731,37691.61688,37691.5011,37691.63433,37691.83607,37691.61411,37691.40487,37691.4431,37691.538,37691.62525,37691.63309,37691.7138,37691.35235,37691.65876,37691.55257,37691.50537,37691.52214,37691.57514,37691.61944,37691.43939,37691.67866,37691.57458,,,,
Finn?s Kraftlag,,48662.4123,48664.18181,48661.52578,2.656035324,0.580627009,0.0055 %,0.0012 %,48662.07743,48661.73304,48661.77376,48662.17078,48664.18181,48662.80522,48661.74282,48662.5073,48662.8397,48662.97361,48661.52578,48662.51316,48662.52533,48661.95305,48662.92946,48662.89474,48662.7452,48662.20392,48662.08272,48661.83456,48662.78679,48662.14636,48662.03922,48662.43842,48662.27238,48661.89563,48662.71338,48663.94044,48662.60625,48662.4312,48661.82997,48661.92073,48661.95104,48663.27623,48662.11813,48662.35914,48662.83289,48662.47223,48661.83899,48662.68323,48663.24122,48661.53963,48662.38213,,,,
Fitjar Kraftlag SA,,23880.07049,23881.80072,23879.14244,2.658271325,0.613976985,0.0111 %,0.0026 %,23879.84738,23879.45503,23879.5519,23879.66663,23881.80072,23880.69525,23879.40202,23880.39738,23880.07181,23880.61836,23879.18654,23879.89536,23880.1143,23879.5271,23880.55464,23880.63464,23880.64896,23879.60667,23879.61474,23879.27809,23880.63738,23879.74279,23879.7638,23879.88209,23879.97121,23879.90615,23880.67952,23881.74901,23880.22827,23879.93279,23879.41529,23879.55519,23879.86884,23880.76553,23879.79381,23879.99417,23880.4727,23879.85739,23879.43564,23880.49067,23881.02069,23879.14244,23880.15807,,,,
