,comp,Snitt iR,MAKS,MIN,SPREAD,Standardavvik,Spread i % av snitt IR,STD i % av snitt IR,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
1,Alta Kraftlag SA,89328.94856,89337.36186,89322.02692,15.33494373,3.848576408,0.02 %,0.00 %,89322.98202,89330.69295,89328.07709,89337.29694,89332.96821,89328.78373,89330.1565,89328.10487,89325.80499,89332.77979,89326.35701,89325.71218,89328.46483,89324.50846,89337.36186,89328.13237,89334.81845,89331.7369,89323.78592,89331.13167,89330.65187,89328.04215,89326.80986,89331.6303,89331.66076,89335.45678,89331.19785,89324.88822,89324.93074,89329.09517,89330.39775,89326.8763,89326.01228,89329.7768,89333.72994,89322.02692,89328.92389,89323.37117,89332.94216,89329.67936,89323.29122,89332.67689,89322.59781,89329.88371,89327.15531,89327.76844,89325.2209,89332.83637,89325.01237,89333.22804
2,And?y Energi AS,40328.66583,40330.97513,40326.63002,4.345107862,0.923121758,0.01 %,0.00 %,40327.96879,40328.98944,40328.77705,40330.71457,40329.60938,40329.32063,40328.01843,40326.63002,40327.87887,40329.12977,40328.08146,40328.51719,40327.15346,40328.27532,40330.22364,40328.95086,40328.49012,40330.16827,40327.85214,40328.7267,40328.97944,40328.101,40328.59343,40328.52863,40329.36908,40330.97513,40329.0481,40329.18675,40329.50203,40328.92612,40329.52026,40329.08187,40328.74293,40328.51934,40328.58202,40327.12987,40327.67044,40327.65505,40329.27163,40328.46301,40328.18824,40328.93692,40327.38597,40330.05177,40328.32528,40329.29399,40327.54367,40328.46727,40326.90767,40328.86867
3,Arendals Fossekompani ASA,2353.740722,2353.740722,2353.740722,0,3.21555E-12,0.00 %,0.00 %,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722,2353.740722
4,Ask?y Energi AS,53367.65202,53370.05996,53365.95978,4.100186314,0.798825074,0.01 %,0.00 %,53367.07122,53367.84558,53368.19245,53368.14681,53367.93493,53367.25428,53368.14053,53367.83003,53366.41161,53367.21023,53370.05996,53366.32749,53368.16112,53367.39706,53368.02093,53366.74978,53368.12557,53367.37988,53366.92016,53368.00241,53368.70211,53366.82895,53368.08051,53367.33425,53368.924,53367.96097,53367.54155,53366.03786,53367.07693,53367.45426,53368.23378,53368.21134,53368.47495,53366.86143,53367.90256,53367.54374,53368.03519,53367.39537,53367.62937,53368.6343,53366.74593,53366.84829,53365.95978,53367.2476,53368.54544,53367.4813,53366.68241,53368.08531,53367.96099,53368.99873
5,Austevoll Kraftlag BA,26797.52596,26806.76015,26788.11672,18.6434218,4.846570032,0.07 %,0.02 %,26790.8121,26800.60429,26794.74686,26801.42982,26802.31592,26793.7262,26797.54804,26803.50873,26794.6418,26801.83031,26796.87616,26791.80515,26805.45028,26789.42185,26805.52674,26793.44209,26806.76015,26796.37916,26791.70812,26802.64404,26800.76571,26798.79318,26795.68065,26804.30856,26798.76792,26800.81035,26799.25605,26790.7199,26788.11672,26798.22167,26798.89257,26792.11871,26793.02321,26798.97044,26804.85935,26792.34865,26798.95342,26791.82432,26800.63919,26798.59929,26792.68079,26803.41863,26792.07106,26793.9912,26795.36404,26793.72113,26795.28018,26804.43048,26796.54041,26801.95251
6,Ballangen Energi AS,24382.44228,24384.01196,24380.72649,3.2854674,0.871796399,0.01 %,0.00 %,24381.34676,24382.77447,24382.28773,24383.40673,24382.97211,24381.87799,24383.03619,24383.43804,24381.56988,24382.76824,24383.18424,24381.16151,24383.62133,24381.10064,24383.56219,24381.68577,24384.01196,24382.20304,24381.38539,24383.18339,24383.23907,24382.46415,24382.13096,24383.19849,24383.06195,24382.7346,24382.78422,24380.79655,24380.72649,24382.24044,24382.57908,24381.75215,24382.03321,24382.4342,24383.57119,24381.64419,24382.96856,24381.54191,24383.08893,24383.17559,24381.17491,24382.95902,24381.09285,24381.7707,24382.51156,24381.76342,24381.87549,24383.65541,24382.67073,24383.89633
7,Bindal Kraftlag SA,11407.02326,11407.87494,11406.3889,1.48603487,0.290378865,0.01 %,0.00 %,11406.8852,11407.12191,11407.14477,11406.67429,11407.0777,11406.66587,11407.13255,11407.48089,11406.81513,11406.90466,11407.87494,11406.64019,11407.5708,11407.12654,11406.96933,11406.59619,11407.19283,11406.64043,11406.91097,11407.17063,11407.30986,11406.76199,11407.29968,11407.02099,11407.30965,11406.83121,11406.8061,11406.3889,11406.74296,11407.05066,11407.16576,11407.16127,11407.26944,11406.77307,11407.17734,11407.26621,11407.27785,11407.13555,11406.81146,11407.26218,11406.94535,11406.75097,11406.67072,11406.59537,11407.31545,11406.87235,11406.86345,11407.18805,11407.3361,11407.20709
8,Fredrikstad Energi Nett AS,147640.0097,147660.9694,147618.6917,42.27771449,10.66419773,0.03 %,0.01 %,147649.3939,147635.5534,147650.8751,147638.6169,147634.3559,147649.7325,147640.3961,147621.4238,147635.4079,147629.3344,147657.7207,147642.109,147618.6917,147655.3053,147628.7956,147643.6274,147624.765,147641.1368,147646.6666,147632.1651,147638.6677,147629.9617,147644.6543,147619.8698,147648.3658,147642.1251,147639.0157,147646.3181,147659.8062,147637.0148,147644.553,147660.9694,147657.0422,147630.5163,147625.4174,147649.0764,147637.0502,147647.8935,147630.7256,147640.5753,147641.4574,147620.961,147639.8763,147650.251,147652.6659,147648.3866,147636.0809,147626.2897,147637.2587,147641.5646
9,Drangedal Elverk KF,24933.37852,24935.69095,24931.34297,4.347974902,0.834796625,0.02 %,0.00 %,24933.61454,24933.60243,24932.8294,24931.34297,24933.26883,24932.23732,24932.9549,24935.35816,24934.14593,24933.44114,24933.4213,24933.4532,24935.69095,24933.30582,24932.67037,24932.72734,24933.53999,24932.31781,24933.74153,24933.77218,24933.43694,24933.92146,24933.85407,24934.416,24932.53919,24931.98144,24932.70781,24933.08387,24932.5024,24933.76622,24933.09001,24932.46468,24932.9564,24933.6283,24933.74134,24934.30735,24933.75979,24933.9769,24932.91212,24933.24592,24934.43355,24933.82876,24934.24076,24932.00362,24933.04498,24932.86514,24934.16083,24933.77484,24934.46334,24932.38164
10,AS Eidefoss,93219.39913,93222.86853,93216.99594,5.872587841,1.144389666,0.01 %,0.00 %,93218.57114,93219.66534,93220.20805,93220.06695,93219.79121,93218.84676,93220.12663,93219.63913,93217.64587,93218.77502,93222.86853,93217.52573,93220.05305,93219.14827,93219.91143,93218.11825,93220.07056,93218.96837,93218.38344,93219.86936,93220.85474,93218.1645,93220.02272,93218.87152,93221.24472,93219.84103,93219.22701,93217.06827,93218.62928,93219.11625,93220.2344,93220.28677,93220.61215,93218.24568,93219.75504,93219.29143,93219.97759,93219.07004,93219.30664,93220.7705,93218.0922,93218.1897,93216.99594,93218.82294,93220.7199,93219.16123,93218.01136,93219.98354,93219.82929,93221.30707
