"","r_tilDEA$id","x.snitt.r","sf_r_vluft","sf_r_vjord","sf_r_vsjo","sf_r_vgrs","x.faktisk.r","r_vluft","r_vjord","r_vsjo","r_vgrs"
"7",7,6375,7988,62,0,5211,5580,7988,62,0,5403
"9",9,10271,16434,789,316,4927,12763,18148,857,316,5002
"14",14,8804,67,50,0,4990,11122,67,71,0,5582
"37",37,9820,20257,310,0,9484,8318,20017,279,0,9433
"56",56,28762,17222,1046,0,10186,27351,17320,1046,0,10366
"62",62,7573,2818,220,0,6167,7646,2818,220,0,6167
"63",63,15355,4048,488,4932,3082,17187,4048,702,7901,3206
"65",65,14923,18017,1397,2381,6765,17354,17996,1394,2381,8193
"71",71,79130,79030,0,4224,28456,127087,76299,0,8858,31067
"86",86,19767,15855,1368,0,17705,20781,15855,1368,0,17705
"93",93,6916,3302,0,0,5314,6157,3302,0,0,5314
"103",103,4379,14211,0,0,1996,5610,14211,0,0,2791
"132",132,18781,23821,275,308,9707,23124,23821,596,308,9750
"133",133,18656,26769,1216,1039,5400,17030,26820,1216,1039,5400
"138",138,6402,14693,0,0,2955,5203,14693,0,0,2955
"146",146,14807,6866,3437,1673,9296,13153,6866,3437,1673,9296
"152",152,8878,6237,0,0,2092,7853,6237,0,0,2092
"164",164,10080,30398,2178,2234,6415,9593,30398,2178,2234,6422
"197",197,14707,10695,21,0,5909,13153,10695,21,0,5896
"206",206,3705,4130,0,0,2189,3130,4130,0,0,2435
"210",210,62578,35067,3605,6515,25276,69439,35649,5154,6576,28235
"215",215,130758,105074,25242,6034,106613,120806,106287,26733,6034,107487
"227",227,79425,40285,16730,15181,51777,86570,41482,16920,17083,51464
"249",249,41263,43623,0,0,19005,44405,42274,0,0,19226
"251",251,16516,10217,0,0,7094,14456,10270,0,0,7025
"257",257,12813,6559,294,0,6193,13325,6559,294,0,6193
"269",269,56270,41847,861,279,20676,50024,39682,861,279,20191
"271",271,1290,8176,0,0,1690,1408,8176,0,0,1690
"275",275,14452,10285,298,0,9691,15286,10285,339,0,10232
"288",288,9652,21943,0,0,3979,7071,21943,0,0,3979
"295",295,9930,7754,1180,0,7646,10443,7412,2117,0,7622
"311",311,41802,38352,6407,25843,27144,51205,38345,7394,25843,35675
"354",354,42169,26392,2657,19409,14481,56593,27111,2897,22184,17107
"433",433,19829,17061,473,207,15644,17147,17061,473,207,15644
"460",460,115809,69252,18129,25678,60485,112928,67611,19152,24242,60021
"464",464,9676,9810,147,768,4029,17789,9839,176,768,4029
"503",503,40685,29382,10315,756,35431,41450,29382,10656,756,38927
"511",511,169273,80778,55661,2617,86331,195359,80612,58214,2617,86939
"566",566,297562,119053,55187,40040,141693,334180,121005,56141,41927,142287
"574",574,205725,188491,17503,10935,150382,210201,191212,18045,10935,163361
"591",591,6092,5520,0,0,5401,6832,5449,0,0,4846
"611",611,230237,216671,5763,2150,206111,235408,230990,7024,2150,207452
"615",615,120959,128347,12410,0,109541,129741,128304,12846,0,120049
"624",624,216305,149202,10833,0,139563,228333,166440,12171,0,152481
"625",625,6164,10673,158,0,6580,8159,13152,166,0,7674
"637",637,16726,4676,2590,1458,7459,20406,4676,2590,1458,7533
"669",669,4637,448,0,0,3652,4487,448,0,0,3652
"675",675,704334,178611,143899,3493,562545,710933,180044,155133,3493,561060
"699",699,126140,103153,5060,2101,57525,115966,103577,5229,2076,57753
"726",726,58045,67317,4328,5720,45487,59710,67230,4328,5720,46066
"753",753,23101,7987,2186,0,10927,17923,4947,2181,0,12517
