"","id","fha_rd_TOTXDEA","fha_rd_wv.ol","fha_rd_wv.uc","fha_rd_wv.sc","fha_rd_wv.ss"
"61",71,124568.380718616,73442.684,1618.952,14013.24,39814.2
"201",197,54397.9522570636,17011.86,1677.162,366.92,18498.612
"326",215,247828.389217538,138800.58,41638.032,9783.03,142736.35
"331",227,314099.159919063,137274.73,33773.474,32062.49,119327.414
"301",249,118329.079650229,42570.014,847.638,0,26158.122
"21",269,333050.444444334,168625.298,26884.55,30454.596,113828.222
"241",311,66995.5022607828,34697.796,6981.044,25509.522,24450.23
"391",354,102997.510942539,15757.158,3250.08,22059.7,16976.054
"386",433,55421.2962283255,22745.57,4345.296,1782.746,31587.106
"36",503,201301.040546337,81526.182,21255.398,7529.866,89537.02
"356",511,328205.21930197,83619.646,59834.18,3388.06,137978.06
"316",566,330583.653952855,124808.1,42698.782,43518.774,202969.474
"346",611,386044.098968484,216929.01,5362.066,2664.156,229163.114
"381",624,542652.423529411,292314.654,37704.972,0,301026.304
"366",675,1300142.11463913,372628.188,200823.542,13479.58,729114.274
"401",699,166083.633536202,103739.184,10463.004,2183.894,61964.156
