"","ld_EVAL$id","X.avg.ld","fha_ld_sub","fha_ld_hv","fha_ld_ss","X.cb.ld","ld_sub","ld_hv","ld_ss"
"7",7,104511,13814,880,950,110182,14236,899,968
"9",9,40733,3691,316,231,40690,3694,321,233
"16",16,44289,4688,162,192,48106,4764,169,200
"22",22,15569,1215,148,119,19558,1218,151,121
"32",32,441050,101664,1748,3130,468532,103871,1773,3148
"35",35,32112,3931,282,287,33895,4018,286,291
"37",37,99905,14716,982,1083,109205,14896,988,1096
"42",42,64958,8267,422,373,68553,8305,445,383
"43",43,61140,8869,270,333,60799,9029,270,340
"55",55,34217,3406,188,241,39451,3840,190,243
"63",63,65926,5701,375,347,68081,5763,373,358
"65",65,75734,8135,521,479,74554,8271,525,485
"71",71,410805,46679,3156,3114,451115,47094,3168,3143
"82",82,42508,7659,172,311,43990,7863,174,316
"84",84,40062,6844,261,337,43495,6998,265,343
"86",86,215283,32873,1388,1633,242379,33655,1437,1648
"88",88,51969,9291,302,417,55807,9518,301,419
"91",91,47307,9545,222,322,49553,10035,223,327
"93",93,61813,10090,349,386,60694,10150,354,393
"95",95,23799,3378,156,202,23568,3495,157,206
"96",96,62315,7651,256,390,70169,7804,257,397
"104",104,32766,3956,257,272,39226,4060,261,280
"116",116,46938,4914,316,326,52037,4946,318,331
"132",132,76299,6868,852,581,85704,6899,862,594
"133",133,79101,9370,1006,717,88283,9605,1052,726
"135",135,93027,11709,1070,996,100244,12042,1067,1009
"157",157,34799,4712,292,401,38151,4803,298,398
"161",161,35691,4994,298,241,36851,5120,299,250
"162",162,50648,5389,345,395,52587,5525,346,398
"164",164,125219,10626,1262,847,127940,10666,1258,840
"168",168,20111,2685,136,176,20547,2774,139,179
"173",173,38760,6657,361,389,48455,6815,370,400
"194",194,19686,2142,178,208,21146,2168,179,211
"197",197,138679,13397,860,929,145047,13789,863,952
"213",213,34711,4901,189,233,35988,5007,190,241
"214",214,48409,3288,266,322,48012,3393,268,331
"215",215,878255,180986,4840,5875,962038,186931,4910,5964
"223",223,64855,7916,387,421,58306,7999,397,437
"227",227,897281,122253,6058,6315,948048,125163,6120,6461
"238",238,66087,7115,507,460,67026,7208,507,460
"242",242,20994,2343,119,141,22335,2437,122,145
"248",248,28789,2565,210,243,32995,2653,222,256
"249",249,177205,17392,1381,1224,164829,17620,1375,1231
"251",251,146957,15200,1185,1004,152141,15531,1208,1027
"257",257,103049,15441,778,849,95867,15704,794,863
"264",264,59700,10971,371,595,63293,11232,374,621
"267",267,32556,3588,151,142,32722,3587,155,146
"269",269,800634,102966,3923,4913,865509,104593,3930,4986
"274",274,71060,7088,534,558,72839,7178,537,565
"275",275,417063,58309,2533,3814,434456,60876,2594,3867
"295",295,143174,22310,991,1244,165946,23042,1015,1278
"306",306,115153,16344,785,1071,118749,16746,830,1089
"311",311,187583,26845,1214,1379,189484,27100,1205,1391
"349",349,71733,7811,361,430,79105,8008,378,448
"354",354,221804,17805,919,880,231209,18107,924,894
"433",433,314439,42560,1942,2109,334138,43005,1988,2159
"464",464,116225,12168,726,756,123039,12305,744,766
"503",503,556036,95423,2958,3726,610704,96215,2989,3790
"511",511,810039,161918,3042,4003,829567,165684,3110,4066
"542",542,101001,14037,800,959,101707,14119,811,990
"566",566,1470003,266766,6813,7858,1544536,271760,6954,8059
"591",591,145525,19268,847,1062,142202,19694,861,1082
"599",599,43895,5031,255,286,46309,5114,256,291
"611",611,1000761,213228,4828,7211,1071291,217721,4888,7291
"613",613,116273,16295,702,999,123626,16610,727,1018
"624",624,1617977,312176,8319,12201,1763558,318950,8449,12478
"625",625,103632,12552,452,606,107849,13064,463,612
"659",659,75067,11352,465,638,76734,11521,468,644
"675",675,4277081,973361,20584,30304,4432690,992316,20687,30588
"699",699,647952,90450,5411,7116,709974,91624,5453,7172
"903",903,157813,24637,1269,1540,160421,25060,1285,1577
