"","rd_EVAL$id","X.avg.rd","fha_rd_wv.ol","fha_rd_wv.uc","fha_rd_wv.sc","fha_rd_wv.ss","X.cb.rd","rd_wv.ol","rd_wv.uc","rd_wv.sc","rd_wv.ss"
"7",7,5265,7988,62,0,5331,4165,7988,62,0,5367
"9",9,12059,16490,857,316,4854,10442,16496,857,316,4762
"32",32,9999,67,64,0,5388,10510,67,71,0,5583
"37",37,13832,24284,295,0,10469,17485,27373,279,0,11694
"56",56,24286,16225,1053,0,10387,23527,16277,1063,0,10418
"63",63,14495,2223,421,4741,3080,5888,2223,178,2474,3015
"65",65,17507,17995,1395,2381,7610,19828,17819,1394,2381,8148
"71",71,108410,73514,619,8603,30358,118796,72304,1479,14013,34941
"86",86,20173,15855,1368,0,17223,19449,15855,1368,0,17223
"93",93,7217,3302,0,0,5314,6877,3302,0,0,5314
"103",103,5831,14211,153,0,2495,8781,14211,170,0,2792
"106",106,2620,2248,0,0,2798,2136,2248,0,0,2798
"132",132,20156,23814,491,308,10471,20845,23814,596,308,10800
"133",133,17365,26795,1212,1039,5393,14122,26820,1207,1039,5367
"138",138,5134,14693,0,0,2819,4174,14693,0,0,2819
"146",146,16984,6052,3375,1673,9350,18395,4899,3281,1673,9433
"164",164,10178,28626,2178,2234,6314,8909,28626,2178,2234,6314
"173",173,1717,5829,0,0,1515,1659,5829,0,0,1515
"184",184,3639,1135,17,0,2657,4876,1495,21,0,3673
"197",197,13394,10264,40,0,6185,12427,10350,114,0,7157
"206",206,3266,4205,87,0,2121,2745,4232,87,0,2056
"215",215,140313,100393,26450,6034,106828,138558,102045,27123,6034,108253
"227",227,90041,40695,16434,20701,53158,95745,42962,14116,20701,55506
"238",238,1413,1933,0,417,2685,2087,1933,0,417,3057
"249",249,45794,39767,30,0,19800,55157,39289,30,0,22956
"251",251,15148,9596,70,0,6819,13211,9593,70,0,6780
"257",257,15499,6485,330,50,6930,17531,6373,348,61,8969
"269",269,52080,41064,2028,432,22507,56332,39444,5504,1042,23120
"271",271,1007,7462,0,0,1690,322,7462,0,0,1690
"275",275,14796,7612,339,0,9577,14477,7612,339,0,9663
"288",288,7975,20059,0,0,3978,5394,20059,0,0,3978
"295",295,9390,7584,1786,0,7771,8846,7681,2022,0,8270
"311",311,51393,35324,6921,25801,27456,59482,34668,7532,25739,25129
"343",343,5621,1810,250,0,2561,5368,1810,277,0,2575
"354",354,53017,23843,2759,17990,12741,37044,17181,2497,10853,12282
"433",433,20384,17061,501,207,16138,26776,17061,615,207,16976
"460",460,116714,66125,18998,25658,58652,117133,65449,18901,24840,60005
"464",464,11820,9843,235,814,4181,11584,9906,366,1000,4925
"484",484,9124,2618,93,0,1806,6412,2552,0,0,1806
"503",503,115962,63231,15219,7331,64012,120861,63229,16147,7331,68081
"511",511,187366,80619,57476,2617,87243,195029,80580,58212,2617,87832
"566",566,319187,116453,56469,62497,142273,382316,121184,58499,149494,158251
"574",574,198501,189702,18097,10935,153625,168036,190511,17936,10935,160574
"591",591,6945,5463,110,0,4708,7906,5425,171,0,4538
"611",611,248300,223471,6749,2150,208621,278885,220886,7234,2150,212152
"615",615,128661,131172,13101,0,123894,114356,130862,13282,0,125933
"624",624,221885,156596,12106,0,148748,241755,159756,13568,0,153991
"625",625,6826,12059,163,0,7370,7993,13152,166,0,8032
"637",637,18157,4313,2590,1458,7604,17169,4313,2590,1458,7664
"675",675,700639,174503,157607,3551,556462,662213,176514,167959,3782,535872
"699",699,130206,99366,6121,2071,56654,134775,99364,7750,2063,57376
"726",726,60882,61515,4549,5720,47084,65622,62129,5435,5720,50364
"743",743,13431,3355,776,0,12765,15325,3355,776,0,12765
"753",753,36215,6251,2181,0,10708,16459,4947,2181,0,10052
