"","comp","id","orgn","y","id.y","fp_ld_OPEX","fp_rd_OPEX","fp_t_OPEX","fp_ld_cens","fp_rd_cens","fp_t_cens","ld_rab.sf","rd_rab.sf","t_rab.sf","ld_dep.sf","rd_dep.sf","t_dep.sf","fp_ld_391","fp_rd_391","fp_t_391","fp_rd_cga.tidl.coord","ld_nl","rd_nl","ap.t_2","pnl.rc","ld_sum.cost","rd_sum.cost","t_sum.cost","lrt_sum.cost","ld_cost.RC","rd_cost.RC","t_cost.RC","lrt_cost.RC","lrt_cost.RC.ex.nl.cga","lrt_cost.cby","ld_cn.cal.RAB","rd_cn.cal.RAB","ld_cn.pre.recal","rd_cn.pre.recal","t_cn.pre.recal","lrt_cn.pre.recal","lrt_RC.pre.recal","lrt_RAB","lrt_cn.pos.recal","lrt_RC.pos.recal"
"1","ALUT AS",7,925336637,2024,72024,48043.4224424305,3145.97906643326,0,4885,0,0,373083.9,65197.52,0,11362,2562,0,0,0,0,0,19539,7215,0.29777,0.22609631,73328.2904344759,7625.0418721357,0,80953.3323066116,100003.789284476,12286.6645521357,0,112290.453836612,110659,64040.9400888638,97308.2156995532,13391.7337528239,97308.2156995532,15023.0186294739,0,112331.234329027,112319.000181302,438281.42,113102.09851041,112858.60510827
"2","NORANETT ANDØY AS",9,921680554,2024,92024,19766.1283878616,9089.45437818638,0,5723,11897,0,114157.27,63438.1,0,4136,1847,0,606,0,0,0,2432,4936,0.29777,0.22609631,32270.3898499199,25398.4894916103,0,57668.8793415302,40432.6346549199,29934.3136416103,0,70366.9482965302,69251,48669.552126048,31839.1218675917,19759.1711882224,31839.1218675917,20875.1825743824,0,52714.3044419741,58010.097598341,177595.37,53026.6651838746,58228.7501176713
"3","HAVNETT AS",16,924004150,2024,162024,24074.1158601511,0,0,341,0,0,108500.26,0,0,3688,0,0,556,0,0,0,5880,0,0.62815,0.67065185,34251.2866912986,0,0,34251.2866912986,42009.0552812986,0,0,42009.0552812986,42009,28108.6378601511,36829.0552940583,0,36829.0552940583,0,0,36829.0552940583,38383.0552902304,108500.26,37019.8892201342,38516.6390384835
"4","BINDAL KRAFTLAG SA",22,953181606,2024,222024,9207.067764966,0,0,817,0,0,42193.76,0,0,3173,0,0,0,0,0,0,2582,0,0.29777,0.22609631,14660.0171375212,0,0,14660.0171375212,17676.8709775212,0,0,17676.8709775212,17677,10792.909904966,13099.2112319163,0,13099.2112319163,0,0,13099.2112319163,14472.5091555977,42193.76,13173.4230437285,14524.4574238663
"5","NORGESNETT AS",32,980234088,2024,322024,154642.73059743,14208.0553217974,0,14747,0,0,1544656.63,165581.42,0,71789,6801,0,0,0,0,0,95677,4508,0.55037,0.613622006939662,314708.52306343,25065.9103867966,0,339774.433450226,425151.47210843,36904.9819167966,0,462056.454025226,459290,238736.604369227,441413.295793626,27875.7155956045,441413.295793626,30641.9236028885,0,472055.219396515,469055.589785128,1710238.05,475063.243908215,471161.206943318
"6","DE NETT AS",35,924862602,2024,352024,18123.0984553171,1148.53723421945,0,679,0,0,87273.09,1506.92,0,3409,49,0,110,0,0,0,3912,0,0.62815,0.67065185,26516.5509196743,1301.86933093839,0,27818.4202506126,32756.5768546743,1409.61411093839,0,34166.1909656126,34166,22407.9584895366,32187.3561929261,1409.61411093839,32187.3561929261,1409.61411093839,0,33596.9703038645,33767.736502389,88780.01,33753.1195874271,33877.0410008828
"7","FJELLNETT AS",37,923354204,2024,372024,46310.1326948419,15990.7532381628,0,3717,0,0,309310.48,148608.37,0,12039,4870,0,0,0,0,0,21461,27496,0.36878,0.38107685,74645.9470660044,32791.428050261,0,107437.375116265,96761.6463860044,43416.926505261,0,140178.572891265,129700,84072.2483930047,96612.5817214393,36948.1151934131,96612.5817214393,47426.2042610131,0,144038.785982452,142880.722055096,457918.85,144844.189139732,143444.504265192
"8","STRAM AS",42,914385261,2024,422024,24704.7857833336,0,0,1712,0,0,216628.84,0,0,7525,0,0,357,0,0,0,9339,0,0.29777,0.22609631,38387.1605005434,0,0,38387.1605005434,53876.1225605434,0,0,53876.1225605434,53876,29197.6598133336,48041.7348233052,0,48041.7348233052,0,0,48041.7348233052,49792.0511444767,216628.84,48422.748952105,50058.7610346366
"9","BØMLO KRAFTNETT AS",43,923934138,2024,432024,23892.7730087234,249.633729081035,0,481,0,0,256560.2,1334.21,0,9423,50,0,249,0,0,0,6787,0,0.62815,0.67065185,40544.0873744766,322.310234109182,0,40866.3976085858,58888.1416744766,417.706249109182,0,59305.8479235858,59306,28886.6607878044,63509.7445082435,310.954216517098,63509.7445082435,310.954216517098,0,63820.6987247606,62466.2434844082,257894.41,64274.2921334153,62783.7588704664
"10","LYSNA AS",55,923833706,2024,552024,22484.169233414,0,0,426,0,0,86393.38,0,0,4526,0,0,0,0,0,0,6577,0,0.62815,0.67065185,33911.8086650668,0,0,33911.8086650668,40088.9353350668,0,0,40088.9353350668,40089,27041.511783414,34531.6207560782,0,34531.6207560782,0,0,34531.6207560782,36198.8151297748,86393.38,34683.5723540961,36305.1812483873
"11","NORANETT HADSEL AS",63,917983550,2024,632024,24820.5358639373,3259.12358002899,0,2900,0,0,284716.98,70121.27,0,10003,1896,0,647,0,0,0,7946,883,0.29777,0.22609631,41926.718564257,5650.82249738903,0,47577.541061646,62283.982634257,10664.493302389,0,72948.475936646,72749,33608.6707739663,54494.0161236294,10219.4089058755,54494.0161236294,10419.0519476055,0,64913.0680712349,67323.6904308582,354838.25,65537.1695837048,67760.5614895872
"12","LUCERNA AS",65,982897327,2024,652024,25506.6723054387,25102.9387669671,0,8861,4251,0,206024.85,115110.71,0,10310,3958,0,0,0,0,0,12615,19485,0.29777,0.22609631,50311.1545430897,40220.4859440475,0,90531.6404871372,65041.9313180897,48450.9017090475,0,113492.833027137,109087,73280.0280724059,65903.474497245,33562.1789902948,65903.474497245,37967.6655906448,0,103871.14008789,106757.647969664,321135.56,104435.964169577,107153.024826845
"13","LINEA AS",71,917424799,2024,712024,183158.905626903,48011.2852039584,0,40341,4425,0,1334189.8,708348.35,0,54976,27245,0,793,0,0,289,75506,35536,0.29777,0.22609631,314299.200186695,92624.2472545468,0,406923.447441242,409693.770886695,143271.154279547,0,552964.925166242,544615,309290.167170861,367802.114860491,132689.241274563,367802.114860491,141039.052248648,0,508841.167109139,522078.29452627,2042538.15,512433.652272992,524593.034140967
"14","ASKER NETT AS",82,917743193,2024,822024,21403.3736774064,0,0,1138,0,0,122755.4,0,0,5228,0,0,0,0,0,0,8961,0,0.55337,0.62431985,35367.7929535177,0,0,35367.7929535177,44144.8040535177,0,0,44144.8040535177,44145,27500.1222474064,43830.0782870317,0,43830.0782870317,0,0,43830.0782870317,43924.4960169775,122755.4,44045.9846353576,44075.6304608056
"15","HØLAND OG SETSKOG ELVERK AS",84,923488960,2024,842024,18338.9578986135,0,0,539,0,0,100281.89,0,0,8258,0,0,0,0,0,0,10302,0,0.55337,0.62431985,35261.8365701971,0,0,35261.8365701971,42431.9917051971,0,0,42431.9917051971,42432,24578.7756386135,37006.6011855628,0,37006.6011855628,0,0,37006.6011855628,38634.2183414531,100281.89,37182.9803645897,38757.6837667719
"16","ELINETT AS",86,979379455,2024,862024,82072.0780639287,7930.3230234536,0,5494,721,0,1033559.26,194939.09,0,39910,9749,0,0,0,0,872,29732,15159,0.36878,0.38107685,146549.46853097,25886.4391017349,0,172435.907632705,220448.95562097,39824.5840367349,0,260273.539657705,253546,113644.304067382,218026.619151584,35351.0708421167,218026.619151584,42079.0265125754,0,260105.645664159,260156.013862223,1228498.35,262266.37010213,261668.520968802
"17","JÆREN EVERK AS",88,824914982,2024,882024,25488.2413606541,829.364836342483,0,524,0,0,193451.36,91167.65,0,8077,2237,0,229,0,0,0,7948,1522,0.62815,0.67065185,41762.3664386141,4162.4357131575,0,45924.8021517716,55594.1386786141,10680.9226881575,0,66275.0613667716,65254,32790.1866969966,47364.8310545824,9080.17491332537,47364.8310545824,10100.9070290254,0,57465.7380836078,60108.535068557,284619.01,57966.3356223982,60458.9533457102
"18","KE NETT AS",91,977285712,2024,912024,17092.1187481463,1516.46420908195,0,625,0,0,192922.12,10531.27,0,5589,190,0,0,0,0,0,11200,3030,0.62815,0.67065185,32402.799278046,3876.29356914059,0,36279.0928471866,46196.730858046,4629.27937414059,0,50826.0102321866,48794,28172.1574572283,41404.67873695,2500.8960052737,41404.67873695,4532.9711107737,0,45937.6498477237,47404.1579630626,203453.39,46295.4905495537,47654.6464543436
