,comp,id,y,id.y,fp_ld_OPEX,fp_rd_OPEX,fp_t_OPEX,ld_opex_2012,rd_opex_2012,t_opex_2012,fp_ld_cens,fp_rd_cens,fp_t_cens,ld_rab.sf,rd_rab.sf,t_rab.sf,ld_dep.sf,rd_dep.sf,t_dep.sf,fp_ld_391,fp_rd_391,fp_t_391,fp_ld_cga,fp_rd_cga,ld_nl,rd_nl,ld_gci.cost,ap.t_2,ld_sum.cost,rd_sum.cost,t_sum.cost,lrt_sum.cost,ld_cost.RC,rd_cost.RC,t_cost.RC,lrt_cost.RC,lrt_cost.RC.ex.nlR.og.cgaR,lrt_cost.cby,ld_cn.cal.RAB,rd_cn.cal.RAB,ld_cn.pre.recal,rd_cn.pre.recal,t_cn.pre.recal,lrt_cn.pre.recal,lrt_RC.pre.recal,lrt_EBIT.pre.recal,lrt_RET.pre.recal,lrt_RAB,lrt_cn.pos.recal,lrt_RC.pos.recal,lrt_EBIT.pos.recal,lrt_RET.pos.recal
1,ALTA KRAFTLAG SA,7,2016,72016,41537.0111,2400.207406,0,44738,2609,0,4364,0,0,234777.53,12983.55,0,14397,944,0,82,40,0,0,0,24935,8990,0,0.24445,69384.07083,5871.242504,0,75255.31333,83188.98959,6634.675244,0,89823.66483,89824,56594.18476,76512.78557,5669.995254,76512.78557,8066.279754,0,84579.06533,86676.90513,11421.5918,0.046099217,247761.08,78658.34303,83124.47175,7869.158421,0.031761076
2,ANDùY ENERGI AS,9,2016,92016,15614.31495,1937.007432,0,12130,1561,0,353,345,0,65302.56,54723.82,0,5502,3093,0,0,0,0,0,0,4315,2877,0,0.24445,23484.37426,6261.376184,0,29745.75044,27324.16479,9479.1368,0,36803.30159,36803,20007.40678,24991.66992,10442.73618,24991.66992,11209.60053,0,36201.27045,36442.0829,6696.332458,0.055790506,120026.38,33333.01178,34721.1277,4975.37726,0.041452365
3,ARENDALS FOSSEKOMPANI ASA,10,2016,102016,8.244825794,1171.053652,0,0,1149,0,0,0,0,0,2609.84,0,0,554,0,0,0,0,0,0,360,3235,0,0.24785,104.6519603,2651.135708,0,2755.787668,104.6519603,2804.5943,0,2909.24626,2909,2070.319228,104.6519603,835.0087775,104.6519603,1697.298028,0,1801.949988,2244.868497,-510.9191716,-0.195766473,2609.84,1739.582897,2207.448242,-548.3394263,-0.210104614
4,AUSTEVOLL KRAFTLAG SA,16,2016,162016,17853.72355,0,0,17946,0,0,131,0,0,61616.06,0,0,4336,0,0,119,0,0,0,0,9617,0,0,0.24669,25862.02209,0,0,25862.02209,29485.04642,0,0,29485.04642,29485,20357.14128,24595.23738,0,24595.23738,0,0,24595.23738,26551.161,689.1389073,0.011184404,61616.06,23122.80442,25667.70122,-194.3208684,-0.003153737
5,BALLANGEN ENERGI AS,18,2016,182016,10629.14877,708.6818708,0,10880,728,0,570,170,0,59229.43,938.29,0,5385,103,0,150,0,0,0,0,3409,111,197.42,0.24445,18094.9456,1056.766051,0,19151.71165,21577.63609,1111.937503,0,22689.57359,22690,12938.29464,21479.22327,990.4913501,21684.64678,1020.0784,0,22704.72518,22698.66454,3546.952891,0.058951094,60167.72,21266.90306,21835.97127,2684.259619,0.044612952
6,BINDAL KRAFTLAG SA,22,2016,222016,5258.888911,0,0,5386,0,0,122,0,0,33416.86,0,0,1596,0,0,0,0,0,0,0,1600,0,0,0.24445,7694.791295,0,0,7694.791295,9659.702663,0,0,9659.702663,9660,5772.008911,10039.63626,0,10039.63626,0,0,10039.63626,9887.662821,2192.871526,0.065621711,33416.86,9241.076824,9408.52716,1713.735864,0.05128357
7,NORGESNETT AS,32,2016,322016,124705.0903,6705.905712,0,116209,6385,0,10069,0,0,1570547.98,64998.55,0,67603,1800,0,209,0,0,0,0,150631,4558,9094.71,0.257789524,249729.2594,10086.14287,0,259815.4023,342077.4807,13908.05761,0,355985.5383,355986,181486.0944,402689.4908,6005.972461,412152.9053,7220.907361,0,419373.8126,394018.5029,134203.1006,0.082053979,1635546.53,380289.3172,370567.8056,110752.4033,0.067715838
8,DRANGEDAL EVERK KF,35,2016,352016,13414.91692,0,0,13422,0,0,628,0,0,64928.86,0,0,4289,0,0,0,0,0,0,0,5551,0,493.56,0.24785,20567.76912,0,0,20567.76912,24385.58608,0,0,24385.58608,24386,15418.73227,22086.76052,0,22600.32971,0,0,22600.32971,23314.43226,2746.663145,0.042302655,64928.86,21048.7311,22383.47309,1815.703975,0.027964513
9,AS EIDEFOSS,37,2016,372016,35238.75611,5953.742543,0,37252,6377,0,1854,0,0,206911.63,51997.83,0,11776,4001,0,0,0,0,0,0,20201,23014,0,0.2766,56248.11578,16413.45263,0,72661.56841,68414.51962,19470.92503,0,87885.44466,87885,54999.76766,74037.1213,12997.78702,74037.1213,19132.16872,0,93169.29002,91055.75187,18394.18346,0.071044849,258909.46,86982.15597,87343.47145,14681.90304,0.056706708
10,ETNE ELEKTRISITETSLAG SA,41,2016,412016,8429.637847,6.609697991,0,8582,0,0,316,0,0,35636.84,224.22,0,3019,17,0,0,0,0,0,0,4268,0,493.56,0.24785,13374.28612,23.96975936,0,13398.25588,15469.73231,37.15389536,0,15506.88621,15507,9810.071345,12421.18765,101.3542364,12934.75683,101.3542364,0,13036.11107,14024.42113,626.1652464,0.017460868,35861.06,12179.14283,13510.24018,111.9843004,0.003122727
11,ISE NETT AS,42,2016,422016,30828.67116,0,0,32277,0,0,1511,0,0,136971.15,0,0,10586,0,0,434,0,0,0,0,14036,0,0,0.24445,48407.60658,0,0,48407.60658,56461.5102,0,0,56461.5102,56462,35770.77136,42836.30121,0,42836.30121,0,0,42836.30121,48286.3848,-121.2217736,-0.000885017,136971.15,39563.11503,46322.4731,-2085.133479,-0.015223158
12,FINNèS KRAFTLAG SA,43,2016,432016,24636.08402,0,0,25792,0,0,1388,0,0,178750.81,0,0,10625,0,0,84,0,0,0,0,9748,0,263.23,0.24785,40645.72718,0,0,40645.72718,51156.27481,0,0,51156.27481,51156,28440.12582,44669.77276,0,44943.67424,0,0,44943.67424,47428.71447,6782.987289,0.03794661,178750.81,40672.08362,44865.7601,4220.032915,0.023608469
13,FITJAR KRAFTLAG SA,45,2016,452016,15738.15835,0,0,16456,0,0,177,0,0,49704.12,0,0,2882,0,0,48,0,0,0,0,4651,0,197.42,0.24785,20901.38965,0,0,20901.38965,23823.99191,0,0,23823.99191,23824,17067.9087,22313.79099,0,22519.2145,0,0,22519.2145,23041.12547,2139.735812,0.043049466,49704.12,21331.44001,22328.46077,1427.071115,0.028711324
14,FJELBERG KRAFTLAG SA,46,2016,462016,9721.749544,0,0,10432,0,0,321,0,0,32045.28,0,0,2271,0,0,0,0,0,0,0,2165,0,0,0.24785,13433.43328,0,0,13433.43328,15317.69574,0,0,15317.69574,15318,10579.34479,13547.02769,0,13547.02769,0,0,13547.02769,14255.29491,821.8616324,0.025646886,32045.28,12781.24477,13795.82516,362.3918792,0.011308744
15,FORSAND ELVERK KOMMUNALT FùRETAK I FORSAND,52,2016,522016,7409.559767,0,0,7991,0,0,194,0,0,32949.23,0,0,2139,0,0,249,0,0,0,0,1970,0,463.14,0.24785,10679.16174,0,0,10679.16174,12616.57646,0,0,12616.57646,12617,8091.824267,9291.242214,0,9773.15816,0,0,9773.15816,10910.52548,231.3637429,0.007021825,32949.23,8985.773633,10438.09476,-241.0669731,-0.007316316
