comp
Alta Kraftlag SA
And?y Energi AS
Arendals Fossekompani ASA
Ask?y Energi AS
Austevoll Kraftlag BA
Ballangen Energi AS
Bindal Kraftlag SA
Fredrikstad Energi Nett AS
Drangedal Elverk KF
AS Eidefoss
Etne Elektrisitetslag
Fauske Lysverk AS
Finn?s Kraftlag
Fitjar Kraftlag SA
Fjelberg Kraftlag SA
Forsand Elverk Kommunalt F?retak i Forsand
Fosenkraft AS
Fusa Kraftlag SA
Sunnfjord Energi AS
Hadeland Energinett AS
Trollfjord Kraft AS
Hammerfest Energi Nett AS
HelgelandsKraft AS
Hemne Kraftlag SA
Hurum Energiverk AS
H?land og Setskog Elverk
Istad Nett AS
J?ren Everk Kommunalt foretak i H?
Klepp Energi AS
Krager? Energi AS
Kr?dsherad Everk KF
Kvam Kraftverk AS
Kvinnherad Energi AS
Kv?nangen Kraftverk AS
Lier Everk AS
Luostejok Kraftlag AL
Luster Energiverk AS
L?rdal Energi AS
L?venskiold Fossum Kraft
Mel?y Energi AS
Gauldal Nett AS
Modalen Kraftlag BA
Nord-Salten Kraft AS
Ymber AS
Nord-ùsterdal Kraftlag SA
Nordkyn Kraftlag AL
Odda Energi AS
Evenes Kraftforsyning AS
Oppdal Everk AS
Opplandskraft DA
Orkdal Energi AS
Porsa Kraftlag AS
Rakkestad Energi AS
Rauland Kraftforsyningslag SA
Rauma Energi AS
Kvikne-Rennebu Kraftlag AL
Repv?g Kraftlag SA
Rissa Kraftlag BA
Norsk Hydro Produksjon AS
Rollag Elektrisitetsverk SA
R?d?y-Lur?y Kraftverk AS
R?ros Elektrisitetsverk AS
Sand?y Energi AS
Hjartdal Elverk AS
Selbu Energiverk AS
Sira Kvina Kraftselskap
Skj?k Energi KF
Sk?nevik ùlen Kraftlag
Sognekraft AS
Stranda Energiverk AS
Stryn Energi AS
Suldal Elverk KF
SKL Nett AS
Sykkylven Energi AS
S?r Aurdal Energi AS
Tr?nderEnergi Nett AS
S?rfold Kraftlag SA
Tinfos AS
Tinn Energi AS
Troms Kraft Nett AS
Tr?gstad Elverk AS
Tysnes Kraftlag SA
Hardanger Energi AS
Uvdal Kraftforsyning AL
Vang Energiverk KF
Varanger Kraftnett AS
Vest-Telemark Kraftlag AS
Dalane energi IKS
ùrskog Energi AS
ùvre Eiker Nett AS
èrdal Energi KF
SFE Nett AS
Driva Kraftverk
Svorka Energi AS
Hallingdal Kraftnett AS
Ustekveikja Kraftverk DA
Kraftverkene i Orkla DA
Hydro Aluminium AS
Gudbrandsdal Energi AS
Valdres Energiverk AS
Vinstra Kraftselskap DA
Nordm?re Energiverk AS
Hemsedal Energi KF
Notodden Energi AS
Lofotkraft AS
Nore Energi AS
Aurland Energiverk AS
H?logaland Kraft AS
E-CO Energi AS
MùRENETT AS
Vester?lskraft Nett AS
Tr?nderEnergi Kraft AS
Elverum Nett AS
Haugaland Kraft AS
Lyse Elnett AS
Lyse Produksjon AS
VOKKS Nett AS
BKK Nett AS
Eidsiva Nett AS
Flesberg Elektrisitetsverk AS
Midt Nett Buskerud AS
Nesset Kraft AS
Sunndal Energi KF
Skagerak Nett AS
Nordvest Nett AS
Energi 1 Follo R?yken AS
EB Nett AS
Agder Energi Nett AS
Voss Energi AS
Narvik Energinett AS
Svorka Produksjon AS
Midt-Telemark Energi AS
Stange Energi Nett AS
Hafslund Nett AS
Statkraft Energi AS
Yara Norge AS
Ringeriks-Kraft Nett AS
Nord-Tr?ndelag Elektrisitetsverk
Nordlandsnett AS
Mo Industripark AS
Aktieselskabet Saudefaldene
Her?ya Nett AS
LYSE SENTRALNETT AS
GASSCO AS
