"","d_DEA_id","d_vekt_14","d_vekt_37","d_vekt_132","d_vekt_231","d_vekt_699","d_normkostandelX14","d_normkostandelX37","d_normkostandelX132","d_normkostandelX231","d_normkostandelX699","d_kostbidrag_X14","d_kostbidrag_X37","d_kostbidrag_X132","d_kostbidrag_X231","d_kostbidrag_X699"
"7",7,0.0431776893314345,0.833039218405462,0,0,0,0.0261053743549893,0.973894625645011,0,0,0,1661.82290698825,61996.4447121713,0,0,0
"9",9,0,0.225987735238727,0.0677839038380224,0,0,0,0.829993081799231,0.170006918200769,0,0,0,16818.4592319366,3444.91356085598,0,0
"14",14,1.03520191351581,0,0,0.0257641943000178,0,0.988505679096461,0,0,0.0114943209035386,0,39842.8512473966,0,0,463.29174190292,0
"16",16,0.216530040714507,0.0903523913552441,0,0,0,0.553446707872153,0.446553292127847,0,0,0,8333.80820701993,6724.20566943997,0,0,0
"18",18,0,0.108830997496996,0.221074635317363,0,0,0,0.418902125792306,0.581097874207694,0,0,0,8099.4204957214,11235.455116099,0,0
"22",22,0,0.0452257673922669,0.117580971141653,0,0,0,0.3603056125693,0.6396943874307,0,0,0,3365.79206086729,5975.70011536109,0,0
"32",32,3.12982866043614,0,0,0,0,1,0,0,0,0,120460.845482866,0,0,0,0
"35",35,0,0.25851428158349,0.00916563504326913,0,0,0,0.97636048143147,0.0236395185685295,0,0,0,19239.1498640065,465.815904169024,0,0
"37",37,0,1.00913383413452,0.00594050495565216,0,0,0,0.995996105273359,0.00400389472664051,0,0,0,75101.7582039593,301.908342856154,0,0
"41",41,0.0399757177398011,0.0153493795068468,0,0,0.0146005475437295,0.168830102731251,0.125348872477325,0,0,0.705821024791424,1538.58542436946,1142.33152165855,0,0,6432.30042148514
"42",42,0.291834746906848,0.201116385896188,0,0,0,0.428713698589588,0.571286301410412,0,0,0,11232.1357389508,14967.4836711661,0,0,0
"43",43,0.455193240951403,0.140928194489878,0,0,0,0.625525043971413,0.374474956028587,0,0,0,17519.4774577376,10488.1580903257,0,0,0
"45",45,0.0421012959955229,0.130091046805776,0,0,0,0.143371995931401,0.856628004068599,0,0,0,1620.39468027569,9681.6358853795,0,0,0
"46",46,0.092050432571838,0.036701484086462,0,0,0.00359337517145909,0.450897313765544,0.347625345400658,0,0,0.201477340833799,3542.8370488249,2731.39784868267,0,0,1583.06861853664
