"","id.y","orgn","y","comp","t_dep.sf","rd_dep.sf","ld_dep.sf","rd_nl","ld_nl","ld_sub","ld_bv.sf","rd_bv.sf","t_bv.sf","ld_ss","ld_hvoh","ld_hv","ld_cens","rd_cens","t_cens","ld_cga","rd_dep.gf","rd_bv.gf","ld_dep.gf","ld_bv.gf","ld_391","rd_391","t_391","ld_hvug","ld_hvsc","ld_OPEXxS","rd_OPEXxS","t_OPEXxS","rd_cga","t_pens","t_sal","t_sal.cap","t_pens.eq","rd_pens.eq","rd_sal","rd_pens","rd_sal.cap","ld_sal","ld_pens","ld_sal.cap","ld_impl","rd_impl","t_impl","ld_pens.eq","ld_gci","rd_wv.ol","rd_wv.uc","rd_wv.sc","rd_wv.ss","rdz_inc.av","rdz_f12","ldz_f4","ldz_inc.av","ldz_wind","ldz_cod2c","ldz_f7","ldz_snow","ldz_lat.av","ldz_ice.av","ldz_temp","ldz_isl","ldz_cmpp","t_wv.ol","t_wv.uc","t_wv.sc","t_wv.ss","rdz_mgc","ldz_mgc","name","id","id_erapp2","orgn.y","rd_dep.gf_melk","rd_bv.gf_melk","ap.t_2","ld_gci.dummy","ld_gci.cost","fp_ld_cens","fp_rd_cens","fp_t_cens","fp_ld_391","fp_rd_391","fp_t_391","fp_ld_pens","fp_rd_pens","fp_t_pens","fp_ld_pens.eq","fp_rd_pens.eq","fp_t_pens.eq","fp_ld_impl","fp_rd_impl","fp_t_impl","fp_ld_OPEXxS","fp_ld_cga","fp_rd_OPEXxS","fp_rd_cga","fp_t_OPEXxS","fp_ld_sal","fp_ld_sal.cap","fp_rd_sal","fp_rd_sal.cap","fp_t_sal","fp_t_sal.cap","hist_ld_pens","hist_ld_pens.eq","hist_ld_impl","hist_rd_pens","hist_rd_pens.eq","hist_rd_impl","hist_t_pens","hist_t_pens.eq","hist_t_impl","av_ld_pens","av_ld_pens.eq","av_ld_impl","av_rd_pens","av_rd_pens.eq","av_rd_impl","av_t_pens","av_t_pens.eq","av_t_impl","av_ld_gci","fp_ld_pcb","fp_rd_pcb","fp_t_pcb","fp_ld_opex","fp_ld_OPEX","ld_rab.sf","ld_rab.gf","ld_RAB","ld_DEP","ld_nl.NOK","ld_TOTXDEA","fp_rd_opex","fp_rd_OPEX","rd_rab.sf","rd_rab.gf","rd_RAB","rd_DEP","rd_TOTXDEA","fp_t_opex","fp_t_OPEX","t_rab","t_TOTXDEA","fha_ld_TOTXDEA","fha_ld_sub","fha_ld_hv","fha_ld_ss","fha_rd_TOTXDEA","fha_rd_wv.ol","fha_rd_wv.uc","fha_rd_wv.sc","fha_rd_wv.ss","ld_EVAL"
"8",72014,971029390,2014,"Alta Kraftlag SA",0,1622,13429,0,28396,12077,200541,14428,0,869,665,846,1288,0,0,0,0,0,848,16327,179,0,0,159,22,25337,2254,0,0,0,0,0,0,0,1349,-92,613,23975,-1640,7877,0,0,0,0,0,7988.1,62.1,0,5403,14.39370291,0.000816104,0.0000385,11.25150642,28.13084322,19847.56941,0.001038821,353.2759846,69.59818855,76.52303604,1.874927435,0,11.938,0,0,0,0,3716,26719,"Alta Kraftlag SA",7,10,2014971029390,0,0,0.27392,1,0,1288,0,0,179,0,0,-1640,-92,0,0,0,0,0,0,0,25337,0,2254,0,0,23975,7877,1349,613,0,0,-1640,0,0,-92,0,0,0,0,0,56.2929171668667,0,0,5.27064472847963,0,0,0,0,0,0,56.2929171668667,5.27064472847963,0,41491.2929171669,41312.2929171669,202546.41,16490.27,219036.68,14277,7421.2946,78776.9120651669,2995.27064472848,2995.27064472848,14572.28,0,14572.28,1622,5580.49835272848,0,0,0,0,75355.3708027288,11833.4,828.2,867,6375.432463729,7988.1,62.1,0,5210.8,1
"16",92014,971048611,2014,"Andøy Energi AS",0,3017,4425,3026,4538,3567,60710,60424,0,220,189,282,720,280,0,0,625,16658,210,2573,0,0,0,92,1,11261,3861,0,0,0,0,0,0,0,12,552,360,1056,3564,1172,0,0,0,0,0,18147.6,856.9,316.1,5002.4,5.748967616,0.01305199,0.000344867,5.011029412,30.92830882,957.3871783,0.003908495,432.5167816,68.62775735,89.55376838,3.975692678,0,1.2,0,0,0,0,4601,8704,"Andøy Energi AS",9,13,2014971048611,0,0,0.27392,1,0,720,280,0,0,0,0,3564,552,0,0,0,0,0,0,0,11261,0,3861,0,0,1056,1172,12,360,0,0,3564,0,0,552,0,0,0,0,0,1174.73263187628,0,0,181.885347080008,0,0,0,0,0,0,1174.73263187628,181.885347080008,0,12319.7326318763,12319.7326318763,61317.1,2598.73,63915.83,4635,1186.0063,23085.5752948763,3694.88534708001,3694.88534708001,61028.24,16824.58,77852.82,3642,12762.95674908,0,0,0,0,25924.4645427332,3611.8,269.2,220,10270.7416975105,16433.62,788.94,316.1,4927.2,1
"32",142014,974521539,2014,"Askøy Energi AS",0,1853,9280,2938,12523,13374,121315,35092,0,459,99,220,1305,0,0,0,0,0,2228,53551,0,0,0,120,1,11519,5884,0,0,0,0,0,0,0,1668,374,769,3729,841,1870,0,0,0,0,0,67.3,71.1,0,5582.2,5.6875,0.4375,0.157344358,8.693214629,26,468.1256015,0.075875486,75.79623837,60,19.25914341,7.677408537,1,0,0,0,0,0,16,4156,"Askøy Energi AS",14,25,2014974521539,0,0,0.24316,1,0,1305,0,0,0,0,0,841,374,0,0,0,0,0,0,0,11519,0,5884,0,0,3729,1870,1668,769,0,0,841,0,0,374,0,0,0,0,0,312.156059473716,0,0,143.614588055656,0,0,0,0,0,0,312.156059473716,143.614588055656,0,13690.1560594737,13690.1560594737,122528.15,54086.51,176614.66,11508,3272.88605,41450.2711354737,6926.61458805566,6926.61458805566,35442.92,0,35442.92,1853,11122.3916000557,0,0,0,0,38487.5882605621,12840,222.8,435.6,8804.2643245366,67.3,49.8,0,4989.76,1
"40",162014,959254893,2014,"Austevoll Kraftlag BA",0,0,4229,0,7116,4030,56898,0,0,174,96,139,1012,0,0,0,0,0,1319,19345,410,0,0,34,9,10540,0,0,0,0,0,0,0,0,0,0,0,9017,2016,2683,0,0,0,0,0,0,0,0,0,0,0,0.193412754,8.030680507,28,287.6380623,0.065638869,56.39772395,59.87081892,17.75640138,7.713396005,6,0,0,0,0,0,0,4335,"Austevoll Kraftlag BA",16,29,2014959254893,0,0,0.24316,1,0,1012,0,0,410,0,0,2016,0,0,0,0,0,0,0,0,10540,0,0,0,0,9017,2683,0,0,0,0,2016,0,0,0,0,0,0,0,0,1469.13532573872,0,0,0,0,0,0,0,0,0,1469.13532573872,0,0,18343.1353257387,17933.1353257387,57466.98,19538.45,77005.43,5548,1859.7666,31442.9608487387,0,0,0,0,0,0,0,0,0,0,0,31654.0394115653,3822.4,137.2,169.6,0,0,0,0,0,1
"48",182014,971592117,2014,"Ballangen Energi AS",0,108,4003,95,3760,2764,53954,1134,0,230,265,289,594,0,0,0,0,0,333,4479,139,0,0,23,1,5019,0,0,0,0,0,0,0,0,526,80,0,8630,1319,3458,0,0,0,0,197.4,988.8,0,0,909.3,9.091644205,0.097297297,0.003274246,10.46417136,27.00044165,10869.1018,0.124534267,340.7943911,68,46.23374186,3.823397562,2,8.58,0,0,0,0,371,9057,"Ballangen Energi AS",18,34,2014971592117,0,0,0.27392,1,197.4,594,0,0,139,0,0,1319,80,0,0,0,0,0,0,0,5019,0,0,0,0,8630,3458,526,0,0,0,1319,0,0,80,0,0,0,0,0,1050.04427652406,0,0,61.7437168659947,0,0,0,0,0,197.4,1050.04427652406,61.7437168659947,0,11241.0442765241,11102.0442765241,54493.54,4523.79,59017.33,4336,982.676,20718.3657895241,587.743716865995,587.743716865995,1145.34,0,1145.34,108,771.450690865995,0,0,0,0,20674.4176542855,2758.2,287.2,229,1036.97187950351,988.8,0,0,909.3,1
"56",222014,953181606,2014,"Bindal Kraftlag SA",0,0,1404,0,1442,1191,27399,0,0,109,131,141,357,0,0,0,0,0,173,2821,0,0,0,10,0,4517,0,0,0,0,0,0,0,0,0,0,0,2897,309,1190,0,0,0,0,0,0,0,0,0,0,0,0.06996587,11.37990528,29.99374154,7555.001861,0.007337884,305.805362,64.9829161,29.39648173,4.808998187,1,0,0,0,0,0,0,5912,"Bindal Kraftlag SA",22,41,2014953181606,0,0,0.27392,1,0,357,0,0,0,0,0,309,0,0,0,0,0,0,0,0,4517,0,0,0,0,2897,1190,0,0,0,0,309,0,0,0,0,0,0,0,0,203.568410177037,0,0,0,0,0,0,0,0,0,203.568410177037,0,0,6427.56841017704,6427.56841017704,27672.99,2849.21,30522.2,1577,376.8667,10755.952530177,0,0,0,0,0,0,0,0,0,0,0,11844.2953607747,1188,139.8,107.4,0,0,0,0,0,1
"64",322014,980234088,2014,"Fredrikstad Energi Nett AS",0,0,36015,0,52600,40187,452533,0,0,1229,200,669,2406,0,0,0,0,0,4777,98237,0,0,0,454,15,42600,0,0,0,0,0,0,0,0,0,0,0,16495,1862,6400,0,0,0,0,8497.5,0,0,0,0,0,0,0.046335589,4.473102348,26.43309779,1797.096649,0.003670146,115.2465732,58.99304764,17.40722589,7.000266154,5,0,0,0,0,0,0,8774,"Fredrikstad Energi Nett AS",32,119,2014980234088,0,0,0.24519,1,8497.5,2406,0,0,0,0,0,1862,0,0,0,0,0,0,0,0,42600,0,0,0,0,16495,6400,0,0,0,0,1862,0,0,0,0,0,0,0,0,919.158736457336,0,0,0,0,0,0,0,0,8398.8,919.158736457336,0,0,53614.1587364573,53614.1587364573,457058.33,99219.37,556277.7,40792,13747.01,138831.624706457,0,0,0,0,0,0,0,0,0,0,0,131861.53692987,38857.8,664,1223.8,0,0,0,0,0,1
"72",352014,971028440,2014,"Drangedal Elverk KF",0,309,3616,0,5216,3533,59145,3178,0,277,201,267,222,0,0,0,0,0,859,19729,357,0,0,66,0,5329,0,0,0,0,0,0,0,0,0,0,0,7523,1371,1470,0,0,0,0,493.6,0,0,0,1542.9,0,0,0.193149273,9.780834375,22.09162214,31624.28851,0.003322259,195.9451252,58.78629078,38.68500625,5.975764465,0,7.4807,0,0,0,0,0,8797,"Drangedal Elverk KF",35,58,2014971028440,0,0,0.24424,1,493.6,222,0,0,357,0,0,1371,0,0,0,0,0,0,0,0,5329,0,0,0,0,7523,1470,0,0,0,0,1371,0,0,0,0,0,0,0,0,1127.27959635094,0,0,0,0,0,0,0,0,595.2,1127.27959635094,0,0,12509.2795963509,12152.2795963509,59736.45,19926.29,79662.74,4475,1363.2016,22984.5883103509,0,0,3209.78,0,3209.78,309,521.166458,0,0,0,0,23353.6336736339,3453.6,264.6,277.6,671.7448746,0,0,0,1441.3,1
"80",372014,911305631,2014,"AS Eidefoss",0,2725,14354,8877,16951,13997,174107,31890,0,1060,819,1018,3067,227,0,0,8,724,2157,69738,0,0,0,199,0,11352,1242,0,0,0,0,0,0,-262,2535,154,804,32416,3342,10959,0,0,0,-5692,0,20017.3,279.4,0,9433.4,11.60425942,0.0349446,0.016243504,10.73314483,23.51421166,133775.7577,0.013481811,279.735294,61.28152337,54.1653265,2.039553036,0,7.426,0,0,0,0,8311,33951,"AS Eidefoss",37,18,2014911305631,0,0,0.24519,1,0,3067,227,0,0,0,0,3342,154,0,-5692,-262,0,0,0,0,11352,0,1242,0,0,32416,10959,2535,804,0,0,3342,-5692,0,154,-262,0,0,0,0,3918.24123676799,-1138.4,0,259.799942746412,-52.4,0,0,0,0,0,2779.84123676799,207.399942746412,0,35588.841236768,35588.841236768,175848.07,70435.38,246283.45,16511,4430.14385,75876.321131768,3180.39994274641,3180.39994274641,32208.9,731.24,32940.14,2733,8317.74319674641,0,0,0,0,74421.8599572067,13832.2,1004.4,1053,9819.91471353251,20257.06,309.96,0,9483.56,1
"88",412014,971028513,2014,"Etne Elektrisitetslag",0,16,2500,128,2373,1930,30945,212,0,132,42,100,540,0,0,0,0,0,350,5277,0,0,0,58,0,3691,30,0,0,0,0,0,0,0,64,7,0,5815,656,1085,0,0,0,0,493.6,0,0,0,467.2,0,0,0.099137931,13.86545802,24,8548.884542,0.257662835,143.0855916,59,11.0028626,6.717203166,0,0.665,0,0,0,0,0,2096,"Etne Elektrisitetslag",41,94,2014971028513,0,0,0.24424,1,493.6,540,0,0,0,0,0,656,7,0,0,0,0,0,0,0,3691,0,30,0,0,5815,1085,64,0,0,0,656,0,0,7,0,0,0,0,0,487.540377456925,0,0,11.0881495622729,0,0,0,0,0,493.6,487.540377456925,11.0881495622729,0,8908.54037745693,8908.54037745693,31254.45,5329.77,36584.22,2850,620.18355,14843.3408694569,105.088149562273,105.088149562273,214.12,0,214.12,16,135.241481562273,0,0,0,0,13268.3225654615,1849,99,132,153.867262947784,0,0,0,467.2,1
