"","comp","id","y","id.y","fp_ld_OPEX","fp_rd_OPEX","fp_t_OPEX","ld_opex_2012","rd_opex_2012","t_opex_2012","fp_ld_cens","fp_rd_cens","fp_t_cens","ld_rab.sf","rd_rab.sf","t_rab.sf","ld_dep.sf","rd_dep.sf","t_dep.sf","fp_ld_391","fp_rd_391","fp_t_391","fp_ld_cga","fp_rd_cga","ld_nl","rd_nl","ld_gci.cost","ap.t_2","ld_sum.cost","rd_sum.cost","t_sum.cost","lrt_sum.cost","ld_cost.RC","rd_cost.RC","t_cost.RC","lrt_cost.RC","lrt_cost.RC.ex.nlR.og.cgaR","lrt_cost.cby","ld_cn.cal.RAB","rd_cn.cal.RAB","ld_cn.pre.recal","rd_cn.pre.recal","t_cn.pre.recal","lrt_cn.pre.recal","lrt_RC.pre.recal","lrt_EBIT.pre.recal","lrt_RET.pre.recal","lrt_RAB","lrt_cn.pos.recal","lrt_RC.pos.recal","lrt_EBIT.pos.recal","lrt_RET.pos.recal"
"1","Alta Kraftlag SA",7,2014,72014,41312.2929171669,2995.27064472848,0,39795,2898,0,1288,0,0,202546.41,14572.28,0,13429,1622,0,179,0,0,0,0,28396,0,0,0.27392,64197.2331138657,4790.2671831591,0,68987.5002970248,77139.9487128657,5721.4358751591,0,82861.3845880248,82861,51580.23232,76140.7757954042,7324.10201300239,76140.7757954042,7324.10201300239,0,83464.8778084066,83223.4805202539,14235.9802232291,0.065567732668381,217118.69,93641.2080572812,89329.2786695786,20341.7783725538,0.0936896697956026
"2","And?y Energi AS",9,2014,92014,12319.7326318763,3694.88534708001,0,14709,4065,0,720,280,0,61317.1,61028.24,0,4425,3017,0,0,0,0,0,0,4538,3026,0,0.27392,19126.2028510361,7828.62629718395,0,26954.82914822,23044.3655410361,11728.3308331839,0,34772.69637422,34773,21845.93088,25007.1390810141,12682.8397095977,25007.1390810141,13292.0642895977,0,38299.2033706119,36888.6005720551,9933.77142383509,0.0811945221929588,122345.34,44033.5166360928,40329.1885313437,13374.3593831236,0.10931645932018
"3","Arendals Fossekompani ASA",10,2014,102014,60.5804228544793,397.797585324243,0,45,350,0,0,0,0,32.32,3981.42,0,63,593,0,0,0,0,0,0,538,4848,0,0.24424,235.394879878533,1989.82084672006,0,2225.21572659859,237.460127878533,2244.23358472006,0,2481.69371259859,2482,1710.47664,485.043624689696,619.223690173338,485.043624689696,1595.27153017334,0,2080.31515486303,2240.86657795726,15.6508513586659,0.00389931868000068,4013.74,2268.43872807139,2353.74072188227,128.52499528368,0.0320212558072223
"4","Ask?y Energi AS",14,2014,142014,13690.1560594737,6926.61458805566,0,14219,7157,0,1305,0,0,122528.15,35442.92,0,9280,1853,0,0,0,0,0,0,12523,2938,0,0.24316,27652.8823015692,9771.17958159014,0,37424.0618831594,35482.4310865692,12035.9821695901,0,47518.4132561594,47518,26440.49676,41337.7650647274,7932.89566631967,41337.7650647274,8524.40320631967,0,49862.168271047,48924.666265092,11500.6043819326,0.0728019654607176,157971.07,57266.2557684802,53367.1187635519,15943.0568803925,0.100923902587939
"5","Austevoll Kraftlag BA",16,2014,162014,17933.1353257387,0,0,18890,0,0,1012,0,0,57466.98,0,0,4229,0,0,410,0,0,0,0,7116,0,0,0.24316,25693.5624445174,0,0,25693.5624445174,29365.7024665174,0,0,29365.7024665174,29366,21222.32656,22388.1673210247,0,22388.1673210247,0,0,22388.1673210247,25179.1813792218,-514.381065295598,-0.00895089780767317,57466.98,25081.6386517769,26795.2641776731,1101.7017331557,0.0191710393195484
"6","Ballangen Energi AS",18,2014,182014,11102.0442765241,587.743716865995,0,11510,606,0,594,0,0,54493.54,1145.34,0,4003,108,0,139,0,0,0,0,3760,95,197.4,0.27392,17127.1996402831,748.816124021501,0,17876.0157643046,20609.3368462831,822.003350021501,0,21431.3401963046,21431,13626.9616,22435.5010093708,1079.30075795806,22642.8503154336,1098.42710795806,0,23741.2774233916,22817.3025325568,4941.28676825222,0.088809961096489,55638.88,26349.0658987067,24381.9756177459,6505.95985344125,0.116931898223711
"7","Bindal Kraftlag SA",22,2014,222014,6427.56841017704,0,0,6533,0,0,357,0,0,27672.99,0,0,1404,0,0,0,0,0,0,0,1442,0,0,0.27392,8868.11395743457,0,0,8868.11395743457,10636.4180184346,0,0,10636.4180184346,10636,7284.99264,10623.2288580836,0,10623.2288580836,0,0,10623.2288580836,10628.504522224,1760.39056478943,0.0636140353749063,27672.99,11920.2589995873,11406.7226071262,2538.60864969166,0.0917359725021279
"8","Fredrikstad Energi Nett AS",32,2014,322014,53614.1587364573,0,0,54557,0,0,2406,0,0,457058.33,0,0,36015,0,0,0,0,0,0,0,52600,0,8497.5,0.24519,105842.95290436,0,0,105842.95290436,135048.98019136,0,0,135048.98019136,135049,69859.994,125691.113140554,0,134616.902037559,0,0,134616.902037559,134789.73329908,28946.7803947193,0.0633327925447051,457058.33,156039.178070448,147643.098918813,41800.1460144523,0.0914547296719267
"9","Drangedal Elverk KF",35,2014,352014,12152.2795963509,0,0,12753,0,0,222,0,0,59736.45,3209.78,0,3616,309,0,357,0,0,0,0,5216,0,493.6,0.24424,17753.4799706277,309,0,18062.4799706277,21570.6391256277,514.104942,0,22084.7440676277,22085,13891.95584,22719.5317290985,643.124079373162,23238.0100344309,643.124079373162,0,23881.1341138041,23162.5780953335,5100.09812470582,0.081023091052567,62946.23,26831.4173178968,24932.7480177892,6870.26804716145,0.109145028179789
"10","AS Eidefoss",37,2014,372014,35588.841236768,3180.39994274641,0,30459,2865,0,3067,227,0,175848.07,32208.9,0,14354,2725,0,0,0,0,0,0,16951,8877,0,0.24519,58632.6574032763,8114.73652114137,0,66747.3939244177,69869.3490762763,10172.8852311414,0,80042.2343074177,80042,42950.76732,79138.8849547889,11325.2181112164,79138.8849547889,13112.4245212164,0,92251.3094760053,87367.6794085703,20620.2854841526,0.0991088425643831,208056.97,102002.917858039,93218.6444377905,26471.2505133728,0.127230779691605
"11","Etne Elektrisitetslag",41,2014,412014,8908.54037745693,105.088149562273,0,9077,101,0,540,0,0,31254.45,214.12,0,2500,16,0,0,0,0,0,0,2373,128,493.6,0.24424,12968.0400898719,152.927919918853,0,13120.9680097907,14965.1994448719,166.610187918853,0,15131.8096327907,15132,10328.84424,12472.6430924646,160.443678452431,12991.121397797,186.213918452431,0,13177.3353162494,13959.1250428659,838.157033075198,0.0266347353271915,31468.57,14652.263894622,14844.0821898895,1723.11418009877,0.0547566724544131
"12","Fauske Lysverk AS",42,2014,422014,20055.6767920994,0,0,19758,0,0,512,0,0,109691.05,0,0,6655,0,0,79,0,0,0,0,7761,0,0,0.27392,29969.3515847696,0,0,29969.3515847696,36978.6096797696,0,0,36978.6096797696,36979,22316.89312,33026.9003291259,0,33026.9003291259,0,0,33026.9003291259,34607.5840693834,4638.23248461375,0.0422845116772403,109691.05,38168.1083483241,37692.3088809023,7722.95729613267,0.0704064488044619
"13","Finn?s Kraftlag",43,2014,432014,20879.670246646,0,0,18811,0,0,1718,0,0,174189.65,0,0,9391,0,0,0,0,0,0,0,8030,0,263.2,0.24316,34897.8783536318,0,0,34897.8783536318,46028.5969886318,0,0,46028.5969886318,46029,22481.5748,41973.0201296681,0,42249.4858710851,0,0,42249.4858710851,43761.1303181038,8863.25196447203,0.0508827703854507,174189.65,50413.7365136064,48659.6807036165,13761.8023499848,0.0790047075126723
"14","Fitjar Kraftlag SA",45,2014,452014,15681.7536049714,0,0,16441,0,0,1303,0,0,41396.87,0,0,2782,0,0,93,0,0,0,0,3498,0,394.9,0.24316,21442.4036231575,0,0,21442.4036231575,24087.6636161575,0,0,24087.6636161575,24088,18501.57368,21383.160344779,0,21797.9639970799,0,0,21797.9639970799,22713.8438447109,1271.44022155349,0.030713438517296,41396.87,23738.2309560862,23878.0040201147,2435.60039695726,0.0588353756445176
