"","idaar","aar","orgnr","selskap","s_avs","r_avs","d_avs","r_nettap","d_nettap","d_ab","d_bfv","r_bfv","s_bfv","d_ns","d_hsll","d_hs","d_kile","r_kile","s_kile","d_utred","r_abavs","r_abbfv","d_abavs","d_abbfv","d_391","r_391","s_391","d_hsjord","d_hssjo","d_DVxL","r_DVxL","s_DVxL","r_utred","s_pensj","s_lonn","s_lonnakt","s_pensjek","r_pensjek","r_lonn","r_pensj","r_lonnakt","d_lonn","d_pensj","d_lonnakt","d_impl","r_impl","s_impl","d_pensjek","d_grs","r_vluft","r_vjord","r_vsjo","r_vgrs","rr_he","rr_s12","dr_s4","dr_he1","dr_vr","dr_k2lukk","dr_s7","dr_snog","dr_brgrad_gjsn","dr_is_gjsn","dr_temp","dr_aoey1","d_skytelse","s_vluft","s_vjord","s_vsjo","s_vgrs","rr_antall.ruter","dr_antall.ruter","navn","id","id_erapp2","orgnraar","kpi","kpia","r_abavs_melk","r_abbfv_melk","fp_d_pensj","fp_d_pensjek","fp_d_impl","fp_r_pensj","fp_r_pensjek","fp_r_impl","fp_s_pensj","fp_s_pensjek","fp_s_impl","av_fp_d_pensj","av_fp_d_pensjek","av_fp_d_impl","av_fp_r_pensj","av_fp_r_pensjek","av_fp_r_impl","av_fp_s_pensj","av_fp_s_pensjek","av_fp_s_impl","av_d_grs","d_pensjkostgrlag","r_pensjkostgrlag","s_pensjkostgrlag","frontlov","d_dv","d_dv_2012","d_grs.dummy","d_grs.cost","d_DV","d_akg","d_abakg","d_AKG","d_AVS","d_nettapkr","d_TOTXDEA","r_dv","r_dv_2012","r_DV","r_akg","r_abakg","r_AKG","r_AVS","r_TOTXDEA","s_dv","s_dv_2012","s_DV","s_akg","s_AKG","s_AVS","s_TOTXDEA","fp_d_kile","fp_r_kile","fp_s_kile","fp_d_DV","fp_r_DV","fp_s_DV","fp_d_391","fp_r_391","fp_s_391","fp_d_dv","fp_d_utred","fp_r_dv","fp_r_utred","fp_s_dv","fp_d_TOTXDEA","sf_d_DV","fp_r_TOTXDEA","sf_r_vluft","sf_r_vjord","sf_r_vsjo","rd_vgrs","sf_rd_vgrs","sf_r_vgrs","sf_d_TOTXDEA","sf_d_ab","sf_d_hs","sf_d_ns","sf_r_TOTXDEA","d_tilDEA","d_f_sf_eff","d_sf_eff","d_bs_est_e3","d_bs_correst_e3","d_score_bs100","dr_sky","d_dea_til2trinn","d_knorm","d_skala","d_hsluft","d_hs_jsl","dr_hsjordand","dr_hssjoand","dr_hskabelandel","dr_aoey1sz","dr_skysz","dr_vr2","dr_vr2_k2lukk"
"1",72014,2014,971029390,"Alta Kraftlag SA",0,1622,13429,0,28396,12077,200541,14428,0,869,665,846,1288,0,0,0,0,0,848,16327,179,0,0,159,22,25337,2254,0,0,0,0,0,0,0,1349,-92,613,23975,-1640,7877,0,0,0,0,0,7988.1,62.1,0,5403,14.39370291,0.000816104,0.0000384749,11.25150642,28.13084322,19847.56941,0.001038821,353.2759846,69.59818855,76.52303604,1.874927435,0,11.938,0,0,0,0,3716,26719,"ALTA KRAFTLAG SA",7,10,2014971029390,1,1,0,0,-1640,0,0,-92,0,0,0,0,0,56.2929172147429,0,0,5.27064473142857,0,0,0,0,0,0,56.2929172147429,5.27064473142857,0,".",41491.2929172147,39795,1,0,41312.2929172147,202546.41,16490.27,219036.68,14277,7421.2946,78776.9120652147,2995.27064473143,2898,2995.27064473143,14572.28,0,14572.28,1622,5580.49835273143,0,0,0,0,0,0,0,1288,1288,0,41312.2929172147,2995.27064473143,0,179,0,0,41491.2929172147,0,2995.27064473143,0,0,78776.9120652147,41312.2929172147,6868.49835273143,7988.1,62.1,0,5403,5403,5210.8,75355.3708026645,11833.4,828.2,867,7685.53618171783,1,0.808081897243614,0.827190828388766,0.827190816,0.788651764,0.788651764,11.938,0.808081897243614,63658.196560652,63658.196560652,665,846,0.187943262411348,0.0260047281323877,0.213947990543735,0,0.000187532802451068,791.34434026822,0.0398710957458352
"2",92014,2014,971048611,"And¯y Energi AS",0,3017,4425,3026,4538,3567,60710,60424,0,220,189,282,720,280,0,0,625,16658,210,2573,0,0,0,92,1,11261,3861,0,0,0,0,0,0,0,12,552,360,1056,3564,1172,0,0,0,0,0,18147.6,856.9,316.1,5002.4,5.748967616,0.01305199,0.000344867,5.011029412,30.92830882,957.3871783,0.003908495,432.5167816,68.62775735,89.55376838,3.975692678,0,1.2,0,0,0,0,4601,8704,"ANDùY ENERGI AS",9,13,2014971048611,1,1,0,0,3564,0,0,552,0,0,0,0,0,1174.73263193383,0,0,181.885347088914,0,0,0,0,0,0,1174.73263193383,181.885347088914,0,".",12319.7326319338,14709,1,0,12319.7326319338,61317.1,2598.73,63915.83,4635,1186.0063,23085.5752949338,3694.88534708891,4065,3694.88534708891,61028.24,16824.58,77852.82,3642,12762.9567490889,0,0,0,0,0,0,0,720,720,0,12319.7326319338,3694.88534708891,0,0,0,0,12319.7326319338,0,3694.88534708891,0,0,23085.5752949338,12319.7326319338,13202.9567490889,16433.62,788.94,316.1,5002.4,5002.4,4927.2,25924.464542625,3611.8,269.2,220,9892.55457360132,1,0.877734245551115,0.761867504457679,0.761867523,0.740683675,0.740683675,1.2,0.877734245551115,20263.0000146122,20263.0000146122,189,282,0.326241134751773,0.00354609929078014,0.329787234042553,0,0.0000592212406422863,956.56028646529,0.999136303625689
"3",142014,2014,974521539,"Ask¯y Energi AS",0,1853,9280,2938,12523,13374,121315,35092,0,459,99,220,1305,0,0,0,0,0,2228,53551,0,0,0,120,1,11519,5884,0,0,0,0,0,0,0,1668,374,769,3729,841,1870,0,0,0,0,0,67.3,71.1,0,5582.2,5.6875,0.4375,0.157344358,8.693214629,26,468.1256015,0.075875486,75.79623837,60,19.25914341,7.677408537,1,0,0,0,0,0,16,4156,"ASKùY ENERGI AS",14,25,2014974521539,1,1,0,0,841,0,0,374,0,0,0,0,0,312.1560595088,0,0,143.614588071314,0,0,0,0,0,0,312.1560595088,143.614588071314,0,".",13690.1560595088,14219,1,0,13690.1560595088,122528.15,54086.51,176614.66,11508,3272.88605,41450.2711355088,6926.61458807131,7157,6926.61458807131,35442.92,0,35442.92,1853,11122.3916000713,0,0,0,0,0,0,0,1305,1305,0,13690.1560595088,6926.61458807131,0,0,0,0,13690.1560595088,0,6926.61458807131,0,0,41450.2711355088,13690.1560595088,12427.3916000713,67.3,49.8,0,5582.2,5582.2,4989.76,38487.5882606212,12840,222.8,435.6,10335.0538782803,1,0.97240393219058,1,1,0.881620586,0.881620586,0,0.97240393219058,40306.4066425345,40306.4066425345,99,220,0.545454545454545,0.00454545454545455,0.55,0.0000248099516503345,0,676,1.44405688950554
"4",162014,2014,959254893,"Austevoll Kraftlag BA",0,0,4229,0,7116,4030,56898,0,0,174,96,139,1012,0,0,0,0,0,1319,19345,410,0,0,34,9,10540,0,0,0,0,0,0,0,0,0,0,0,9017,2016,2683,0,0,0,0,0,0,0,0,0,0,0,0.193412754,8.030680507,28,287.6380623,0.065638869,56.39772395,59.87081892,17.75640138,7.713396005,6,0,0,0,0,0,0,4335,"AUSTEVOLL KRAFTLAG SA",16,29,2014959254893,1,1,0,0,2016,0,0,0,0,0,0,0,0,1469.13532578789,0,0,0,0,0,0,0,0,0,1469.13532578789,0,0,".",18343.1353257879,18890,1,0,17933.1353257879,57466.98,19538.45,77005.43,5548,1859.7666,31442.9608487879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,1012,0,17933.1353257879,0,0,410,0,0,18343.1353257879,0,0,0,0,31442.9608487879,17933.1353257879,1012,0,0,0,0,0,0,31654.0394112285,3822.4,137.2,169.6,983.107832279,1,0.478898765272395,0.458208057271759,0.458208054,0.445686281,0.445686281,0,0.478898765272395,15057.9951269928,15057.9951269928,96,139,0.244604316546763,0.0647482014388489,0.309352517985612,0.00039845941969024,0,784,2.72564762024542
"5",182014,2014,971592117,"Ballangen Energi AS",0,108,4003,95,3760,2764,53954,1134,0,230,265,289,594,0,0,0,0,0,333,4479,139,0,0,23,1,5019,0,0,0,0,0,0,0,0,526,80,0,8630,1319,3458,0,0,0,0,197.4,988.8,0,0,909.3,9.091644205,0.097297297,0.003274246,10.46417136,27.00044165,10869.1018,0.124534267,340.7943911,68,46.23374186,3.823397562,2,8.58,0,0,0,0,371,9057,"BALLANGEN ENERGI AS",18,34,2014971592117,1,1,0,0,1319,0,0,80,0,0,0,0,0,1050.04427654023,0,0,61.7437168665143,0,0,0,0,0,197.4,1050.04427654023,61.7437168665143,0,".",11241.0442765402,11510,1,197.4,11102.0442765402,54493.54,4523.79,59017.33,4336,982.676,20718.3657895402,587.743716866514,606,587.743716866514,1145.34,0,1145.34,108,771.450690866514,0,0,0,0,0,0,0,594,594,0,11102.0442765402,587.743716866514,0,139,0,0,11241.0442765402,0,587.743716866514,0,0,20718.3657895402,11102.0442765402,1365.45069086651,988.8,0,0,1106.7,1106.7,909.3,20674.4176542254,2758.2,287.2,229,1399.08662410291,1,0.933240448490223,0.929571695610161,0.929571688,0.876778483,0.876778483,8.58,0.933240448490223,19335.216981415,19335.216981415,265,289,0.0795847750865052,0.00346020761245675,0.0830449826989619,0.00010343819787088,0.000443749868866074,729.023849295055,0.067073053754548
"6",222014,2014,953181606,"Bindal Kraftlag SA",0,0,1404,0,1442,1191,27399,0,0,109,131,141,357,0,0,0,0,0,173,2821,0,0,0,10,0,4517,0,0,0,0,0,0,0,0,0,0,0,2897,309,1190,0,0,0,0,0,0,0,0,0,0,0,0.06996587,11.37990528,29.99374154,7555.001861,0.007337884,305.805362,64.9829161,29.39648173,4.808998187,1,0,0,0,0,0,0,5912,"BINDAL KRAFTLAG SA",22,41,2014953181606,1,1,0,0,309,0,0,0,0,0,0,0,0,203.5684101872,0,0,0,0,0,0,0,0,0,203.5684101872,0,0,".",6427.5684101872,6533,1,0,6427.5684101872,27672.99,2849.21,30522.2,1577,376.8667,10755.9525301872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,357,0,6427.5684101872,0,0,0,0,0,6427.5684101872,0,0,0,0,10755.9525301872,6427.5684101872,357,0,0,0,0,0,0,11844.2953606862,1188,139.8,107.4,519.2036743036,1,0.8684912770759,0.780159296200327,0.780159295,0.732299209,0.732299209,0,0.8684912770759,9341.45094911004,9341.45094911004,131,141,0.0709219858156028,0,0.0709219858156028,0.000107049751205434,0,899.624531568321,0.119076679016098
"7",322014,2014,980234088,"Fredrikstad Energi Nett AS",0,0,36015,0,52600,40187,452533,0,0,1229,200,669,2406,0,0,0,0,0,4777,98237,0,0,0,454,15,42600,0,0,0,0,0,0,0,0,0,0,0,16495,1862,6400,0,0,0,0,8497.5,0,0,0,0,0,0,0.046335589,4.473102348,26.43309779,1797.096649,0.003670146,115.2465732,58.99304764,17.40722589,7.000266154,5,0,0,0,0,0,0,8774,"FREDRIKSTAD ENERGI NETT AS",32,119,2014980234088,1,1,0,0,1862,0,0,0,0,0,0,0,0,919.1587365344,0,0,0,0,0,0,0,0,8398.8,919.1587365344,0,0,".",53614.1587365344,54557,1,8497.5,53614.1587365344,457058.33,99219.37,556277.7,40792,13747.01,138831.624706534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2406,2406,0,53614.1587365344,0,0,0,0,0,53614.1587365344,0,0,0,0,138831.624706534,53614.1587365344,2406,0,0,0,8497.5,8497.5,0,131861.536929711,38857.8,664,1223.8,3220.2428317864,1,0.867673486536721,0.883326186713373,0.883326173,0.790822625,0.790822625,0,0.867673486536721,120460.519850676,120460.519850676,200,669,0.678624813153961,0.0224215246636771,0.701046337817638,0.0000415073752479072,0,698.708658775703,0.388798598653279
"8",352014,2014,971028440,"Drangedal Elverk KF",0,309,3616,0,5216,3533,59145,3178,0,277,201,267,222,0,0,0,0,0,859,19729,357,0,0,66,0,5329,0,0,0,0,0,0,0,0,0,0,0,7523,1371,1470,0,0,0,0,493.6,0,0,0,1542.9,0,0,0.193149273,9.780834375,22.09162214,31624.28851,0.003322259,195.9451252,58.78629078,38.68500625,5.975764465,0,7.4807,0,0,0,0,0,8797,"DRANGEDAL EVERK KF",35,58,2014971028440,1,1,0,0,1371,0,0,0,0,0,0,0,0,1127.27959636491,0,0,0,0,0,0,0,0,595.2,1127.27959636491,0,0,".",12509.2795963649,12753,1,493.6,12152.2795963649,59736.45,19926.29,79662.74,4475,1363.2016,22984.5883103649,0,0,0,3209.78,0,3209.78,309,521.166458,0,0,0,0,0,0,0,222,222,0,12152.2795963649,0,0,357,0,0,12509.2795963649,0,0,0,0,22984.5883103649,12152.2795963649,743.166458,0,0,0,2036.5,2036.5,1441.3,23353.6336736063,3453.6,264.6,277.6,1081.792699037,1,0.857296748669801,0.841223800975064,0.841223776,0.799836218,0.799836218,7.4807,0.857296748669801,19704.6128279898,19704.6128279898,201,267,0.247191011235955,0,0.247191011235955,0,0.000379642069869747,488.039768776538,0.0154324347446493
"9",372014,2014,911305631,"AS Eidefoss",0,2725,14354,8877,16951,13997,174107,31890,0,1060,819,1018,3067,227,0,0,8,724,2157,69738,0,0,0,199,0,11352,1242,0,0,0,0,0,0,-262,2535,154,804,32416,3342,10959,0,0,0,-5692,0,20017.3,279.4,0,9433.4,11.60425942,0.0349446,0.016243504,10.73314483,23.51421166,133775.7577,0.013481811,279.735294,61.28152337,54.1653265,2.039553036,0,7.426,0,0,0,0,8311,33951,"AS EIDEFOSS",37,18,2014911305631,1,1,0,0,3342,-5692,0,154,-262,0,0,0,0,3918.24123675566,-1138.4,0,259.799942734171,-52.4,0,0,0,0,0,2779.84123675566,207.399942734171,0,".",35588.8412367557,30459,1,0,35588.8412367557,175848.07,70435.38,246283.45,16511,4430.14385,75876.3211317557,3180.39994273417,2865,3180.39994273417,32208.9,731.24,32940.14,2733,8317.74319673417,0,0,0,0,0,0,0,3067,3067,0,35588.8412367557,3180.39994273417,0,0,0,0,35588.8412367557,0,3180.39994273417,0,0,75876.3211317557,35588.8412367557,11157.7431967342,20257.06,309.96,0,9433.4,9433.4,9483.56,74421.8599569749,13832.2,1004.4,1053,12133.8047983968,1,0.993774929448246,1,1,0.944195926,0.944195926,7.426,0.993774929448246,75403.9856795029,75403.9856795029,819,1018,0.195481335952849,0,0.195481335952849,0,0.0000984828578102419,552.91814999128,0.00413317150653881
"10",412014,2014,971028513,"Etne Elektrisitetslag",0,16,2500,128,2373,1930,30945,212,0,132,42,100,540,0,0,0,0,0,350,5277,0,0,0,58,0,3691,30,0,0,0,0,0,0,0,64,7,0,5815,656,1085,0,0,0,0,493.6,0,0,0,467.2,0,0,0.099137931,13.86545802,24,8548.884542,0.257662835,143.0855916,59,11.0028626,6.717203166,0,0.665,0,0,0,0,0,2096,"ETNE ELEKTRISITETSLAG SA",41,94,2014971028513,1,1,0,0,656,0,0,7,0,0,0,0,0,487.540377460914,0,0,11.0881495629714,0,0,0,0,0,493.6,487.540377460914,11.0881495629714,0,".",8908.54037746091,9077,1,493.6,8908.54037746091,31254.45,5329.77,36584.22,2850,620.18355,14843.3408694609,105.088149562971,101,105.088149562971,214.12,0,214.12,16,135.241481562971,0,0,0,0,0,0,0,540,540,0,8908.54037746091,105.088149562971,0,0,0,0,8908.54037746091,0,105.088149562971,0,0,14843.3408694609,8908.54037746091,675.241481562971,0,0,0,960.8,960.8,467.2,13268.3225654499,1849,99,132,406.841144437571,1,0.613974086607367,0.675260341021492,0.675260365,0.649274349,0.649274349,0.665,0.613974086607367,9113.42665252907,9113.42665252907,42,100,0.58,0,0.58,0,0.0000729692601207753,576,0.0673772112806246
