eng_var,nor_var
orgn,orgnr
y,aar
comp,selskap
ld_dep.sf,d_avs
t_dep.sf,s_avs
rd_dep.sf,r_avs
rd_nl,r_nettap
ld_nl,d_nettap
ld_sub,d_ab
ld_bv.sf,d_bfv
rd_bv.sf,r_bfv
t_bv.sf,s_bfv
ld_ss,d_ns
ld_hvoh,d_hsll
ld_hv,d_hs
ld_cens,d_kile
rd_cens,r_kile
t_cens,s_kile
ld_cga,d_utred
rd_dep.gf,r_abavs
rd_bv.gf,r_abbfv
ld_dep.gf,d_abavs
ld_bv.gf,d_abbfv
ld_391,d_391
rd_391,r_391
t_391,s_391
ld_hvug,d_hsjord
ld_hvsc,d_hssjo
ld_OPEXxS,d_DVxL
rd_OPEXxS,r_DVxL
t_OPEXxS,s_DVxL
rd_cga,r_utred
rd_sal,r_lonn
rd_pens,r_pensj
rd_sal.cap,r_lonnakt
rd_pens.eq,r_pensjek
rd_impl,r_impl
t_pens,s_pensj
t_sal,s_lonn
t_sal.cap,s_lonnakt
t_pens.eq,s_pensjek
t_impl,s_impl
ld_impl,d_impl
ld_pens.eq,d_pensjek
ld_sal,d_lonn
ld_pens,d_pensj
ld_sal.cap,d_lonnakt
rd_wv.ol,r_vluft
rd_wv.uc,r_vjord
rd_wv.sc,r_vsjo
rd_wv.ss,r_vgrs
ld_gci,d_grs
rdz_f12,rr_s12
rdz_inc.av,rr_he
ldz_f4,dr_s4
ldz_f7,dr_s7
ldz_inc.av,dr_he1
ldz_wind,dr_vr
ldz_cod2c,dr_k2lukk
ldz_lat.av,dr_brgrad_gjsn
ldz_ice.av,dr_is_gjsn
ldz_snow,dr_snog
ldz_temp,dr_temp
ldz_isl,dr_aoey1
ldz_cmpp,d_skytelse
ap.t_2,omraadepris_t2
rdz_mgc,rr_antall_ruter
ldz_mgc,dr_antall_ruter
